sample_type	sample_name	sample_label	sra_num_reads	sample_label_short	sample_read_count
rnaseq	SRR1609905	BGI-HUMotgTAERAAPEI-75-T2019	45086082	T2019	45086082
rnaseq	SRR1609906	BGI-HUMotgTAFRAAPEI-79-CASKID	36571905	CASKID	36571905
rnaseq	SRR1609907	BGI-HUMotgTAARAAPEI-61-S12	36262155	S12	36262155
rnaseq	SRR1609908	BGI-HUMotgTACRAAPEI-71-T3023	36179800	T3023	36179800
rnaseq	SRR1609909	BGI-HUMymnTABRAAPEI-61-T1074	38924175	T1074	38924175
rnaseq	SRR1609910	BGI-HUMymnTACRAAPEI-62-SIHA	35566584	SIHA	35566584
rnaseq	SRR1609911	BGI-HUMymnTADRAAPEI-71-HELA	36419291	HELA	36419291
rnaseq	SRR1609912	BGI-HUMuknTABRAAPEI-22-T5350	24942984	T5350	24942984
rnaseq	SRR1609913	BGI-HUMuknTADRAAPEI-30-T6570	22015958	T6570	22015958
rnaseq	SRR1609914	BGI-HUMuknTAHRAAPEI-35-T6709	41119674	T6709	41119674
rnaseq	SRR1609915	BGI-HUMmjdTBARABPEI-22-T6050	59866688	T6050	59866688
wgs	SRR1609136	BGI-SZAIPI025319-94-HELA	181949451	HELA	181949451
wgs	SRR1609137	BGI-SZAIPI025320-94-HELA	197307645	HELA	197307645
wgs	SRR1609138	BGI-SZAIPI025317-90-T6050	191364743	T6050	191364743
wgs	SRR1609139	BGI-SZAIPI025318-90-T6050	175270264	T6050	175270264
wgs	SRR1609140	BGI-SZAIPI025321-108-T4931	177977906	T4931	177977906
wgs	SRR1609141	BGI-SZAIPI025322-108-T4931	174208094	T4931	174208094
wgs	SRR1609142	BGI-SZAIPI025323-140-SIHA	172870680	SIHA	172870680
wgs	SRR1609143	BGI-SZAIPI025324-140-SIHA	161348580	SIHA	161348580
wgs	SRR1609144	BGI-SZAIPI025317-90-T6050	181466622	T6050	181466622
wgs	SRR1609145	BGI-SZAIPI025318-90-T6050	183764702	T6050	183764702
wgs	SRR1609146	BGI-SZAIPI025323-140-SIHA	176683536	SIHA	176683536
wgs	SRR1609147	BGI-SZAIPI025324-140-SIHA	167039896	SIHA	167039896
wgs	SRR1609148	BGI-SZAIPI025319-94-HELA	178278043	HELA	178278043
wgs	SRR1609149	BGI-SZAIPI025320-94-HELA	180191381	HELA	180191381
wgs	SRR1609150	BGI-SZAIPI025321-108-T4931	186671029	T4931	186671029
wgs	SRR1609151	BGI-SZAIPI025322-108-T4931	180881435	T4931	180881435
hivid	SRR1611113	BGI-HUMrpdXAAAMAAAPEI-13-T2113	2816587	T2113	2816587
hivid	SRR1611114	BGI-HUMrpdXAAAOAAAPEI-17-T2017	2375174	T2017	2375174
hivid	SRR1611115	BGI-HUMrpdXAAAPAAAPEI-18-T2118	2601469	T2118	2601469
hivid	SRR1611116	BGI-HUMtfeXAAAAAAAPEI-81-T1690	8280876	T1690	8280876
hivid	SRR1611117	BGI-HUMtfeXAAABAAAPEI-84-T6373	9456859	T6373	9456859
hivid	SRR1611118	BGI-HUMtfeXAAACAAAPEI-85-T3177	13496034	T3177	13496034
hivid	SRR1611119	BGI-HUMtfeXAAADAAAPEI-86-T7448	9700248	T7448	9700248
hivid	SRR1611120	BGI-HUMtfeXAAAEAAAPEI-87-T7436	9455513	T7436	9455513
hivid	SRR1611121	BGI-HUMtfeXAAAFAAAPEI-89-T0345	5225639	T0345	5225639
hivid	SRR1611122	BGI-HUMtfeXAAAGAAAPEI-90-T5766	4165700	T5766	4165700
hivid	SRR1611123	BGI-HUMtfeXAAAHAAAPEI-19-T2019	5244084	T2019	5244084
hivid	SRR1611124	BGI-HUMtfeXAAAIAAAPEI-20-T3020	3952494	T3020	3952494
hivid	SRR1611125	BGI-HUMtfeXAAALAAAPEI-23-T3023	2877315	T3023	2877315
hivid	SRR1611126	BGI-HUMtfeXAAANAAAPEI-26-T3026	18910161	T3026	18910161
hivid	SRR1611127	BGI-HUMvueXAAAAAAAPEI-28-SIHA	1927767	SIHA	1927767
hivid	SRR1611128	BGI-HUMvueXAAABAAAPEI-29-CASKID	39031009	CASKID	39031009
