sample_name	Number.of.input.reads	Average.input.read.length	Uniquely.mapped.reads.number	Uniquely.mapped.reads..	Average.mapped.length	Number.of.splices..Total	Number.of.splices..Annotated..sjdb.	Number.of.splices..GT.AG	Number.of.splices..GC.AG	Number.of.splices..AT.AC	Number.of.splices..Non.canonical	Mismatch.rate.per.base...	Deletion.rate.per.base	Deletion.average.length	Insertion.rate.per.base	Insertion.average.length	Number.of.reads.mapped.to.multiple.loci	X..of.reads.mapped.to.multiple.loci	Number.of.reads.mapped.to.too.many.loci	X..of.reads.mapped.to.too.many.loci	Number.of.reads.unmapped..too.many.mismatches	X..of.reads.unmapped..too.many.mismatches	Number.of.reads.unmapped..too.short	X..of.reads.unmapped..too.short	Number.of.reads.unmapped..other	X..of.reads.unmapped..other	num_fq_sets
THYM-X7-A8M3-TP	56447505	96	50579520	89.60%	95.14	10849988	10730853	10755564	78169	8926	7329	0.20%	0.00%	1.37	0.01%	1.2	3212016	5.69%	22432	0.04%	481	0.00%	2609523	4.62%	23533	0.04%	2
LGG-FG-5962-TP	81858665	96	75494524	92.23%	95.29	13286476	13131510	13166441	100463	11188	8384	0.15%	0.00%	1.42	0.01%	1.22	3303233	4.04%	22280	0.03%	553	0.00%	3008670	3.68%	29405	0.04%	2
HNSC-CV-7428-TP	75691058	96	66595960	87.98%	94.65	15752059	15583847	15627109	105631	10825	8494	0.30%	0.00%	1.4	0.00%	1.2	5967365	7.88%	37390	0.05%	505	0.00%	3050524	4.03%	39314	0.05%	2
OV-24-2020-TP	118498811	150	95937111	80.96%	148.32	38987735	38395735	38556319	288232	33814	109370	0.50%	0.01%	1.42	0.01%	1.43	15703556	13.25%	70121	0.06%	48358	0.04%	6708174	5.66%	31491	0.03%	2
BRCA-A8-A07L-TP	70226046	100	64127380	91.32%	99.17	15398926	15276323	15244321	126234	13914	14457	0.25%	0.00%	1.48	0.01%	1.24	3130511	4.46%	19474	0.03%	549	0.00%	2924878	4.16%	23254	0.03%	2
LUSC-43-8116-TP	49000907	96	42785229	87.32%	95.03	9261948	8915899	9182713	63849	9447	5939	0.29%	0.00%	1.36	0.01%	1.2	3112424	6.35%	20212	0.04%	456	0.00%	3049626	6.22%	32960	0.07%	2
SARC-DX-A3M2-TP	62576087	96	54859751	87.67%	95.1	9636850	9538240	9587766	40760	4131	4193	0.28%	0.00%	1.43	0.01%	1.24	3436374	5.49%	14017	0.02%	474	0.00%	4251780	6.79%	13691	0.02%	2
HNSC-CQ-5329-TP	48260946	96	43767707	90.69%	95.08	11374580	11254371	11286463	72368	8616	7133	0.22%	0.00%	1.52	0.00%	1.21	2945116	6.10%	8316	0.02%	314	0.00%	1523844	3.16%	15649	0.03%	2
PAAD-H6-8124-NT	74808685	96	66945930	89.49%	94.74	13692043	13561217	13588495	85252	9349	8947	0.51%	0.00%	1.48	0.01%	1.23	3908610	5.22%	24505	0.03%	668	0.00%	3905376	5.22%	23596	0.03%	2
BLCA-CU-A3KJ-TP	101895136	96	92888421	91.16%	95.13	19666019	19485391	19507218	130212	17037	11552	0.26%	0.00%	1.45	0.01%	1.21	5480233	5.38%	50756	0.05%	1127	0.00%	3346372	3.28%	128227	0.13%	2
SKCM-EE-A29R-TM	78549827	96	71632599	91.19%	95.12	16908671	16762709	16775306	107450	14275	11640	0.19%	0.00%	1.45	0.01%	1.21	4254131	5.42%	22347	0.03%	574	0.00%	2614626	3.33%	25550	0.03%	2
OV-25-2409-TP	100278856	150	82106740	81.88%	148.41	34612128	34018122	34154824	295769	31321	130214	0.40%	0.01%	1.2	0.01%	1.52	13052388	13.02%	73653	0.07%	62735	0.06%	4953888	4.94%	29452	0.03%	2
BLCA-4Z-AA89-TP	48450270	96	43508381	89.80%	95.27	8751353	8674642	8674991	61629	6170	8563	0.24%	0.00%	1.48	0.01%	1.22	3392979	7.00%	23698	0.05%	427	0.00%	1498161	3.09%	26624	0.05%	2
KIRC-CZ-5985-NT	53249209	100	46634031	87.58%	99.17	8049401	7974786	7981013	56673	6051	5664	0.28%	0.00%	1.32	0.01%	1.19	4854417	9.12%	10202	0.02%	322	0.00%	1738982	3.27%	11255	0.02%	2
SKCM-EE-A3AF-TM	65422385	96	59904231	91.57%	94.96	14980189	14862646	14852292	105888	13638	8371	0.18%	0.00%	1.44	0.00%	1.2	3203091	4.90%	10560	0.02%	491	0.00%	2292253	3.50%	11759	0.02%	2
COAD-CA-5254-TP	71378912	96	63736593	89.29%	95.07	14686547	14480331	14554747	104703	12362	14735	0.30%	0.00%	1.44	0.01%	1.21	4326879	6.06%	28840	0.04%	663	0.00%	3237001	4.53%	48936	0.07%	2
MESO-LK-A4O6-TP	55230110	96	42892621	77.66%	95.14	7759887	7675470	7711194	37811	4350	6532	0.25%	0.00%	1.49	0.01%	1.3	7253925	13.13%	34910	0.06%	585	0.00%	5031825	9.11%	16244	0.03%	2
OV-13-1497-TP	90185638	150	72145419	80.00%	147.83	30207952	29215837	29885324	216989	28056	77583	0.43%	0.01%	1.37	0.01%	1.39	11737383	13.01%	27313	0.03%	23988	0.03%	6236711	6.92%	14824	0.02%	2
UCEC-KP-A3W1-TP	69304209	96	58624177	84.59%	94.25	8381142	8241190	8318778	50312	5929	6123	0.37%	0.00%	1.32	0.00%	1.18	7636778	11.02%	32789	0.05%	497	0.00%	2959999	4.27%	49969	0.07%	2
KICH-KN-8429-NT	78087360	96	71098544	91.05%	95.16	15664932	15456903	15532296	107847	13258	11531	0.17%	0.00%	1.49	0.01%	1.21	4855333	6.22%	23447	0.03%	482	0.00%	2086031	2.67%	23523	0.03%	2
LAML-AB-2917-TB	95763150	100	63488023	66.30%	98.97	4660801	4530602	4600310	49543	4781	6167	0.77%	0.01%	1.53	0.01%	1.28	4633081	4.84%	95943	0.10%	2199	0.00%	25477232	26.60%	2066672	2.16%	2
TGCT-2G-AALF-TP	56422553	96	47661789	84.47%	95.14	9900135	9281062	9834892	51636	7833	5774	0.35%	0.00%	1.29	0.01%	1.19	4770248	8.45%	14058	0.02%	507	0.00%	3952368	7.00%	23583	0.04%	2
KIRC-DV-A4VZ-TP	63478413	96	57403374	90.43%	95.24	8855013	8745483	8784219	55159	6566	9069	0.26%	0.00%	1.51	0.01%	1.21	4016720	6.33%	36347	0.06%	620	0.00%	1995312	3.14%	26040	0.04%	2
STAD-IP-7968-NT	94724759	150	60077457	63.42%	148.15	23668903	23142489	23498344	130307	13466	26786	0.66%	0.00%	1.38	0.00%	1.32	6775209	7.15%	34419	0.04%	43475	0.05%	27781104	29.33%	13095	0.01%	2
UCEC-AP-A05A-TP	14932148	76	11840125	79.29%	75.44	1833514	1817874	1820390	10488	1331	1305	0.22%	0.01%	1.53	0.01%	1.32	1983564	13.28%	15179	0.10%	0	0.00%	1084742	7.26%	8538	0.06%	1
KIRC-BP-5186-TP	77545104	96	70915792	91.45%	95.25	13711054	13558958	13582345	108427	10858	9424	0.21%	0.00%	1.44	0.01%	1.22	4399725	5.67%	27017	0.03%	491	0.00%	2165276	2.79%	36803	0.05%	2
UCEC-AJ-A2QK-TP	31494705	76	26096627	82.86%	75.01	3945071	3870420	3913329	25064	2969	3709	0.91%	0.01%	1.61	0.01%	1.31	3241769	10.29%	45451	0.14%	0	0.00%	2061159	6.54%	49699	0.16%	1
BLCA-YF-AA3M-TP	35327580	96	31771341	89.93%	95.17	6845167	6784157	6789253	44299	6542	5073	0.17%	0.00%	1.44	0.01%	1.2	2680611	7.59%	14369	0.04%	219	0.00%	845231	2.39%	15809	0.04%	2
KIRC-B8-4622-NT	59646864	100	53546902	89.77%	99.17	10584896	10475344	10503945	65707	7802	7442	0.23%	0.01%	1.33	0.01%	1.2	3886973	6.52%	5566	0.01%	333	0.00%	2198337	3.69%	8753	0.01%	2
LIHC-DD-AADJ-TP	51986705	96	38336530	73.74%	95.14	9304638	9224624	9244856	51906	3554	4322	0.20%	0.00%	1.36	0.00%	1.16	3963579	7.62%	4027	0.01%	249	0.00%	9674963	18.61%	7357	0.01%	2
SKCM-EB-A431-TP	71125159	96	62378866	87.70%	94.4	13134774	13016296	13015626	101676	11182	6290	0.91%	0.00%	1.42	0.00%	1.21	3323184	4.67%	19575	0.03%	458	0.00%	5388261	7.58%	14815	0.02%	2
SKCM-FW-A3R5-TM	70046646	96	64209783	91.67%	95.17	15603785	15389832	15466491	114508	13872	8914	0.20%	0.00%	1.48	0.01%	1.19	3629674	5.18%	20355	0.03%	345	0.00%	2166889	3.09%	19600	0.03%	2
COAD-DM-A1DB-TP	89054657	96	80414126	90.30%	94.96	16798254	16643769	16653240	112340	16897	15777	0.28%	0.00%	1.46	0.01%	1.19	5719153	6.42%	46411	0.05%	962	0.00%	2827678	3.18%	46327	0.05%	2
LUSC-77-8133-TP	48830147	96	43521766	89.13%	95.14	8521249	8355189	8448072	59362	7575	6240	0.21%	0.00%	1.43	0.01%	1.2	2674425	5.48%	27003	0.06%	455	0.00%	2562581	5.25%	43917	0.09%	2
GBM-14-1823-TP	65841973	152	40262122	61.15%	150.61	16279876	16128080	16151631	105100	12130	11015	0.54%	0.01%	1.38	0.00%	1.49	2940563	4.47%	5102	0.01%	18837	0.03%	22588813	34.31%	26536	0.04%	2
COAD-A6-2681-TP	31440815	76	27649741	87.94%	74.85	7356075	7293078	7300335	43529	6844	5367	0.40%	0.00%	1.62	0.00%	1.35	2753288	8.76%	16290	0.05%	0	0.00%	1013691	3.22%	7805	0.02%	1
HNSC-CR-6480-TP	75296443	96	67867929	90.13%	95.17	15401612	15122881	15264141	111496	13095	12880	0.22%	0.00%	1.4	0.00%	1.2	3516474	4.67%	41216	0.05%	664	0.00%	3828086	5.08%	42074	0.06%	2
LUAD-55-6984-NT	82218854	96	73518876	89.42%	95.18	13110745	12978873	13012872	77605	8598	11670	0.22%	0.00%	1.41	0.01%	1.2	4055234	4.93%	27905	0.03%	760	0.00%	4581463	5.57%	34616	0.04%	2
STAD-BR-8081-TP	128677373	150	87097016	67.69%	148.15	34994539	33519285	34683071	224057	27073	60338	0.67%	0.01%	1.5	0.01%	1.37	10846695	8.43%	73126	0.06%	97492	0.08%	30538045	23.73%	24999	0.02%	2
STAD-BR-A4QL-TP	140338691	150	106647281	75.99%	148.37	26833603	26489395	26582651	166658	20782	63512	0.69%	0.01%	1.48	0.01%	1.35	19161348	13.65%	102455	0.07%	118023	0.08%	14271531	10.17%	38053	0.03%	2
LUAD-67-3772-TP	66498922	96	58079986	87.34%	95.05	13874827	13553681	13779152	74684	10510	10481	0.36%	0.00%	1.4	0.01%	1.19	5590305	8.41%	14869	0.02%	526	0.00%	2797280	4.21%	15956	0.02%	2
BRCA-EW-A3U0-TP	72145062	96	63745961	88.36%	94.89	13387778	12727049	13289486	78783	9579	9930	0.47%	0.00%	1.43	0.01%	1.2	4599739	6.38%	29193	0.04%	854	0.00%	3730790	5.17%	38525	0.05%	2
SARC-QQ-A5V2-TP	53812229	96	40473158	75.21%	95.15	6743816	6694321	6718266	19824	1733	3993	0.32%	0.01%	1.42	0.01%	1.29	5373760	9.99%	16501	0.03%	512	0.00%	7926011	14.73%	22287	0.04%	2
SARC-DX-A8BR-TP	58658385	96	53976004	92.02%	95.2	11542790	11446223	11454606	73681	8121	6382	0.26%	0.00%	1.48	0.01%	1.22	2697763	4.60%	23464	0.04%	337	0.00%	1941393	3.31%	19424	0.03%	2
READ-AH-6549-TP	86020533	96	77488995	90.08%	94.99	18654457	18505205	18489663	130648	16642	17504	0.27%	0.00%	1.51	0.00%	1.2	5790118	6.73%	34044	0.04%	1223	0.00%	2674047	3.11%	32106	0.04%	2
LUAD-71-6725-TP	91860617	96	80460644	87.59%	94.89	14953872	14791787	14832846	93909	13643	13474	0.62%	0.00%	1.46	0.01%	1.21	5326297	5.80%	36610	0.04%	817	0.00%	6001175	6.53%	35074	0.04%	2
BRCA-E2-A15L-TP	80027211	100	73464020	91.80%	99.07	17616224	17425831	17466397	121850	13276	14701	0.29%	0.00%	1.5	0.01%	1.26	3867146	4.83%	26527	0.03%	669	0.00%	2633652	3.29%	35197	0.04%	2
BRCA-EW-A6SB-TP	64248688	96	52260721	81.34%	94.88	10615585	8943218	10541167	50549	12862	11007	0.39%	0.01%	1.18	0.00%	1.21	7477525	11.64%	11328	0.02%	977	0.00%	4486826	6.98%	11311	0.02%	2
ESCA-2H-A9GF-TP	104384914	150	81130627	77.72%	148.38	33551733	33098508	33217502	257290	28123	48818	0.62%	0.00%	1.36	0.00%	1.44	6902365	6.61%	61295	0.06%	44848	0.04%	16174377	15.49%	71402	0.07%	2
BLCA-BT-A2LB-TP	76767952	96	69477954	90.50%	95.08	14247090	14055629	14126014	98832	11820	10424	0.27%	0.00%	1.43	0.01%	1.17	4598625	5.99%	29380	0.04%	671	0.00%	2626287	3.42%	35035	0.05%	2
LGG-P5-A72X-TP	68871129	96	61734880	89.64%	94.81	9706980	9593691	9620604	70307	8083	7986	0.24%	0.00%	1.39	0.01%	1.21	3590539	5.21%	29820	0.04%	1035	0.00%	3487707	5.06%	27148	0.04%	2
LGG-S9-A7IX-TP	80484015	96	74129146	92.10%	95.1	12647460	12510060	12539545	88317	11313	8285	0.26%	0.00%	1.37	0.00%	1.21	4027842	5.00%	27022	0.03%	714	0.00%	2273520	2.82%	25771	0.03%	2
PRAD-KK-A7AZ-TP	74086764	96	66360444	89.57%	95.17	13054955	12940702	12949952	79999	9940	15064	0.24%	0.00%	1.47	0.01%	1.2	5552997	7.50%	37026	0.05%	559	0.00%	2103300	2.84%	32438	0.04%	2
PCPG-QR-A70U-TP	60292177	96	53933757	89.45%	95.28	7462884	7389028	7401957	47767	5898	7262	0.27%	0.00%	1.35	0.01%	1.2	3963949	6.57%	19606	0.03%	556	0.00%	2358089	3.91%	16220	0.03%	2
HNSC-CV-6956-NT	59116690	96	53362883	90.27%	95.1	11724608	11591655	11644448	65899	7146	7115	0.23%	0.00%	1.35	0.00%	1.19	4153684	7.03%	15753	0.03%	441	0.00%	1567782	2.65%	16147	0.03%	2
SARC-DX-A8BM-TP	64230821	96	58706045	91.40%	95.2	12905206	12777051	12796853	88363	10391	9599	0.21%	0.00%	1.43	0.01%	1.21	3665179	5.71%	22943	0.04%	466	0.00%	1813319	2.82%	22869	0.04%	2
KIRC-B0-5690-NT	86470557	100	75990192	87.88%	99.13	14623290	14485059	14492018	108418	11709	11145	0.33%	0.01%	1.36	0.01%	1.21	4496991	5.20%	14570	0.02%	781	0.00%	5948537	6.88%	19486	0.02%	2
KICH-KN-8418-TP	91052292	96	82456004	90.56%	95.1	15689604	15528984	15543663	119862	12808	13271	0.21%	0.00%	1.37	0.00%	1.2	5581198	6.13%	32688	0.04%	742	0.00%	2955720	3.25%	25940	0.03%	2
LIHC-2Y-A9GT-TP	52434441	96	47411936	90.42%	95.16	10603753	10455290	10528852	65694	3552	5655	0.22%	0.00%	1.4	0.00%	1.18	3363179	6.41%	14239	0.03%	331	0.00%	1627679	3.10%	17077	0.03%	2
CESC-VS-A9UT-TP	43911526	96	38520612	87.72%	94.99	7742550	6785109	7681845	47526	6567	6612	0.24%	0.00%	1.42	0.00%	1.2	2997838	6.83%	18544	0.04%	603	0.00%	2349958	5.35%	23971	0.05%	2
BRCA-A7-A5ZV-TP	48398718	96	40466867	83.61%	95.15	8616853	8535797	8547465	55792	7571	6025	0.30%	0.00%	1.46	0.01%	1.21	6182260	12.77%	28132	0.06%	336	0.00%	1696792	3.51%	24331	0.05%	2
READ-DY-A1DD-TP	84819013	96	60195029	70.97%	94.8	10036313	9940890	9967865	50997	7883	9568	0.50%	0.00%	1.41	0.01%	1.19	5308298	6.26%	47035	0.06%	838	0.00%	19222776	22.66%	45037	0.05%	2
THCA-EL-A3MW-NT	76913080	96	71413783	92.85%	95.16	14917986	14775472	14799355	94777	11649	12205	0.23%	0.00%	1.43	0.01%	1.18	3530310	4.59%	29019	0.04%	522	0.00%	1907898	2.48%	31548	0.04%	2
SKCM-FR-A7U8-TM	63036821	96	55949422	88.76%	95.04	14530557	14425641	14417681	92097	11535	9244	0.24%	0.00%	1.37	0.00%	1.21	4414540	7.00%	14238	0.02%	460	0.00%	2643834	4.19%	14327	0.02%	2
CESC-EK-A2RL-TP	101312288	96	88640713	87.49%	95.15	17996722	17805620	17831388	122338	17335	25661	0.22%	0.00%	1.49	0.01%	1.23	5664777	5.59%	47381	0.05%	756	0.00%	6902056	6.81%	56605	0.06%	2
