sample_name	sample_id	participant	fusion_at_insertion
HELA_CERVIX^CCLE^tumor_cell_line	HELA	HELA_CERVIX	CASC19::CASC8
BHY_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	BHY	BHY_UPPER_AERODIGESTIVE_TRACT	CAPN1::KRT17
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	FP236383.2::CAPNS1
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	KLK2::RAD23B
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	TMPRSS2::ERG
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	RPLP0::EEF1A1
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	EEF1A2::EEF1A1
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	KLK2::RPL5
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	ACTG2::ACTG1
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	TIA1::DIRC2
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	TTC6::MIPOL1
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	REV3L::MIR6805
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	CSNK1G3::AC008443.6
VCAP_PROSTATE^CCLE^tumor_cell_line	VCAP	VCAP_PROSTATE	EEF1A1::EEF1A2
SH10TC_STOMACH^CCLE^tumor_cell_line	SH10TC	SH10TC_STOMACH	EEF1A2::EEF1A1
YD10B_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD10B	YD10B_UPPER_AERODIGESTIVE_TRACT	MTATP6P1::KRT5
YD10B_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD10B	YD10B_UPPER_AERODIGESTIVE_TRACT	KRT17::EIF5A
YD10B_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD10B	YD10B_UPPER_AERODIGESTIVE_TRACT	KRT17::RPS7
YD38_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD38	YD38_UPPER_AERODIGESTIVE_TRACT	SLC7A5::MYH9
YD38_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD38	YD38_UPPER_AERODIGESTIVE_TRACT	MIR205HG::TXN
YD38_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD38	YD38_UPPER_AERODIGESTIVE_TRACT	RNPS1::ACTG1
YD38_UPPER_AERODIGESTIVE_TRACT^CCLE^tumor_cell_line	YD38	YD38_UPPER_AERODIGESTIVE_TRACT	KRT6A::POLD2
HUH1_LIVER^CCLE^tumor_cell_line	HUH1	HUH1_LIVER	CLPTM1L::PLEKHG4B
HMEL_BREAST^CCLE^tumor_cell_line	HMEL	HMEL_BREAST	KRT14::COL17A1
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	BCP1	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ZNRF2::FP236383.1
OELE_OVARY^CCLE^tumor_cell_line	OELE	OELE_OVARY	FP236383.2::ENO1
OELE_OVARY^CCLE^tumor_cell_line	OELE	OELE_OVARY	EEF2::MT2A
OELE_OVARY^CCLE^tumor_cell_line	OELE	OELE_OVARY	FP236383.2::CAPNS1
YD15_SALIVARY_GLAND^CCLE^tumor_cell_line	YD15	YD15_SALIVARY_GLAND	SLC9A3R2::PPFIA1
YD15_SALIVARY_GLAND^CCLE^tumor_cell_line	YD15	YD15_SALIVARY_GLAND	HSP90AB1::POLA1
YD15_SALIVARY_GLAND^CCLE^tumor_cell_line	YD15	YD15_SALIVARY_GLAND	PORCN::TNS4
TIG3TD_FIBROBLAST^CCLE^tumor_cell_line	TIG3TD	TIG3TD_FIBROBLAST	FP236383.2::CAPNS1
NHAHTDD_CENTRAL_NERVOUS_SYSTEM^CCLE^tumor_cell_line	NHAHTDD	NHAHTDD_CENTRAL_NERVOUS_SYSTEM	SOCS4::TERT
NHAHTDD_CENTRAL_NERVOUS_SYSTEM^CCLE^tumor_cell_line	NHAHTDD	NHAHTDD_CENTRAL_NERVOUS_SYSTEM	FP236383.2::CAPNS1
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	MJ	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ZMIZ1::NRSN2
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	MJ	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACTG2::ACTG1
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	MJ	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PTMA::NCL
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	MJ	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AL160400.1::RIPOR2
JHESOAD1_OESOPHAGUS^CCLE^tumor_cell_line	JHESOAD1	JHESOAD1_OESOPHAGUS	FP236383.2::CAPNS1
GB1_CENTRAL_NERVOUS_SYSTEM^CCLE^tumor_cell_line	GB1	GB1_CENTRAL_NERVOUS_SYSTEM	FP236383.2::ENO1
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	EB1	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EEF2::AC018738.1
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE^CCLE^tumor_cell_line	EB1	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EIF1::RPS28
