Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Aug 15 23:23:52	Aug 15 23:32:30	Aug 16 00:32:14	97.27	96841625	202	82897708	85.60%	199.94	46305238	45643415	45810675	380241	57592	56730	0.56%	0.02%	1.97	0.01%	1.60	2893602	2.99%	28220	0.03%	24102	0.02%	10975567	11.33%	22426	0.02%	0	0.00%
Aug 16 00:40:27	Aug 16 00:50:40	Aug 16 01:33:04	104.40	73775511	202	67940189	92.09%	199.94	38306940	37781131	37887340	336470	42975	40155	0.58%	0.02%	2.27	0.01%	1.56	2036335	2.76%	24040	0.03%	18249	0.02%	3730347	5.06%	26351	0.04%	0	0.00%
Aug 15 22:31:01	Aug 15 22:39:51	Aug 15 23:32:42	95.25	83903153	202	75213254	89.64%	199.56	53102161	52453255	52591846	407360	53635	49320	0.54%	0.00%	1.46	0.00%	1.60	3775013	4.50%	22297	0.03%	76629	0.09%	4801283	5.72%	14677	0.02%	0	0.00%
Aug 15 22:04:45	Aug 15 22:14:43	Aug 15 23:04:32	100.19	83183103	202	75235390	90.45%	199.55	49706196	49136130	49254177	365092	44106	42821	0.52%	0.00%	1.46	0.00%	1.55	3336886	4.01%	16562	0.02%	71032	0.09%	4511868	5.42%	11365	0.01%	0	0.00%
Aug 15 23:36:45	Aug 15 23:46:39	Aug 16 00:36:21	97.74	80960516	202	73567762	90.87%	199.44	55682087	55132844	55199473	394540	41567	46507	0.55%	0.00%	1.43	0.00%	1.62	2841939	3.51%	21538	0.03%	61664	0.08%	4452371	5.50%	15242	0.02%	0	0.00%
Aug 16 01:26:41	Aug 16 01:35:50	Aug 16 02:27:05	105.71	90291369	202	83173786	92.12%	199.82	59794175	59185261	59238381	446982	59530	49282	0.57%	0.00%	1.75	0.01%	1.58	2499877	2.77%	17147	0.02%	23547	0.03%	4558803	5.05%	18209	0.02%	0	0.00%
Aug 16 00:34:59	Aug 16 00:44:02	Aug 16 01:39:02	94.97	87060117	202	77528863	89.05%	199.50	60409308	59878991	59821926	473955	63381	50046	0.56%	0.00%	1.42	0.00%	1.60	4553048	5.23%	25039	0.03%	109716	0.13%	4817300	5.53%	26151	0.03%	0	0.00%
Aug 15 22:35:57	Aug 15 22:45:27	Aug 15 23:39:11	96.44	86369081	202	78075736	90.40%	199.54	57127639	56522411	56570533	456723	56155	44228	0.52%	0.01%	1.44	0.00%	1.59	4086625	4.73%	20929	0.02%	77213	0.09%	4093228	4.74%	15350	0.02%	0	0.00%
Aug 15 22:57:51	Aug 15 23:07:06	Aug 15 23:59:59	91.96	81048504	202	72595929	89.57%	199.56	55761549	55258761	55237106	428086	56594	39763	0.54%	0.00%	1.44	0.00%	1.65	4314495	5.32%	18488	0.02%	72121	0.09%	4031555	4.97%	15916	0.02%	0	0.00%
Aug 16 01:55:34	Aug 16 02:04:09	Aug 16 03:08:40	91.94	98859898	202	85214313	86.20%	199.38	60616782	59901685	60107040	398085	59942	51715	0.68%	0.00%	1.45	0.01%	1.50	5207095	5.27%	26571	0.03%	97395	0.10%	8302627	8.40%	11897	0.01%	0	0.00%
Aug 15 23:04:15	Aug 15 23:12:06	Aug 16 00:01:53	98.62	81825331	202	74331287	90.84%	199.56	53367458	52840299	52796097	472293	56693	42375	0.54%	0.00%	1.43	0.00%	1.66	3250863	3.97%	16403	0.02%	64278	0.08%	4151066	5.07%	11434	0.01%	0	0.00%
Aug 16 01:50:34	Aug 16 02:00:27	Aug 16 02:44:54	103.93	76997601	202	71139523	92.39%	199.89	45853193	45355634	45409988	351031	52937	39237	0.56%	0.01%	1.77	0.01%	1.61	2091561	2.72%	12802	0.02%	15916	0.02%	3731791	4.85%	6008	0.01%	0	0.00%
Aug 15 22:18:25	Aug 15 22:27:49	Aug 15 23:19:37	96.99	83732897	202	75838887	90.57%	199.53	59136901	58639399	58623619	424955	51233	37094	0.54%	0.00%	1.45	0.00%	1.71	3313230	3.96%	16471	0.02%	60275	0.07%	4492201	5.36%	11833	0.01%	0	0.00%
Aug 15 21:36:49	Aug 15 21:47:25	Aug 15 22:27:52	101.57	68476357	202	62696656	91.56%	199.60	45848746	45372146	45426283	343830	45682	32951	0.53%	0.00%	1.48	0.01%	1.69	2207809	3.22%	16984	0.02%	51845	0.08%	3490750	5.10%	12313	0.02%	0	0.00%
Aug 16 00:04:47	Aug 16 00:13:40	Aug 16 01:11:26	97.29	93665099	202	84568601	90.29%	199.98	58216865	57449071	57677967	421328	60591	56979	0.46%	0.01%	1.60	0.01%	1.55	4143924	4.42%	38810	0.04%	77459	0.08%	4757333	5.08%	78972	0.08%	0	0.00%
