sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tumor_or_normal	tissue_id	DOI	sample_read_count	mapped_rpm
IC263	HPV16	7906	812908	13948	7907	1	Tumor	Anal	10.3390/cancers11121846	796327	1020821.84831106
IC263	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	117	0	5900	0.747	Tumor	Anal	10.3390/cancers11121846	796327	146.924567420168
IC263	HPV6	7996	109	0	5689	0.711	Tumor	Anal	10.3390/cancers11121846	796327	136.878443152122
IC263	HPV18	7857	13	0	1229	0.156	Tumor	Anal	10.3390/cancers11121846	796327	16.3249519355742
IC216	HPV16	7906	267	0	7668	0.97	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	8007.6777734457
IC216	HPV39	7833	9376	98	5425	0.693	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	281198.45244879
IC216	HPV33	7909	12	0	1349	0.171	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	359.895630267223
IC216	HPV18	7857	6	0	609	0.078	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	179.947815133611
IC216	HPV45	7858	2	0	290	0.037	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	59.9826050445371
IC216	HPV68	7822	2	0	195	0.025	Tumor	Cervical	10.1038/s41416-020-01153-4	33343	59.9826050445371
IC312	HPV18	7857	1988	0	7858	1	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	2007.39950885356
IC312	HPV16	7906	1036534	3035	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	1046648.81413985
IC312	HPV45	7858	37	0	3365	0.428	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	37.3610572573349
IC312	HPV33	7909	32	0	2944	0.372	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	32.3122657360734
IC312	HPV73	7700	21	0	2148	0.279	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	21.2049243892982
IC312	HPV52	7942	14	0	1585	0.2	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	14.1366162595321
IC312	HPV34	7723	10	0	1034	0.134	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	10.0975830425229
IC312	HPV56	7845	2	0	199	0.025	Tumor	Cervical	10.1038/s41416-020-01153-4	990336	2.01951660850459
IC181	HPV16	7906	8881	28	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	295216.567496593
IC181	HPV82	7870	28	0	2383	0.303	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	930.758235548316
IC181	HPV33	7909	8	0	1064	0.135	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	265.930924442376
IC181	HPV45	7858	4	0	480	0.061	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	132.965462221188
IC181	HPV18	7857	3	0	380	0.048	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	99.724096665891
IC181	HPV31	7912	2	0	235	0.03	Tumor	Cervical	10.1038/s41416-020-01153-4	30083	66.482731110594
IC289	HPV16	7906	593	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	23383	25360.3044947184
IC289	HPV56	7845	699	0	7840	0.999	Tumor	Cervical	10.1038/s41416-020-01153-4	23383	29893.5123807895
IC289	HPV45	7858	11226	135	6690	0.851	Tumor	Cervical	10.1038/s41416-020-01153-4	23383	480092.374802207
IC289	HPV18	7857	17	0	1684	0.214	Tumor	Cervical	10.1038/s41416-020-01153-4	23383	727.023906256682
IC289	HPV53	7859	1	0	123	0.016	Tumor	Cervical	10.1038/s41416-020-01153-4	23383	42.766112132746
IC341	HPV16	7906	54826	160	7907	1	Tumor	Anal	10.3390/cancers11121846	133740	409944.668760281
IC341	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	159	0	6137	0.777	Tumor	Anal	10.3390/cancers11121846	133740	1188.87393449978
IC341	HPV6	7996	139	0	6209	0.777	Tumor	Anal	10.3390/cancers11121846	133740	1039.33004336773
IC341	HPV35	7879	2	0	304	0.039	Tumor	Anal	10.3390/cancers11121846	133740	14.9543891132047
IC341	HPV33	7909	2	0	268	0.034	Tumor	Anal	10.3390/cancers11121846	133740	14.9543891132047
IC341	HPV58	7824	1	0	60	0.008	Tumor	Anal	10.3390/cancers11121846	133740	7.47719455660236
IC049	HPV16	7906	86675	66	7907	1	Tumor	Anal	10.3390/cancers11121846	69517	1246817.32525857
IC049	HPV18	7857	2	0	212	0.027	Tumor	Anal	10.3390/cancers11121846	69517	28.7699411654703
IC085	HPV16	7906	10185	70	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	12376	822963.800904977
IC245	HPV16	7906	46496	140	7907	1	Tumor	Anal	10.3390/cancers11121846	71360	651569.506726457
IC245	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	35	0	2911	0.368	Tumor	Anal	10.3390/cancers11121846	71360	490.470852017937
IC245	HPV6	7996	32	0	2484	0.311	Tumor	Anal	10.3390/cancers11121846	71360	448.430493273543
IC245	HPV18	7857	2	0	272	0.035	Tumor	Anal	10.3390/cancers11121846	71360	28.0269058295964
IC245	HPV33	7909	2	0	191	0.024	Tumor	Anal	10.3390/cancers11121846	71360	28.0269058295964
IC334	HPV16	7906	693	0	7439	0.941	Tumor	Anal	10.3390/cancers11121846	44827	15459.432931046
IC334	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	93	0	5744	0.727	Tumor	Anal	10.3390/cancers11121846	44827	2074.64251455596
IC334	HPV6	7996	96	0	5767	0.721	Tumor	Anal	10.3390/cancers11121846	44827	2141.56646663841
IC334	HPV42	7917	285	0	5056	0.639	Tumor	Anal	10.3390/cancers11121846	44827	6357.77544783278
IC230	HPV16	7906	439	0	7799	0.986	Tumor	Cervical	10.1038/s41416-020-01153-4	40092	10949.8154245236
