entity:sample_id	left_fq	right_fq	sample_type
SRR1609136	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609136_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609136_2.fastq.gz	WGS
SRR1609137	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609137_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609137_2.fastq.gz	WGS
SRR1609138	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609138_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609138_2.fastq.gz	WGS
SRR1609139	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609139_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609139_2.fastq.gz	WGS
SRR1609140	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609140_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609140_2.fastq.gz	WGS
SRR1609141	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609141_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609141_2.fastq.gz	WGS
SRR1609142	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609142_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609142_2.fastq.gz	WGS
SRR1609143	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609143_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609143_2.fastq.gz	WGS
SRR1609144	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609144_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609144_2.fastq.gz	WGS
SRR1609145	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609145_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609145_2.fastq.gz	WGS
SRR1609146	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609146_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609146_2.fastq.gz	WGS
SRR1609147	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609147_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609147_2.fastq.gz	WGS
SRR1609148	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609148_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609148_2.fastq.gz	WGS
SRR1609149	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609149_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609149_2.fastq.gz	WGS
SRR1609150	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609150_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609150_2.fastq.gz	WGS
SRR1609151	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609151_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609151_2.fastq.gz	WGS
SRR1609905	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609905_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609905_2.fastq.gz	RNASEQ
SRR1609906	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609906_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609906_2.fastq.gz	RNASEQ
SRR1609907	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609907_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609907_2.fastq.gz	RNASEQ
SRR1609908	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609908_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609908_2.fastq.gz	RNASEQ
SRR1609909	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609909_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609909_2.fastq.gz	RNASEQ
SRR1609910	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609910_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609910_2.fastq.gz	RNASEQ
SRR1609911	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609911_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609911_2.fastq.gz	RNASEQ
SRR1609912	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609912_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609912_2.fastq.gz	RNASEQ
SRR1609913	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609913_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609913_2.fastq.gz	RNASEQ
SRR1609914	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609914_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609914_2.fastq.gz	RNASEQ
SRR1609915	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609915_1.fastq.gz	gs://fc-5090f4da-3f84-4152-b6fe-292217c3ca76/DATA/SRR1609915_2.fastq.gz	RNASEQ
