Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Jul 30 21:44:04	Jul 30 21:55:49	Jul 30 22:46:32	118.91	100511841	150	88922353	88.47%	148.85	32628335	31967506	32382388	186016	23158	36773	0.38%	0.01%	1.46	0.01%	1.14	8234918	8.19%	76463	0.08%	48931	0.05%	3209556	3.19%	19620	0.02%	0	0.00%
Jul 30 20:25:09	Jul 30 20:35:26	Jul 30 21:43:44	126.31	143778537	150	129408785	90.01%	148.86	37601063	36594350	37294815	234212	26942	45094	0.36%	0.01%	1.39	0.01%	1.17	9661579	6.72%	123184	0.09%	57152	0.04%	4462679	3.10%	65158	0.05%	0	0.00%
Jul 30 21:42:42	Jul 30 21:52:59	Jul 30 22:54:40	123.43	126891592	150	115577127	91.08%	148.90	30343863	29589574	30072498	204686	23163	43516	0.33%	0.01%	1.50	0.01%	1.18	7431138	5.86%	141776	0.11%	43555	0.03%	3626213	2.86%	71783	0.06%	0	0.00%
Jul 30 21:14:24	Jul 30 21:22:05	Jul 30 22:38:10	141.13	178960437	150	165088751	92.25%	148.94	19262552	18595820	19041708	172403	18059	30382	0.43%	0.01%	1.38	0.02%	1.16	6521854	3.64%	237767	0.13%	59265	0.03%	6861009	3.83%	191791	0.11%	0	0.00%
Jul 30 20:29:07	Jul 30 20:37:15	Jul 30 21:50:59	139.65	171615124	150	157716587	91.90%	148.93	17959416	17254710	17758881	156718	16529	27288	0.46%	0.01%	1.37	0.02%	1.16	6138978	3.58%	206791	0.12%	66438	0.04%	7316039	4.26%	170291	0.10%	0	0.00%
Jul 30 22:43:31	Jul 30 22:50:06	Jul 31 00:09:05	134.17	176621863	150	158501414	89.74%	148.77	21017156	20199276	20780352	180641	20597	35566	0.55%	0.01%	1.37	0.02%	1.18	6619816	3.75%	211782	0.12%	83178	0.05%	11033671	6.25%	172002	0.10%	0	0.00%
Jul 30 18:17:18	Jul 30 18:24:43	Jul 30 19:38:52	135.16	167034121	150	147541540	88.33%	148.79	17023354	16288702	16817117	157187	15326	33724	0.62%	0.01%	1.37	0.02%	1.17	5785610	3.46%	195807	0.12%	94627	0.06%	13252899	7.93%	163638	0.10%	0	0.00%
Jul 30 20:15:05	Jul 30 20:22:39	Jul 30 21:40:04	138.39	178556063	150	161601246	90.50%	148.86	19043246	18193761	18805039	178547	17451	42209	0.46%	0.01%	1.39	0.02%	1.16	7818445	4.38%	292333	0.16%	76080	0.04%	8585906	4.81%	182053	0.10%	0	0.00%
Jul 30 16:35:10	Jul 30 16:46:07	Jul 30 17:42:32	118.58	111497466	150	100366176	90.02%	148.98	28902610	28062636	28645309	191627	22410	43264	0.34%	0.01%	1.48	0.01%	1.18	7779049	6.98%	122547	0.11%	49249	0.04%	3111635	2.79%	68810	0.06%	0	0.00%
Jul 30 19:41:56	Jul 30 19:48:51	Jul 30 21:10:02	134.88	182506333	150	161347859	88.41%	148.78	19969795	19171235	19732693	181345	18712	37045	0.53%	0.01%	1.35	0.02%	1.17	8129574	4.45%	269482	0.15%	102866	0.06%	12479242	6.84%	177310	0.10%	0	0.00%
Jul 30 18:21:34	Jul 30 18:32:29	Jul 30 19:30:29	120.94	116910251	150	103131741	88.21%	148.83	41101357	40302365	40803738	224956	27719	44944	0.35%	0.01%	1.57	0.01%	1.15	9916152	8.48%	66715	0.06%	42515	0.04%	3728274	3.19%	24854	0.02%	0	0.00%
Jul 30 16:38:51	Jul 30 16:52:18	Jul 30 17:24:25	124.67	66732527	150	60842197	91.17%	148.99	8637672	8345119	8540915	74190	7899	14668	0.41%	0.01%	1.34	0.02%	1.18	3193303	4.79%	101570	0.15%	35892	0.05%	2486978	3.73%	72587	0.11%	0	0.00%
Jul 30 19:32:06	Jul 30 19:43:04	Jul 30 20:44:20	118.99	121504757	150	108841773	89.58%	148.89	31815375	30814464	31552710	199529	21798	41338	0.43%	0.01%	1.49	0.01%	1.17	8280244	6.81%	105625	0.09%	66330	0.05%	4145888	3.41%	64897	0.05%	0	0.00%
Jul 30 18:29:34	Jul 30 18:39:28	Jul 30 19:46:46	123.16	138141015	150	124512157	90.13%	148.92	32589113	31567294	32311513	209971	23391	44238	0.43%	0.01%	1.53	0.01%	1.18	8986079	6.51%	122462	0.09%	68143	0.05%	4364319	3.16%	87855	0.06%	0	0.00%
Jul 30 20:09:10	Jul 30 20:18:14	Jul 30 21:35:05	128.42	164480354	150	148234288	90.12%	148.98	41273480	39908382	40918601	265318	31109	58452	0.33%	0.01%	1.45	0.01%	1.17	11082702	6.74%	169954	0.10%	89189	0.05%	4808029	2.92%	96192	0.06%	0	0.00%
Jul 30 17:01:02	Jul 30 17:14:43	Jul 30 17:48:17	121.42	67930091	150	61195932	90.09%	148.99	15263529	14830493	15128547	99942	12443	22597	0.34%	0.01%	1.45	0.01%	1.17	4424408	6.51%	83539	0.12%	38341	0.06%	2148144	3.16%	39727	0.06%	0	0.00%
Jul 30 20:04:20	Jul 30 20:13:05	Jul 30 21:32:42	116.22	154217246	150	130333443	84.51%	148.81	32206725	31150021	31946259	186328	19936	54202	0.38%	0.01%	1.46	0.01%	1.19	15846102	10.28%	377969	0.25%	132011	0.09%	7456285	4.83%	71436	0.05%	0	0.00%
Jul 30 20:37:10	Jul 30 20:46:04	Jul 30 22:00:43	133.08	165576042	150	149522979	90.30%	149.00	39536218	38227706	39189458	253702	28593	64465	0.36%	0.01%	1.40	0.01%	1.16	10685981	6.45%	203526	0.12%	83856	0.05%	4999229	3.02%	80471	0.05%	0	0.00%
Jul 30 19:45:06	Jul 30 19:53:08	Jul 30 21:13:00	134.79	179426616	150	163155295	90.93%	149.01	49737835	48376662	49300213	326546	37102	73974	0.33%	0.01%	1.46	0.01%	1.17	11475251	6.40%	209936	0.12%	75910	0.04%	4397943	2.45%	112281	0.06%	0	0.00%
Jul 30 15:38:20	Jul 30 15:53:40	Jul 30 16:16:23	92.63	35070742	200	26721287	76.19%	197.48	8332942	8086201	8252916	61710	6676	11640	0.70%	0.01%	1.25	0.01%	1.60	1322089	3.77%	22824	0.07%	52292	0.15%	6686662	19.07%	265588	0.76%	0	0.00%
Jul 30 20:55:34	Jul 30 21:10:49	Jul 30 21:38:48	119.28	55632774	97	42791337	76.92%	96.64	4001466	3898771	3961404	33394	3387	3281	0.92%	0.00%	1.48	0.00%	1.28	4806137	8.64%	53858	0.10%	605	0.00%	7917992	14.23%	62845	0.11%	0	0.00%
Jul 30 21:23:33	Jul 30 21:36:14	Jul 30 22:11:45	116.71	69083700	145	63135513	91.39%	144.42	6527664	6166380	6420033	91177	6069	10385	0.68%	0.01%	1.56	0.01%	1.47	2256371	3.27%	80711	0.12%	8020	0.01%	3512884	5.08%	90201	0.13%	0	0.00%
Jul 30 16:21:45	Jul 30 16:33:51	Jul 30 17:24:52	106.91	90899234	139	72888947	80.19%	137.67	8522488	8168351	8416897	87753	6258	11580	1.07%	0.01%	1.59	0.01%	1.42	3828033	4.21%	51411	0.06%	4830	0.01%	13613468	14.98%	512545	0.56%	0	0.00%
Jul 30 17:17:40	Jul 30 17:27:10	Jul 30 18:26:25	120.67	119166275	150	107279143	90.02%	149.04	26533286	25662183	26279177	189424	18269	46416	0.39%	0.01%	1.49	0.01%	1.36	6555028	5.50%	95019	0.08%	26354	0.02%	5090826	4.27%	119905	0.10%	0	0.00%
Jul 30 16:51:18	Jul 30 17:01:42	Jul 30 17:55:46	125.81	113372236	150	97902840	86.36%	148.94	21704449	21097918	21524096	134730	11364	34259	0.37%	0.01%	1.31	0.01%	1.37	5678043	5.01%	99159	0.09%	45167	0.04%	9574833	8.45%	72194	0.06%	0	0.00%
Jul 30 16:00:08	Jul 30 16:15:59	Jul 30 16:34:58	160.08	50648562	96	42102471	83.13%	96.24	4024790	3913997	3989398	30163	2613	2616	0.71%	0.00%	1.46	0.00%	1.29	2420865	4.78%	53977	0.11%	694	0.00%	5925160	11.70%	145395	0.29%	0	0.00%
Jul 30 16:30:55	Jul 30 16:47:02	Jul 30 17:05:45	166.29	51874221	96	44116298	85.04%	96.11	6050691	5913543	5998710	43020	4461	4500	0.79%	0.00%	1.45	0.00%	1.28	2881480	5.55%	51065	0.10%	519	0.00%	4713688	9.09%	111171	0.21%	0	0.00%
Jul 30 21:28:23	Jul 30 21:41:02	Jul 30 22:30:11	103.37	84676168	150	62966064	74.36%	147.13	7787708	7469470	7675419	93818	6597	11874	1.24%	0.01%	1.60	0.01%	1.45	2674110	3.16%	93702	0.11%	9517	0.01%	18726777	22.12%	205998	0.24%	0	0.00%
Jul 30 18:10:08	Jul 30 18:24:12	Jul 30 18:51:31	116.73	53143252	150	46972747	88.39%	148.08	4611181	4379285	4538715	61754	3753	6959	1.26%	0.01%	1.52	0.01%	1.44	1946381	3.66%	42783	0.08%	5078	0.01%	4143561	7.80%	32702	0.06%	0	0.00%
Jul 30 15:25:40	Jul 30 15:39:17	Jul 30 16:17:46	106.90	68563970	150	59101281	86.20%	148.29	6768905	6426370	6671109	83135	5023	9638	0.87%	0.01%	1.54	0.01%	1.44	2880927	4.20%	47443	0.07%	6970	0.01%	6459069	9.42%	68280	0.10%	0	0.00%
Jul 30 17:29:21	Jul 30 17:38:05	Jul 30 18:35:56	122.80	118400378	150	104648333	88.39%	148.94	25036386	24372923	24791415	178102	19361	47508	0.53%	0.01%	1.60	0.01%	1.37	5700719	4.81%	141343	0.12%	35743	0.03%	7758382	6.55%	115858	0.10%	0	0.00%
Jul 30 19:25:43	Jul 30 19:37:13	Jul 30 20:21:42	121.69	90221901	150	79151056	87.73%	148.83	17641914	17097608	17469272	124141	11897	36604	0.41%	0.01%	1.44	0.01%	1.44	4087432	4.53%	271663	0.30%	54995	0.06%	6582542	7.30%	74213	0.08%	0	0.00%
Jul 30 19:22:51	Jul 30 19:34:11	Jul 30 20:36:37	106.90	111232065	150	97316529	87.49%	148.97	8408358	8024464	8292403	93911	8684	13360	0.39%	0.01%	1.33	0.02%	1.19	9069502	8.15%	112831	0.10%	72029	0.06%	4561417	4.10%	99757	0.09%	0	0.00%
Jul 30 16:07:49	Jul 30 16:21:38	Jul 30 16:50:19	123.43	59004155	150	52727393	89.36%	148.99	13226325	12779755	13097471	94128	7437	27289	0.38%	0.01%	1.42	0.01%	1.36	2856469	4.84%	97780	0.17%	21216	0.04%	3266133	5.54%	35164	0.06%	0	0.00%
Jul 30 17:45:37	Jul 30 17:53:19	Jul 30 19:02:06	121.87	139706953	150	121560805	87.01%	148.88	32473891	31672100	32179925	218212	21648	54106	0.48%	0.01%	1.49	0.01%	1.35	8661296	6.20%	123282	0.09%	41375	0.03%	9199114	6.58%	121081	0.09%	0	0.00%
Jul 30 17:03:19	Jul 30 17:14:44	Jul 30 18:11:24	112.70	106443448	150	93886673	88.20%	148.99	9107336	8693294	8983474	101374	8964	13524	0.46%	0.01%	1.31	0.01%	1.20	6246757	5.87%	84298	0.08%	79139	0.07%	6057487	5.69%	89094	0.08%	0	0.00%
Jul 30 17:37:51	Jul 30 17:47:50	Jul 30 18:44:57	120.63	114832344	150	100484756	87.51%	148.78	16406585	15789499	16239664	125408	10803	30710	0.43%	0.01%	1.43	0.01%	1.43	5658587	4.93%	289718	0.25%	70565	0.06%	8230977	7.17%	97741	0.09%	0	0.00%
Jul 30 21:20:00	Jul 30 21:30:07	Jul 30 22:14:02	109.08	79838052	202	74646870	93.50%	200.07	28263439	27247594	27982053	224419	19755	37212	0.49%	0.01%	1.27	0.01%	1.43	2739626	3.43%	43992	0.06%	200180	0.25%	2180595	2.73%	26789	0.03%	0	0.00%
Jul 30 17:10:17	Jul 30 17:20:39	Jul 30 18:11:38	125.22	106403495	150	95474586	89.73%	148.96	22524848	21665023	22305450	173589	12529	33280	0.45%	0.01%	1.47	0.01%	1.41	4700043	4.42%	104364	0.10%	28592	0.03%	6028870	5.67%	67040	0.06%	0	0.00%
Jul 30 19:25:21	Jul 30 19:35:07	Jul 30 20:33:10	112.75	109082151	150	89480957	82.03%	148.78	26147134	25338114	25948080	150415	10740	37899	0.61%	0.01%	1.63	0.01%	1.34	7504232	6.88%	198182	0.18%	30076	0.03%	11831941	10.85%	36763	0.03%	0	0.00%
Jul 30 17:54:01	Jul 30 18:04:19	Jul 30 18:59:20	124.04	113740586	150	101709875	89.42%	148.99	23113446	22281727	22860894	177923	15918	58711	0.47%	0.01%	1.59	0.01%	1.37	5297766	4.66%	157520	0.14%	19135	0.02%	6486973	5.70%	69317	0.06%	0	0.00%
Jul 30 17:53:47	Jul 30 18:01:35	Jul 30 19:07:55	128.70	142286960	150	123625170	86.88%	148.96	28883600	28144160	28596450	200079	20633	66438	0.55%	0.01%	1.69	0.01%	1.35	6736050	4.73%	256068	0.18%	26428	0.02%	11532969	8.11%	110275	0.08%	0	0.00%
Jul 30 19:17:10	Jul 30 19:29:09	Jul 30 20:13:00	114.40	83604169	150	71496449	85.52%	148.95	20295636	19658289	20117617	122838	12002	43179	0.37%	0.01%	1.40	0.01%	1.43	5991478	7.17%	188265	0.23%	34066	0.04%	5845923	6.99%	47988	0.06%	0	0.00%
Jul 30 16:34:23	Jul 30 16:44:39	Jul 30 17:37:28	116.01	102123958	150	89065943	87.21%	149.09	18596292	18034119	18429672	117407	11546	37667	0.44%	0.01%	1.61	0.01%	1.38	7317037	7.16%	148588	0.15%	16846	0.02%	5521121	5.41%	54423	0.05%	0	0.00%
Jul 30 19:57:46	Jul 30 20:06:54	Jul 30 21:15:28	115.83	132372468	150	114439132	86.45%	148.95	27007127	26105556	26730697	200690	20771	54969	0.41%	0.01%	1.56	0.01%	1.36	9245570	6.98%	185304	0.14%	49860	0.04%	8358719	6.31%	93883	0.07%	0	0.00%
Jul 30 21:12:49	Jul 30 21:19:18	Jul 30 22:36:27	141.63	182116134	150	161136306	88.48%	149.00	42798071	41677809	42411581	288901	30125	67464	0.46%	0.01%	1.51	0.01%	1.36	9459544	5.19%	157903	0.09%	40161	0.02%	11220945	6.16%	101275	0.06%	0	0.00%
Jul 30 17:23:29	Jul 30 17:32:28	Jul 30 18:34:51	120.07	124841276	150	106651061	85.43%	148.94	26099574	25546163	25862711	164179	16504	56180	0.50%	0.01%	1.49	0.01%	1.37	7358700	5.89%	210260	0.17%	56783	0.05%	10485327	8.40%	79145	0.06%	0	0.00%
Jul 30 16:58:09	Jul 30 17:12:13	Jul 30 17:37:44	115.30	49036510	150	42303911	86.27%	148.98	11557399	11046736	11446193	78232	5708	27266	0.42%	0.01%	1.57	0.01%	1.37	3253721	6.64%	81402	0.17%	19138	0.04%	3333169	6.80%	45169	0.09%	0	0.00%
Jul 30 20:04:27	Jul 30 20:14:19	Jul 30 21:07:38	124.41	110551682	150	99005968	89.56%	148.93	21165307	20428377	20934873	169259	18145	43030	0.45%	0.01%	1.60	0.01%	1.37	4367628	3.95%	203036	0.18%	37029	0.03%	6842515	6.19%	95506	0.09%	0	0.00%
Jul 30 19:32:05	Jul 30 19:43:27	Jul 30 21:22:42	56.71	93813112	150	63824026	68.03%	148.96	10334477	9945518	10227814	79768	6884	20011	0.38%	0.01%	1.51	0.01%	1.41	24264137	25.86%	185152	0.20%	40990	0.04%	5430483	5.79%	68324	0.07%	0	0.00%
Jul 30 17:34:44	Jul 30 17:47:00	Jul 30 18:38:05	108.23	92149230	150	80614534	87.48%	149.10	7964511	7572480	7851809	88141	7787	16774	0.40%	0.01%	1.35	0.01%	1.20	6869639	7.45%	137937	0.15%	61453	0.07%	4381488	4.75%	84179	0.09%	0	0.00%
