sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV45,HPV45,left,6,1681,chr14,66510510,66510540,-,30,1
reads_R-HPV45,HPV45,left,9,2980,chr20,13113047,13113082,-,39,4
reads_R-HPV45,HPV45,left,10,3062,chr19,54363107,54363136,-,35,6
reads_R-HPV45,HPV45,left,4,3062,chr19,54505547,54505513,+,35,2
reads_R-HPV45,HPV45,right,3,3394,chr5,49646172,49646142,-,43,14
reads_R-HPV45,HPV45,right,3,3394,chr5,49644145,49644109,-,43,10
reads_R-HPV45,HPV45,right,3,3394,chr5,49643809,49643778,-,43,14
reads_R-HPV45,HPV45,right,3,3394,chr5,49615680,49615650,-,43,14
reads_R-HPV45,HPV45,right,3,3394,chr5,49615000,49614963,-,43,11
reads_R-HPV45,HPV45,right,3,3394,chr5,49612282,49612247,-,43,12
reads_R-HPV45,HPV45,right,3,3394,chr5,49610189,49610162,-,31,8
reads_R-HPV45,HPV45,right,3,3394,chr5,49631543,49631514,-,30,4
reads_R-HPV45,HPV45,right,3,3394,chr5,49618399,49618369,-,30,4
reads_R-HPV45,HPV45,right,3,3394,chr3,91543236,91543206,-,41,12
reads_R-HPV45,HPV45,right,3,3394,chr3,93714505,93714473,-,39,10
reads_R-HPV45,HPV45,right,3,3394,chr3,91551563,91551533,-,41,12
reads_R-HPV45,HPV45,right,3,3394,chr3,91546126,91546096,-,39,13
reads_R-HPV45,HPV45,right,3,3394,chr3,91545448,91545417,-,41,9
reads_R-HPV45,HPV45,right,3,3394,chr3,93713830,93713804,-,27,5
reads_R-HPV45,HPV45,right,3,3394,chr3,93709925,93709899,-,27,5
reads_R-HPV45,HPV45,right,3,3394,chr3,91550031,91550005,-,27,5
reads_R-HPV45,HPV45,right,3,3394,chr2,94563484,94563458,-,29,7
reads_R-HPV45,HPV45,right,3,3394,chr16,38266079,38266044,-,43,12
reads_R-HPV45,HPV45,right,3,3394,chr16,38280666,38280629,-,42,11
reads_R-HPV45,HPV45,right,3,3394,chr12,37263824,37263794,-,42,14
reads_R-HPV45,HPV45,right,3,3394,chr12,37260771,37260740,-,42,14
reads_R-HPV45,HPV45,right,3,3394,chr12,37252194,37252164,-,42,14
reads_R-HPV45,HPV45,right,3,3394,chr12,37251798,37251768,-,39,13
