#sample	#FusionName	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots
HELA_CERVIX	HNRNPUL2--C11orf49	288	103	288.00	93.47	ONLY_REF_SPLICE	HNRNPUL2^ENSG00000214753.2	chr11:62726619:-	C11orf49^ENSG00000149179.12	chr11:46987208:+	YES_LDAS	4.2539	GT	1.5656	AG	1.9219	["Klijn_CellLines","CCLE_StarF2019","INTRACHROMOSOMAL[chr11:15.55Mb]"]
HELA_CERVIX	B3GAT3--GANAB	199	135	199.00	135.00	ONLY_REF_SPLICE	B3GAT3^ENSG00000149541.8	chr11:62620497:-	GANAB^ENSG00000089597.15	chr11:62627353:-	YES_LDAS	3.7245	GT	1.7232	AG	1.7819	["CCLE_StarF2019","Klijn_CellLines","INTRACHROMOSOMAL[chr11:0.00Mb]","LOCAL_REARRANGEMENT:-:[2651]"]
HELA_CERVIX	HNRNPUL2--C11orf49	96	44	96.00	9.53	ONLY_REF_SPLICE	HNRNPUL2^ENSG00000214753.2	chr11:62726619:-	C11orf49^ENSG00000149179.12	chr11:47137645:+	YES_LDAS	1.1768	GT	1.5656	AG	1.9656	["Klijn_CellLines","CCLE_StarF2019","INTRACHROMOSOMAL[chr11:15.55Mb]"]
HELA_CERVIX	SEPT7P2--PSPH	38	0	38.00	0.00	ONLY_REF_SPLICE	SEPT7P2^ENSG00000214765.7	chr7:45768660:-	PSPH^ENSG00000146733.12	chr7:56021231:-	YES_LDAS	0.4238	GT	1.8892	AG	1.9656	["GTEx_recurrent_StarF2019","Babiceanu_Normal","INTRACHROMOSOMAL[chr7:10.24Mb]"]
HELA_CERVIX	GNB1--NADK	38	0	38.00	0.00	ONLY_REF_SPLICE	GNB1^ENSG00000078369.16	chr1:1890820:-	NADK^ENSG00000008130.14	chr1:1765446:-	YES_LDAS	0.4238	GT	1.6729	AG	1.8295	["CCLE_StarF2019","GUO2018CR_TCGA","ChimerSeq","TCGA_StarF2019","INTRACHROMOSOMAL[chr1:0.00Mb]","NEIGHBORS[4828]"]
HELA_CERVIX	LEPROT--LEPR	37	18	37.00	18.00	ONLY_REF_SPLICE	LEPROT^ENSG00000213625.7	chr1:65425378:+	LEPR^ENSG00000116678.17	chr1:65565546:+	YES_LDAS	0.6133	GT	1.8256	AG	1.9219	["ChimerSeq","GTEx_recurrent_StarF2019","INTRACHROMOSOMAL[chr1:0.09Mb]","NEIGHBORS[89682]"]
HELA_CERVIX	KANSL1--ARL17A	34	25	33.81	24.86	ONLY_REF_SPLICE	KANSL1^ENSG00000120071.11	chr17:46094560:-	ARL17A^ENSG00000185829.14	chr17:46570869:-	YES_LDAS	0.6542	GT	1.8892	AG	1.7056	["ChimerSeq","Babiceanu_Normal","GTEx_recurrent_StarF2019","INTRACHROMOSOMAL[chr17:0.29Mb]"]
HELA_CERVIX	SREBF2--MEI1	28	12	28.00	9.60	ONLY_REF_SPLICE	SREBF2^ENSG00000198911.10	chr22:41833358:+	MEI1^ENSG00000167077.11	chr22:41758365:+	YES_LDAS	0.4193	GT	1.8892	AG	1.9656	["Klijn_CellLines","TumorFusionsNAR2018","TCGA_StarF2019","INTRACHROMOSOMAL[chr22:0.03Mb]","LOCAL_REARRANGEMENT:+:[33623]"]
HELA_CERVIX	C15orf57--CBX3	19	41	19.00	18.12	INCL_NON_REF_SPLICE	C15orf57^ENSG00000128891.14	chr15:40562772:-	CBX3^ENSG00000122565.17	chr7:26201769:+	YES_LDAS	0.414	GT	1.8892	AG	1.3383	["Babiceanu_Normal","INTERCHROMOSOMAL[chr15--chr7]"]
HELA_CERVIX	CCAT1--AC016629.3	18	10	18.00	8.18	INCL_NON_REF_SPLICE	CCAT1^ENSG00000247844.1	chr8:127218810:-	AC016629.3^ENSG00000269600.1	chr19:58599260:-	YES_LDAS	0.2919	GT	1.9899	AG	1.9656	["INTERCHROMOSOMAL[chr8--chr19]"]
