group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	truth_vir_pos	pred_insertion_name	pred_chr_pos	pred_vir_pos	total_reads
HPV_sim_7sample_50insert	chr16~87541867~87542866~-~HPV39~4155~5154~-	chr16	87541867	HPV39	5154	HPV39~5156~+~chr16~87541867~+	87541867	5156	167
HPV_sim_7sample_50insert	chr22~28136821~28137820~-~HPV39~1943~2942~-	chr22	28136821	HPV39	2942	HPV39~2944~+~chr22~28136821~+	28136821	2944	167
HPV_sim_7sample_50insert	chr1~26195757~26196756~-~HPV18~3161~4160~-	chr1	26195757	HPV18	4160	HPV18~4161~+~chr1~26195756~+	26195756	4161	166
HPV_sim_7sample_50insert	chr21~30688737~30689736~-~HPV39~115~1114~-	chr21	30688737	HPV39	1114	HPV39~1115~+~chr21~30688736~+	30688736	1115	165
HPV_sim_7sample_50insert	chr18~13542448~13543447~-~HPV18~4948~5947~-	chr18	13542448	HPV18	5947	HPV18~5948~+~chr18~13542447~+	13542447	5948	165
HPV_sim_7sample_50insert	chr18~1875685~1876684~-~HPV18~49~1048~-	chr18	1875685	HPV18	1048	HPV18~1049~+~chr18~1875684~+	1875684	1049	165
HPV_sim_7sample_50insert	chr1~107166648~107167647~-~HPV18~4040~5039~-	chr1	107166648	HPV18	5039	HPV18~5040~+~chr1~107166647~+	107166647	5040	165
HPV_sim_7sample_50insert	chr18~4607425~4608424~-~HPV18~2277~3276~-	chr18	4607425	HPV18	3276	HPV18~3277~+~chr18~4607424~+	4607424	3277	165
HPV_sim_7sample_50insert	chr10~132648760~132649759~-~HPV39~2113~3112~-	chr10	132648760	HPV39	3112	HPV39~3113~+~chr10~132648759~+	132648759	3113	165
HPV_sim_7sample_50insert	chr4~90119401~90120400~-~HPV39~2148~3147~-	chr4	90119401	HPV39	3147	HPV39~3148~+~chr4~90119400~+	90119400	3148	165
HPV_sim_7sample_50insert	chr2~184219518~184220517~-~HPV18~4911~5910~+	chr2	184219518	HPV18	4911	HPV18~4911~-~chr2~184219516~+	184219516	4911	165
HPV_sim_7sample_50insert	chr16~61991436~61992435~-~HPV39~1191~2190~-	chr16	61991436	HPV39	2190	HPV39~2191~+~chr16~61991435~+	61991435	2191	164
HPV_sim_7sample_50insert	chr5~91403295~91404294~+~HPV18~6329~7328~+	chr5	91404294	HPV18	6329	chr5~91404291~+~HPV18~6324~+	91404291	6324	164
HPV_sim_7sample_50insert	chr11~8621081~8622080~-~HPV18~5884~6883~-	chr11	8621081	HPV18	6883	HPV18~6884~+~chr11~8621080~+	8621080	6884	164
HPV_sim_7sample_50insert	chr4~92530410~92531409~-~HPV18~740~1739~-	chr4	92530410	HPV18	1739	HPV18~1740~+~chr4~92530409~+	92530409	1740	164
HPV_sim_7sample_50insert	chr20~46237872~46238871~+~HPV18~4052~5051~+	chr20	46238871	HPV18	4052	chr20~46238872~+~HPV18~4051~+	46238872	4051	163
HPV_sim_7sample_50insert	chr17~48897021~48898020~+~HPV18~4923~5922~-	chr17	48898020	HPV18	5922	chr17~48898021~+~HPV18~5923~-	48898021	5923	163
HPV_sim_7sample_50insert	chr21~43982085~43983084~+~HPV31~6528~7527~+	chr21	43983084	HPV31	6528	chr21~43983086~+~HPV31~6528~+	43983086	6528	163
HPV_sim_7sample_50insert	chr12~98547125~98548124~+~HPV18~1358~2357~-	chr12	98548124	HPV18	2357	chr12~98548125~+~HPV18~2358~-	98548125	2358	163
HPV_sim_7sample_50insert	chr7~12455200~12456199~+~HPV18~2873~3872~-	chr7	12456199	HPV18	3872	chr7~12456200~+~HPV18~3873~-	12456200	3873	163
