sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tissue_id	sample_read_count	mapped_rpm
SIHA_CERVIX	HPV16	7906	5664	553	3338	0.422	CERVIX	95136117	59.5357491834568
S117_SOFT_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	126798	1842	8106	0.996	SOFT_TISSUE	100541438	1261.15164575227
S117_SOFT_TISSUE	NC_007815_8197nt_PreXMRV_1	8197	48476	617	7288	0.889	SOFT_TISSUE	100541438	482.149459608883
S117_SOFT_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	46678	91	4182	0.502	SOFT_TISSUE	100541438	464.266285906911
S117_SOFT_TISSUE	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	5846	25	3754	0.451	SOFT_TISSUE	100541438	58.1451799008484
SH10TC_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	2302312	16410	8136	1	STOMACH	75731841	30400.8455307458
SH10TC_STOMACH	NC_007815_8197nt_PreXMRV_1	8197	162666	4561	7867	0.96	STOMACH	75731841	2147.92084613393
SH10TC_STOMACH	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	15937	490	4140	0.497	STOMACH	75731841	210.439886176806
SH10TC_STOMACH	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	94246	99	4023	0.483	STOMACH	75731841	1244.46994494693
SNUC4_LARGE_INTESTINE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	165884	532	8136	1	LARGE_INTESTINE	88036844	1884.25655058693
SNUC4_LARGE_INTESTINE	NC_007815_8197nt_PreXMRV_1	8197	6566	213	4169	0.509	LARGE_INTESTINE	88036844	74.5824100645861
GSS_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	3368	0	8134	1	STOMACH	88057779	38.2476146712717
HMEL_BREAST	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	153547	2741	2813	0.537	BREAST	83153236	1846.55471496022
HMEL_BREAST	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	79426	5450	4357	0.523	BREAST	83153236	955.176296446238
LU65_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	814304	2732	8136	1	LUNG	67928489	11987.6654403427
LU65_LUNG	NC_007815_8197nt_PreXMRV_1	8197	35892	981	7222	0.881	LUNG	67928489	528.379190062655
LU65_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	9722	0	2501	0.3	LUNG	67928489	143.121099013405
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	21717	279	74631	0.434	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	116125813	187.012684251347
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	5967	46	56878	0.329	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	116125813	51.3839244337519
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	53408	165	118608	0.687	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	98602128	541.651595998009
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	56013	87	97951	0.57	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	98602128	568.070904108682
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	1045363	38577	8507	1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	118637948	8811.37121488312
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_000858_9028nt_Simian_T_lymphotropic_virus_1	9028	100840	40707	8905	0.986	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	118637948	849.9809858478
KELLY_AUTONOMIC_GANGLIA	NC_001702_8135nt_Murine_type_C_retrovirus	8135	369414	3463	8074	0.993	AUTONOMIC_GANGLIA	61582612	5998.67378148884
KELLY_AUTONOMIC_GANGLIA	NC_007815_8197nt_PreXMRV_1	8197	35361	220	6524	0.796	AUTONOMIC_GANGLIA	61582612	574.204290003159
KELLY_AUTONOMIC_GANGLIA	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	15033	21	2088	0.251	AUTONOMIC_GANGLIA	61582612	244.11111370203
KELLY_AUTONOMIC_GANGLIA	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	4643	170	1639	0.197	AUTONOMIC_GANGLIA	61582612	75.3946584792474
ML1_THYROID	NC_001702_8135nt_Murine_type_C_retrovirus	8135	309415	4177	7999	0.983	THYROID	109956622	2813.9733139492
ML1_THYROID	NC_007815_8197nt_PreXMRV_1	8197	84562	726	7474	0.912	THYROID	109956622	769.048725414646
ML1_THYROID	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	46358	6	3218	0.386	THYROID	109956622	421.602620713466
ML1_THYROID	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	7253	199	3185	0.383	THYROID	109956622	65.9623755993523
22RV1_PROSTATE	NC_007815_8197nt_PreXMRV_1	8197	1796109	28512	8113	0.99	PROSTATE	96841625	18546.8696957532
22RV1_PROSTATE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	285960	2446	7438	0.914	PROSTATE	96841625	2952.86247003806
22RV1_PROSTATE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	384882	1978	3379	0.406	PROSTATE	96841625	3974.3447097258
22RV1_PROSTATE	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	118970	7033	3191	0.383	PROSTATE	96841625	1228.50065764592
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	99719	634	125140	0.728	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	91282177	1092.42574265073
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	51769	1491	109460	0.634	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	91282177	567.13152229049
253JBV_URINARY_TRACT	NC_007815_8197nt_PreXMRV_1	8197	35124	353	7586	0.925	URINARY_TRACT	83903153	418.625507434744
253JBV_URINARY_TRACT	NC_001702_8135nt_Murine_type_C_retrovirus	8135	139496	521	7510	0.923	URINARY_TRACT	83903153	1662.58352650943
253JBV_URINARY_TRACT	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	28218	16	3411	0.409	URINARY_TRACT	83903153	336.316324131466
253JBV_URINARY_TRACT	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	9647	427	2983	0.358	URINARY_TRACT	83903153	114.977800655477
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	35989	172	110366	0.642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	84584431	425.480192684632
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	20453	413	99154	0.574	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	84584431	241.805728999939
VCAP_PROSTATE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	3116166	58200	8136	1	PROSTATE	136181338	22882.4745428775
VCAP_PROSTATE	NC_007815_8197nt_PreXMRV_1	8197	99853	3703	6844	0.835	PROSTATE	136181338	733.235562717118
PLCPRF5_LIVER	NC_003977_3182nt_Hepatitis_B_virus	3182	24842	688	2459	0.773	LIVER	87679361	283.327794781716
SNU719_STOMACH	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	31657	15	91860	0.535	STOMACH	76231877	415.272471908307
SNU719_STOMACH	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	49740	13	86044	0.498	STOMACH	76231877	652.482950144334
SNU761_LIVER	NC_003977_3182nt_Hepatitis_B_virus	3182	20910	874	2499	0.785	LIVER	122837698	170.224616224899
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	71086	276	115035	0.669	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	115775932	613.996352886194
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	25507	510	94789	0.549	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	115775932	220.313493136035
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	11118	2733	1490	0.284	CENTRAL_NERVOUS_SYSTEM	88727786	125.304603002266
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	75670	10678	2273	0.273	CENTRAL_NERVOUS_SYSTEM	88727786	852.833181253954
YD15_SALIVARY_GLAND	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	83958	1905	6706	0.805	SALIVARY_GLAND	46850653	1792.03478764746
YD15_SALIVARY_GLAND	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	6212	43	3991	0.48	SALIVARY_GLAND	46850653	132.591535063556
NB1_AUTONOMIC_GANGLIA	NC_001702_8135nt_Murine_type_C_retrovirus	8135	351411	5231	8136	1	AUTONOMIC_GANGLIA	96962942	3624.17840003246
NB1_AUTONOMIC_GANGLIA	NC_007815_8197nt_PreXMRV_1	8197	9234	283	4653	0.568	AUTONOMIC_GANGLIA	96962942	95.2322589386778
PRECLH_PROSTATE	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	92440	1680	2515	0.48	PROSTATE	63762024	1449.76577280546
PRECLH_PROSTATE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	33683	2624	1569	0.188	PROSTATE	63762024	528.261148046367
KYSE70_OESOPHAGUS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	357244	620	8136	1	OESOPHAGUS	78614217	4544.26710120384
KYSE70_OESOPHAGUS	NC_007815_8197nt_PreXMRV_1	8197	10725	547	5255	0.641	OESOPHAGUS	78614217	136.425705289413
GB1_CENTRAL_NERVOUS_SYSTEM	NC_001702_8135nt_Murine_type_C_retrovirus	8135	338461	2195	8071	0.992	CENTRAL_NERVOUS_SYSTEM	72305310	4680.99784096078
GB1_CENTRAL_NERVOUS_SYSTEM	NC_007815_8197nt_PreXMRV_1	8197	28080	545	6326	0.772	CENTRAL_NERVOUS_SYSTEM	72305310	388.353220531106
GB1_CENTRAL_NERVOUS_SYSTEM	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	1667	7	2028	0.243	CENTRAL_NERVOUS_SYSTEM	72305310	23.0550149083103
GB1_CENTRAL_NERVOUS_SYSTEM	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	4077	133	1920	0.231	CENTRAL_NERVOUS_SYSTEM	72305310	56.385900288651
KMRC3_KIDNEY	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	206734	449	15239	1	KIDNEY	71231796	2902.27133961356
HELA_CERVIX	HPV18	7857	172295	13082	5237	0.667	CERVIX	89674766	1921.33202778583
QGP1_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	254429	914	8136	1	PANCREAS	98380393	2586.17588567673
QGP1_PANCREAS	NC_007815_8197nt_PreXMRV_1	8197	8864	278	4912	0.599	PANCREAS	98380393	90.0992538218464
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	219427	384	137354	0.799	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	73611203	2980.8913732873
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	68081	478	97673	0.565	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	73611203	924.87280774368
EKVX_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	32455	142	7067	0.869	LUNG	86331179	375.936021909303
EKVX_LUNG	NC_007815_8197nt_PreXMRV_1	8197	6536	0	6563	0.801	LUNG	86331179	75.7084529101589
LXF289_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	83328	1087	7924	0.974	LUNG	74852830	1113.22444321744
LXF289_LUNG	NC_007815_8197nt_PreXMRV_1	8197	17984	70	6904	0.842	LUNG	74852830	240.258117161369
LXF289_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	12535	5	2818	0.338	LUNG	74852830	167.46193831282
LXF289_LUNG	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	4573	59	2270	0.273	LUNG	74852830	61.0932145117292
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	435154	25236	8507	1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	51834693	8395.03380486887
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_000858_9028nt_Simian_T_lymphotropic_virus_1	9028	31330	261	8407	0.931	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	51834693	604.421444147455
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	79509	270	115941	0.675	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	81548530	974.989984491443
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	68796	509	110077	0.637	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	81548530	843.62035710515
SF767_CENTRAL_NERVOUS_SYSTEM	HPV68	7822	52682	8397	3598	0.46	CENTRAL_NERVOUS_SYSTEM	90709673	580.775988465971
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	92355	705	120364	0.701	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	88747657	1040.64719139571
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	42549	1010	104344	0.604	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	88747657	479.438009276121
JHESOAD1_OESOPHAGUS	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	1226899	3495	15247	1	OESOPHAGUS	82304984	14906.7400341151
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	47150	1057	87802	0.511	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	111926300	421.259346552151
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	22558	114	77916	0.451	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	111926300	201.543336999436
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	212604	459	132503	0.771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	104600703	2032.52936072523
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	63907	310	97881	0.567	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	104600703	610.961476998869
OELE_OVARY	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	178973	2867	2853	0.544	OVARY	85337569	2097.23574384923
OELE_OVARY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	57840	3661	2128	0.255	OVARY	85337569	677.778857281486
NCIH1341_LUNG	HPV18	7857	153514	52652	3428	0.436	LUNG	93124233	1648.48606055096
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009333_137969nt_Human_gammaherpesvirus_8	137969	446048	13223	136228	0.987	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	121125341	3682.53246032141
L33_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	267488	3127	7681	0.944	PANCREAS	94440934	2832.33115843602
L33_PANCREAS	NC_007815_8197nt_PreXMRV_1	8197	61328	390	7351	0.897	PANCREAS	94440934	649.379431169116
L33_PANCREAS	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	45780	0	3312	0.398	PANCREAS	94440934	484.747429541516
L33_PANCREAS	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	13942	421	2733	0.328	PANCREAS	94440934	147.626663666838
TYKNU_OVARY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	11085	213	7721	0.949	OVARY	94205855	117.667845591975
TYKNU_OVARY	NC_007815_8197nt_PreXMRV_1	8197	4509	42	6498	0.793	OVARY	94205855	47.8632670973582
TYKNU_OVARY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	2438	0	2876	0.345	OVARY	94205855	25.8794954942026
YD38_UPPER_AERODIGESTIVE_TRACT	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	282121	4962	6738	0.809	UPPER_AERODIGESTIVE_TRACT	47848039	5896.18730247231
