#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr16~22262525~HPV31~2502	chr16	22262525	+	HPV31	2502	-	1	1	0	0	1
subset.insertion_seqs.fa	chr16~59687027~HPV31~1312	chr16	59687027	+	HPV31	1312	-	1	1	0	0	1
subset.insertion_seqs.fa	chr21~18516123~HPV31~1897	chr21	18516123	+	HPV31	1897	+	1	1	0	1	0
subset.insertion_seqs.fa	chr21~24941134~HPV31~2801	chr21	24941134	+	HPV31	2801	-	152	152	1	94	61
subset.insertion_seqs.fa	chr21~43983085~HPV31~6528	chr21	43983085	+	HPV31	6528	+	191	191	1	192	1
subset.insertion_seqs.fa	chr18~44311354~HPV31~3543	chr18	44311354	+	HPV31	3543	-	1	1	0	0	1
subset.insertion_seqs.fa	chr11~46606830~HPV31~0	chr11	46606830	+	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr11~79890525~HPV31~4347	chr11	79890525	+	HPV31	4347	-	162	162	0	165	1
subset.insertion_seqs.fa	chr11~122082694~HPV31~765	chr11	122082694	+	HPV31	765	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~54965679~HPV31~2571	chr17	54965679	+	HPV31	2571	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~78902409~HPV31~2706	chr17	78902409	+	HPV31	2706	-	2	2	0	0	2
subset.insertion_seqs.fa	chr4~45524331~HPV31~2625	chr4	45524331	+	HPV31	2625	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~72684976~HPV31~2608	chr4	72684976	+	HPV31	2608	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~128824310~HPV31~2625	chr4	128824310	+	HPV31	2625	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~187846465~HPV31~311	chr4	187846465	+	HPV31	311	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~5631764~HPV31~4474	chr10	5631764	+	HPV31	4474	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~115117436~HPV31~2398	chr10	115117436	+	HPV31	2398	-	1	1	0	0	1
subset.insertion_seqs.fa	chrY~14398769~HPV31~6871	chrY	14398769	+	HPV31	6871	-	187	187	4	161	28
subset.insertion_seqs.fa	chr7~52895359~HPV31~3526	chr7	52895359	+	HPV31	3526	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~93094732~HPV31~3275	chr7	93094732	+	HPV31	3275	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~101007618~HPV31~2240	chr7	101007618	+	HPV31	2240	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~140608692~HPV31~3165	chr7	140608692	+	HPV31	3165	+	1	1	0	0	1
subset.insertion_seqs.fa	chr9~4245701~HPV31~5300	chr9	4245701	+	HPV31	5300	+	184	184	4	185	1
subset.insertion_seqs.fa	chr9~5593170~HPV31~4341	chr9	5593170	+	HPV31	4341	-	159	159	0	117	43
subset.insertion_seqs.fa	chr9~24054851~HPV31~256	chr9	24054851	+	HPV31	256	+	1	1	0	0	1
