#sample	entry	chrA	coordA	orientA	chrB	total	coordA_lend	coordA_rend	total_reads	L_reads	R_reads	min	max	split1	split2
subset.insertion_seqs.fa	chr1~8746198~8746761	chr1	8746728.0	+	HPV33	204	8746198	8746761	205	205	0	8746429	8746729	8746728.0	0.0
subset.insertion_seqs.fa	chr1~26195755~26196323	chr1	0.0	-	HPV18	211	26195755	26196323	211	0	211	26195755	26196055	0.0	0.0
subset.insertion_seqs.fa	chr1~29268632~29269177	chr1	29269141.0	+	HPV31	186	29268632	29269177	186	186	0	29268841	29269141	29269141.0	0.0
subset.insertion_seqs.fa	chr1~32773241~32773781	chr1	32773244.0	-	HPV18	198	32773241	32773781	200	0	200	32773241	32773541	0.0	32773244.0
subset.insertion_seqs.fa	chr1~49242804~49243349	chr1	49242804.0	-	HPV39	198	49242804	49243349	198	0	198	49242804	49243104	0.0	49242804.0
subset.insertion_seqs.fa	chr1~52396361~52396917	chr1	52396361.0	-	HPV31	216	52396361	52396917	216	0	216	52396361	52396661	0.0	52396361.0
subset.insertion_seqs.fa	chr1~57512653~57513176	chr1	57512656.0	-	HPV45	219	57512653	57513176	219	0	219	57512653	57512953	0.0	57512656.0
subset.insertion_seqs.fa	chr1~57689733~57690324	chr1	57690288.0	+	HPV31	192	57689733	57690324	192	192	0	57689988	57690288	57690288.0	0.0
subset.insertion_seqs.fa	chr1~107166644~107167214	chr1	107166647.0	-	HPV18	219	107166644	107167214	219	0	219	107166644	107166944	0.0	107166647.0
subset.insertion_seqs.fa	chr1~172609763~172610283	chr1	172609763.0	-	HPV45	220	172609763	172610283	220	0	220	172609763	172610063	0.0	172609763.0
subset.insertion_seqs.fa	chr1~186818935~186819480	chr1	186819479.0	+	HPV39	207	186818935	186819480	207	207	0	186819179	186819479	186819479.0	0.0
subset.insertion_seqs.fa	chr1~192164549~192165088	chr1	192164549.0	-	HPV31	180	192164549	192165088	180	0	180	192164549	192164849	0.0	192164549.0
subset.insertion_seqs.fa	chr1~201420678~201421249	chr1	201421248.0	+	HPV16	179	201420678	201421249	180	180	0	201420949	201421249	201421248.0	0.0
subset.insertion_seqs.fa	chr1~209671319~209671867	chr1	209671319.0	-	HPV35	176	209671319	209671867	176	0	176	209671319	209671619	0.0	209671319.0
subset.insertion_seqs.fa	chr10~12758163~12758724	chr10	12758165.0	-	HPV33	187	12758163	12758724	188	0	188	12758163	12758463	0.0	12758165.0
subset.insertion_seqs.fa	chr10~36919618~36920049	chr10	0.0	+	HPV33	53	36919618	36920049	53	53	0	36919748	36920048	0.0	0.0
subset.insertion_seqs.fa	chr10~41901740~41902260	chr10	41901740.0	-	HPV45	201	41901740	41902260	201	0	201	41901740	41902040	0.0	41901740.0
subset.insertion_seqs.fa	chr10~49149289~49149806	chr10	49149295.0	-	HPV35	182	49149289	49149806	183	0	183	49149289	49149589	0.0	49149295.0
subset.insertion_seqs.fa	chr10~49806935~49807473	chr10	49807472.0	+	HPV16	187	49806935	49807473	188	188	0	49807172	49807472	49807472.0	0.0
subset.insertion_seqs.fa	chr10~69362369~69362879	chr10	69362369.0	-	HPV31	189	69362369	69362879	190	0	190	69362369	69362669	0.0	69362369.0
