sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
CESC-VS-A959-TP	HPV31~878~+~chr14~68497123~+	chr14	68497123	HPV31	878	374	chr14:68681967	12	RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RP11-204K16.1;PPIAP6;RAD51B	CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3;ACTN1;BANF1P1
CESC-EA-A78R-TP	HPV52~880~+~chr14~68514038~+	chr14	68514038	HPV52	880	70	chr14:68681967	12	RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RP11-204K16.1;PPIAP6;RAD51B	CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3;ACTN1;BANF1P1
CESC-EK-A2H0-TP	HPV68~2994~+~chr14~68681967~+	chr14	68681967	HPV68	2994	737	chr14:68681967	12	RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RP11-204K16.1;PPIAP6;CTD-2325P2.4;RAD51B	CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3;ACTN1;BANF1P1;ACTN1-AS1
CESC-ZJ-A8QQ-TP	HPV68~839~+~chr14~68682936~+	chr14	68682936	HPV68	839	358	chr14:68681967	12	RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RP11-204K16.1;PPIAP6;CTD-2325P2.4;RAD51B	CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3;ACTN1;BANF1P1;ACTN1-AS1
CESC-ZJ-AAXU-TP	chr14~68334761~+~HPV16~881~-	chr14	68334761	HPV16	881	278	chr14:68681967	12	RPL21P9;RDH12;RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RAD51B	RP11-204K16.1;PPIAP6;CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3
CESC-MY-A5BD-TP	HPV16~4010~+~chr14~68149849~+	chr14	68149849	HPV16	4010	391	chr14:68681967	12	RDH11;RN7SL369P;RPL21P9;RDH12;RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RAD51B	RN7SL108P;RP11-204K16.1;PPIAP6;CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P
HNSC-BA-4077-TP	HPV16~881~+~chr14~68237177~+	chr14	68237177	HPV16	881	650	chr14:68681967	12	RPL21P9;RDH12;RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RAD51B	RP11-204K16.1;PPIAP6;CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3
HNSC-CN-A6V7-TP	HPV16~3494~+~chr14~68446729~+	chr14	68446729	HPV16	3494	204	chr14:68681967	12	RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RP11-204K16.1;PPIAP6;RAD51B	CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3;ACTN1;BANF1P1
CESC-EK-A2R8-TP	HPV45~3971~-~chr14~68178057~+	chr14	68178057	HPV45	3971	2281	chr14:68681967	12	RN7SL369P;RPL21P9;RDH12;RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RAD51B	RN7SL108P;RP11-204K16.1;PPIAP6;CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P
CESC-C5-A1BE-TP	chr14~68334761~+~HPV16~881~-	chr14	68334761	HPV16	881	1078	chr14:68681967	12	RPL21P9;RDH12;RP11-1012A1.10;RN7SL213P;ZFYVE26;RP11-1012A1.7;CTD-2566J3.2;CTD-2566J3.1;RN7SL706P;RN7SL108P;RAD51B	RP11-204K16.1;PPIAP6;CTD-2325P2.4;CTD-2325P2.3;CTD-2325P2.2;RNU6-921P;ZFP36L1;MAGOH3P;BLZF2P;HMGN1P3
