sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
LIHC-DD-AAVP-TP	NC_003977_3182nt_Hepatitis_B_virus~1830~+~chr10~28655826~+	chr10	28655826	NC_003977_3182nt_Hepatitis_B_virus	1830	53	chr10:28655826	2	RN7SKP39;RP11-351M16.3;WAC-AS1;WAC;RNU4ATAC6P	TPRKBP1;RNU6-1067P;BAMBI;RP11-478H13.1;RNU6-270P
LIHC-BW-A5NP-TP	chr10~27906847~+~NC_003977_3182nt_Hepatitis_B_virus~1804~-	chr10	27906847	NC_003977_3182nt_Hepatitis_B_virus	1804	10	chr10:28655826	2	RAB18;MKX;MKX-AS1;RN7SKP132;RPL36AP55;<-(ARMC4)->	RP11-218D6.3;RP11-218D6.4;MPP7;MIR8086;AC022021.1
CESC-BI-A0VS-TP	HPV16~2915~+~chr10~34389298~+	chr10	34389298	HPV16	2915	85	chr10:35010252	4	RP13-259N13.2;LINC00838;RPL23P11;RP11-490O24.2;Y_RNA;<-(PARD3)->	TCEB2P4;RP11-8L18.3;RP11-8L18.2;PARD3-AS1;SS18L2P1
CESC-VS-A9UM-TP	chr10~35071340~+~HPV16~881~-	chr10	35071340	HPV16	881	269	chr10:35010252	4	PARD3-AS1;SS18L2P1;RNU6-847P;RNU6-193P;PRDX2P2;<-(CUL2)->	MIR3611;RP11-297A16.2;RNU7-77P;ATP6V1G1P4;CREM
CESC-EK-A2PI-TP	chr10~35016395~+~HPV16~881~-	chr10	35016395	HPV16	881	1089	chr10:35010252	4	PARD3-AS1;SS18L2P1;RNU6-847P;RNU6-193P;PRDX2P2;<-(CUL2)->	MIR3611;RP11-297A16.2;RNU7-77P;ATP6V1G1P4;CREM
CESC-VS-A9UD-TP	chr10~34875744~+~HPV16~3550~+	chr10	34875744	HPV16	3550	13	chr10:35010252	4	TCEB2P4;RP11-8L18.3;RP11-8L18.2;PARD3-AS1;SS18L2P1	RNU6-847P;RNU6-193P;PRDX2P2;CUL2;MIR3611
LIHC-DD-AADU-TP	chr10~38689125~+~NC_003977_3182nt_Hepatitis_B_virus~1774~-	chr10	38689125	NC_003977_3182nt_Hepatitis_B_virus	1774	37	chr10:38935568	2	RP11-291L22.4;ABCD1P2;RP11-453N3.7;PABPC1P12;SLC9B1P3	ACTR3BP5;CHEK2P5;RP11-453N3.1;RP11-96F8.1;KSR1P1
LIHC-G3-AAV0-TP	NC_003977_3182nt_Hepatitis_B_virus~1785~+~chr10~38935568~+	chr10	38935568	NC_003977_3182nt_Hepatitis_B_virus	1785	125	chr10:38935568	2	SLC9B1P3;ACTR3BP5;CHEK2P5;RP11-453N3.1;RP11-96F8.1	KSR1P1;IGKV1OR10-1;AL031601.4;AL031601.5;PABPC1P8
CESC-C5-A901-TP	chr10~46131385~+~HPV16~881~-	chr10	46131385	HPV16	881	108	chr10:46608303	2	TIMM23;NCOA4;MSMB;AL589822.1;AGAP7P	ANTXRLP1;ANTXRL;AC244230.1;FAM25BP;HNRNPA1P33
LIHC-G3-A3CH-NT	NC_003977_3182nt_Hepatitis_B_virus~1823~+~chr10~46608303~+	chr10	46608303	NC_003977_3182nt_Hepatitis_B_virus	1823	13	chr10:46608303	2	ANXA8L1;NPY4R;GPRIN2;SYT15;RP11-38L15.3;<-(RP11-38L15.2)->	FAM35BP;RP11-38L15.8;RHEBP1;Metazoa_SRP;CTSLP2
