chrom	lend	rend	gene	strand
chrY	11042722	11042943	RP1-85D24.4	-
chrY	11085476	11086061	C2orf27AP1	-
chrY	11107065	11107263	RP1-85D24.3	-
chrY	11107389	11107596	RP1-85D24.2	-
chrY	11107719	11107887	RP1-85D24.1	-
chrY	11144250	11144492	RP11-131M6.1	+
chrY	11153858	11159013	MAFIP	-
chrY	11173618	11173821	RP11-131M6.3	+
chrY	11178306	11178816	RP11-131M6.4	+
chrY	11184683	11184764	AC134878.2	-
chrY	11184875	11184957	AC134878.1	-
chrY	11306918	11308181	DUX4L16	+
chrY	11308274	11308351	AC134882.1	+
chrY	11314921	11316187	DUX4L17	+
chrY	11316278	11316360	AC134882.2	+
chrY	11321557	11322823	DUX4L18	+
chrY	11332329	11333595	DUX4L19	+
chrY	11333688	11333771	AC134882.3	+
chrY	11335627	11337693	PABPC1P5	+
chrY	11340579	11385687	SLC9B1P1	-
chrY	11395699	11397076	ACTR3BP1	+
chrY	11412548	11418716	RP11-295P22.3	+
chrY	11445418	11445564	MTND1P12	-
chrY	11445708	11446101	RP11-295P22.4	-
chrY	11473727	11474237	RP11-295P22.2	-
chrY	11781052	11782527	RCC2P1	-
chrY	11922536	11923769	ASS1P6	-
chrY	11957208	11987386	MXRA5Y	+
chrY	12244752	12245457	RPS24P1	+
chrY	12252321	12258033	ARSFP1	-
chrY	12273473	12273764	RN7SL702P	+
chrY	12321623	12322835	FAM8A4P	+
chrY	12339813	12347495	ARSEP1	+
chrY	12354096	12387328	ARSDP1	+
chrY	12354416	12420456	GYG2P1	-
chrY	12440046	12507369	XGY1	-
chrY	12537773	12544883	SHROOM2P1	+
chrY	12618983	12634402	MED14P1	-
chrY	12662334	12692233	TTTY15	+
chrY	12701231	12860839	USP9Y	+
chrY	12801973	12803830	CDY4P	-
chrY	12904108	12920478	DDX3Y	+
chrY	12930165	12948182	CASKP1	-
chrY	13083790	13095805	SFPQP1	+
chrY	13153931	13162214	TAB3P1	-
chrY	13230884	13231439	DPPA2P1	+
