multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV18|0,reads_R-HPV18,HPV18,left,10,2470,chr8,106848156,106848190,-,42,20
reads_R-HPV18|1,reads_R-HPV18,HPV18,right,10,7124,chr16,65807361,65807326,-,43,20
reads_R-HPV18|2,reads_R-HPV18,HPV18,left,10,559,chr1,218053027,218052992,+,43,19
reads_R-HPV18|3,reads_R-HPV18,HPV18,left,10,2815,chrX,14468503,14468538,-,43,19
reads_R-HPV18|4,reads_R-HPV18,HPV18,right,10,7017,chr12,113186220,113186255,+,43,17
reads_R-HPV18|5,reads_R-HPV18,HPV18,left,10,2283,chr9,25615097,25615132,-,43,16
reads_R-HPV18|6,reads_R-HPV18,HPV18,left,10,2504,chr4,36979660,36979696,-,43,16
reads_R-HPV18|7,reads_R-HPV18,HPV18,right,10,5815,chr19,27856335,27856302,-,41,15
reads_R-HPV18|8,reads_R-HPV18,HPV18,left,10,936,chr11,128012356,128012320,+,42,12
reads_R-HPV18|9,reads_R-HPV18,HPV18,left,10,3489,chr4,166852896,166852932,-,42,12
reads_R-HPV18|10,reads_R-HPV18,HPV18,right,10,5324,chr9,102620176,102620140,-,43,12
reads_R-HPV18|11,reads_R-HPV18,HPV18,right,10,7360,chr18,20940065,20940029,-,38,12
reads_R-HPV18|12,reads_R-HPV18,HPV18,left,10,279,chr1,197320839,197320800,+,43,11
reads_R-HPV18|13,reads_R-HPV18,HPV18,right,10,1601,chr15,27882236,27882275,+,43,11
reads_R-HPV18|14,reads_R-HPV18,HPV18,right,10,3050,chrX,105062560,105062598,+,42,11
reads_R-HPV18|15,reads_R-HPV18,HPV18,left,10,3906,chr22,30626470,30626509,-,43,11
reads_R-HPV18|16,reads_R-HPV18,HPV18,right,10,4171,chr13,66432512,66432474,-,42,11
reads_R-HPV18|17,reads_R-HPV18,HPV18,left,10,5205,chr1,75060898,75060859,+,43,11
reads_R-HPV18|18,reads_R-HPV18,HPV18,left,10,1743,chr2,23135892,23135930,-,43,10
reads_R-HPV18|19,reads_R-HPV18,HPV18,right,10,2604,chr3,165348779,165348750,-,43,10
reads_R-HPV18|20,reads_R-HPV18,HPV18,left,10,4815,chr9,38688636,38688666,-,43,10
reads_R-HPV18|21,reads_R-HPV18,HPV18,right,10,4914,chr22,42076182,42076222,+,43,10
reads_R-HPV18|22,reads_R-HPV18,HPV18,right,10,6884,chr9,129968541,129968570,+,43,10
reads_R-HPV18|23,reads_R-HPV18,HPV18,right,10,2068,chr14,67999191,67999152,-,43,9
reads_R-HPV18|24,reads_R-HPV18,HPV18,left,10,2108,chr17,5758917,5758877,+,43,9
reads_R-HPV18|25,reads_R-HPV18,HPV18,left,10,2578,chr8,13816541,13816581,-,43,9
reads_R-HPV18|26,reads_R-HPV18,HPV18,right,10,3751,chr7,13077595,13077564,-,42,9
reads_R-HPV18|27,reads_R-HPV18,HPV18,left,10,4524,chr17,30773511,30773471,+,43,9
reads_R-HPV18|28,reads_R-HPV18,HPV18,right,10,4571,chr18,50217322,50217362,+,43,9
reads_R-HPV18|29,reads_R-HPV18,HPV18,right,10,4652,chr15,69576597,69576559,-,42,9
reads_R-HPV18|30,reads_R-HPV18,HPV18,left,10,6010,chr2,194991149,194991118,+,42,9
reads_R-HPV18|31,reads_R-HPV18,HPV18,left,10,6178,chr22,33197553,33197521,+,43,9
reads_R-HPV18|32,reads_R-HPV18,HPV18,right,10,6667,chr13,18679352,18679383,+,42,9
reads_R-HPV18|33,reads_R-HPV18,HPV18,right,10,3636,chr21,18751083,18751044,-,41,8
reads_R-HPV18|34,reads_R-HPV18,HPV18,right,10,1044,chr5,174338792,174338832,+,41,6
reads_R-HPV18|35,reads_R-HPV18,HPV18,left,10,789,chr10,90917361,90917323,+,41,5
reads_R-HPV18|36,reads_R-HPV18,HPV18,right,10,1309,chr3,4085987,4086027,+,43,5
reads_R-HPV18|37,reads_R-HPV18,HPV18,left,10,2331,chr3,182498093,182498055,+,41,5
reads_R-HPV18|38,reads_R-HPV18,HPV18,left,10,4984,chr1,82064426,82064388,+,41,5
reads_R-HPV18|39,reads_R-HPV18,HPV18,left,10,6281,chr6,42870178,42870138,+,43,5
reads_R-HPV18|40,reads_R-HPV18,HPV18,right,10,7821,chr9,26615603,26615643,+,43,5
reads_R-HPV18|41,reads_R-HPV18,HPV18,right,10,3995,chr6,133400514,133400555,+,43,3
reads_R-HPV18|42,reads_R-HPV18,HPV18,left,4,6394,chr9,63711453,63711418,+,42,20
reads_R-HPV18|43,reads_R-HPV18,HPV18,left,4,6394,chr22,15882934,15882900,+,42,20
reads_R-HPV18|44,reads_R-HPV18,HPV18,left,4,6394,chr9,41351299,41351334,-,42,20
reads_R-HPV18|45,reads_R-HPV18,HPV18,left,4,6394,GL000194.1,20866,20900,-,42,20
reads_R-HPV18|46,reads_R-HPV18,HPV18,left,4,6394,chr9,40113573,40113538,+,42,19
reads_R-HPV18|47,reads_R-HPV18,HPV18,left,4,6394,chr21,10126836,10126801,+,43,19
reads_R-HPV18|48,reads_R-HPV18,HPV18,left,4,6394,chr9,64012844,64012879,-,42,19
reads_R-HPV18|49,reads_R-HPV18,HPV18,left,4,6394,chr14,19239247,19239282,-,42,19
reads_R-HPV18|50,reads_R-HPV18,HPV18,left,4,6394,chr14,19160346,19160311,+,42,17
reads_R-HPV18|51,reads_R-HPV18,HPV18,left,4,6394,chrY,11095693,11095728,-,42,17
reads_R-HPV18|52,reads_R-HPV18,HPV18,right,4,7698,chr22,14448099,14448130,+,39,16
reads_R-HPV18|53,reads_R-HPV18,HPV18,right,4,7698,chr22,14465072,14465104,+,39,16
reads_R-HPV18|54,reads_R-HPV18,HPV18,right,4,7698,chr22,14504155,14504186,+,39,16
reads_R-HPV18|55,reads_R-HPV18,HPV18,right,4,7698,chr22,14509083,14509114,+,39,16
reads_R-HPV18|56,reads_R-HPV18,HPV18,right,4,7698,chr22,14510953,14510984,+,39,16
reads_R-HPV18|57,reads_R-HPV18,HPV18,right,4,7698,chr22,14540202,14540234,+,39,16
reads_R-HPV18|58,reads_R-HPV18,HPV18,right,4,7698,chr22,14553127,14553158,+,39,16
reads_R-HPV18|59,reads_R-HPV18,HPV18,right,4,7698,chr22,14558737,14558768,+,39,16
reads_R-HPV18|60,reads_R-HPV18,HPV18,right,4,7698,chr22,14566558,14566590,+,39,16
reads_R-HPV18|61,reads_R-HPV18,HPV18,right,4,7698,chr22,14602924,14602956,+,39,16
reads_R-HPV18|62,reads_R-HPV18,HPV18,right,4,7698,chr22,14609029,14609060,+,39,16
reads_R-HPV18|63,reads_R-HPV18,HPV18,right,4,7698,chr22,14615651,14615682,+,39,16
reads_R-HPV18|64,reads_R-HPV18,HPV18,right,4,7698,chr22,14617521,14617552,+,39,16
