chrom	lend	rend	gene	strand
chrX	155456914	155458672	F8A3	-
chrX	155459415	155460005	H2AFB3	-
chrX	155466540	155611616	TMLHE-AS1	+
chrX	155468286	155487046	RP11-218L14.4	+
chrX	155490115	155669944	TMLHE	-
chrX	155767812	155782459	SPRY3	+
chrX	155828585	155829576	AMDP1	-
chrX	155875636	155875885	DPH3P2	+
chrX	155881293	155943769	VAMP7	+
chrX	155978992	155979325	TCEB1P24	-
chrX	155985370	155986249	TRPC6P	-
chrX	155997581	156010817	IL9R	+
chrX	156014623	156016837	WASIR1	-
chrX	156020826	156025710	WASH6P	+
chrX	156022631	156022698	AJ271736.1	+
chrX	156025664	156027877	DDX11L16	-
