chrom	lend	rend	gene	strand
chr16	87881546	87936529	CA5A	-
chr16	87892938	87893685	GS1-21A4.1	-
chr16	87892955	87893735	GS1-21A4.2	+
chr16	87945058	87945202	CTD-3057O21.1	-
chr16	87949244	88118422	BANP	+
chr16	88079161	88087383	RP11-863P13.5	-
chr16	88087387	88087932	RP11-863P13.6	+
chr16	88088041	88100985	RP11-863P13.4	-
chr16	88177289	88178646	RP11-863P13.1	+
chr16	88177298	88178941	RP11-863P13.3	-
chr16	88191486	88193667	RP11-863P13.2	-
chr16	88194281	88195217	LA16c-444G7.2	+
chr16	88234785	88302511	LA16c-444G7.1	+
chr16	88427471	88440757	ZNF469	+
chr16	88453317	88537016	ZFPM1	+
chr16	88468918	88469031	MIR5189	+
chr16	88512960	88531053	RP11-21B21.4	-
chr16	88570381	88631966	ZC3H18	+
chr16	88638591	88640473	IL17C	+
chr16	88643283	88651152	CYBA	-
chr16	88651935	88663161	MVD	-
chr16	88663298	88687186	SNAI3-AS1	+
chr16	88677682	88686493	SNAI3	-
chr16	88686544	88687053	AC138028.1	-
chr16	88696495	88706421	RNF166	-
chr16	88696501	88698610	RP5-1142A6.5	+
chr16	88706463	88715386	CTU2	+
chr16	88708956	88710437	RP5-1142A6.10	-
chr16	88715343	88785211	PIEZO1	-
chr16	88716278	88716337	MIR4722	-
chr16	88718615	88720459	RP5-1142A6.9	+
chr16	88731180	88741425	RP5-1142A6.2	+
chr16	88741631	88742367	RP5-1142A6.7	+
chr16	88742767	88745748	RP5-1142A6.8	+
chr16	88803213	88809258	CDT1	+
chr16	88809339	88811944	APRT	-
