group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	pred_insertion_name	pred_chr_pos	total_reads
subset.insertion_seqs.fa	chr20~34261629~34262628~+~HPV45~731~1730~+	chr20	34262628	HPV45	chr20~34262627~+~HPV45~730~+	34262627	208
subset.insertion_seqs.fa	chr20~37774800~37775799~-~HPV45~1400~2399~-	chr20	37774800	HPV45	HPV45~2396~+~chr20~37774799~+	37774799	14
subset.insertion_seqs.fa	chr2~185527502~185528501~+~HPV45~799~1798~-	chr2	185528501	HPV45	chr2~185528500~+~HPV45~1795~-	185528500	186
subset.insertion_seqs.fa	chr12~103989583~103990582~-~HPV45~4663~5662~+	chr12	103989583	HPV45	HPV45~4660~-~chr12~103989581~+	103989581	204
subset.insertion_seqs.fa	chr12~108483849~108484848~+~HPV45~2353~3352~+	chr12	108484848	HPV45	chr12~108484847~+~HPV45~2351~+	108484847	220
subset.insertion_seqs.fa	chr10~41901741~41902740~-~HPV45~3954~4953~+	chr10	41901741	HPV45	HPV45~3953~-~chr10~41901740~+	41901740	220
subset.insertion_seqs.fa	chr3~31619115~31620114~-~HPV45~2529~3528~-	chr3	31619115	HPV45	HPV45~3527~+~chr3~31619113~+	31619113	222
subset.insertion_seqs.fa	chr3~7350915~7351914~+~HPV45~1784~2783~-	chr3	7351914	HPV45	chr3~7351913~+~HPV45~2780~-	7351913	185
subset.insertion_seqs.fa	chr3~39149865~39150864~+~HPV45~2528~3527~+	chr3	39150864	HPV45	chr3~39150863~+~HPV45~2527~+	39150863	39
subset.insertion_seqs.fa	chr3~155403476~155404475~-~HPV45~2600~3599~-	chr3	155403476	HPV45	HPV45~3598~+~chr3~155403472~+	155403472	210
subset.insertion_seqs.fa	chr8~144157944~144158943~+~HPV45~972~1971~+	chr8	144158943	HPV45	chr8~144158942~+~HPV45~971~+	144158942	38
subset.insertion_seqs.fa	chr18~51240706~51241705~+~HPV45~129~1128~-	chr18	51241705	HPV45	HPV45~1128~+~chr18~51241704~-	51241704	211
subset.insertion_seqs.fa	chr4~176354207~176355206~+~HPV45~1485~2484~+	chr4	176355206	HPV45	chr4~176355205~+~HPV45~1484~+	176355205	205
subset.insertion_seqs.fa	chr4~176354207~176355206~+~HPV45~1485~2484~+	chr4	176355206	HPV45	chr4~176355206~+~HPV45~1484~+	176355206	221
subset.insertion_seqs.fa	chr7~149104247~149105246~-~HPV45~1611~2610~+	chr7	149104247	HPV45	chr7~149104243~-~HPV45~1609~+	149104243	28
subset.insertion_seqs.fa	chr7~149104247~149105246~-~HPV45~1611~2610~+	chr7	149104247	HPV45	chr7~149104246~-~HPV45~1609~+	149104246	39
subset.insertion_seqs.fa	chr2~185527502~185528501~+~HPV45~799~1798~-	chr2	185528501	HPV45	HPV45~1797~+~chr2~185528501~-	185528501	195
subset.insertion_seqs.fa	chr21~32634162~32635161~-~HPV45~2307~3306~+	chr21	32634162	HPV45	chr21~32634156~-~HPV45~2296~+	32634156	222
subset.insertion_seqs.fa	chr21~32634162~32635161~-~HPV45~2307~3306~+	chr21	32634162	HPV45	chr21~32634161~-~HPV45~2296~+	32634161	207
subset.insertion_seqs.fa	chr12~108483849~108484848~+~HPV45~2353~3352~+	chr12	108484848	HPV45	chr12~108484845~+~HPV45~2351~+	108484845	207
subset.insertion_seqs.fa	chr12~108483849~108484848~+~HPV45~2353~3352~+	chr12	108484848	HPV45	chr12~108484860~+~HPV45~2351~+	108484860	22
subset.insertion_seqs.fa	chr5~61267122~61268121~+~HPV45~2643~3642~+	chr5	61268121	HPV45	chr5~61268118~+~HPV45~2642~+	61268118	206
subset.insertion_seqs.fa	chr5~61267122~61268121~+~HPV45~2643~3642~+	chr5	61268121	HPV45	chr5~61268120~+~HPV45~2642~+	61268120	222
