fusion_name	Annots
RP11-59N23.3::RP11-59N23.1	[INTRACHROMOSOMAL[chr12:0.00Mb],NEIGHBORS_OVERLAP:+:+:[52]]
SLC39A11::DHX29	[TCGA_StarF2019,ChimerSeq,INTERCHROMOSOMAL[chr17--chr5]]
RP11-367G6.3::FAM65B	[INTRACHROMOSOMAL[chr6:0.08Mb],NEIGHBORS[78900]]
CRIPT::BIRC6	[ChimerSeq,TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr2:14.00Mb]]
RP11-110G21.1::RP11-546K22.1	[INTRACHROMOSOMAL[chr8:0.01Mb],NEIGHBORS[14285]]
UBE2D2::PSD2	[TCGA_StarF2019,INTRACHROMOSOMAL[chr5:0.17Mb]]
RP11-680G10.1::GSE1	[INTRACHROMOSOMAL[chr16:0.25Mb]]
PACSIN2::TTLL1	[TCGA_StarF2019,Larsson_TCGA,TumorFusionsNAR2018,ChimerSeq,CCLE_StarF2019,INTRACHROMOSOMAL[chr22:0.02Mb],LOCAL_REARRANGEMENT:-:[24499]]
SMC5-AS1::MAMDC2-AS1	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr9:0.02Mb],NEIGHBORS[18109]]
COL1A1::COL3A1	[ChimerSeq,GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTERCHROMOSOMAL[chr17--chr2]]
PTPN4::RAPGEF4-AS1	[TCGA_StarF2019,INTRACHROMOSOMAL[chr2:52.69Mb]]
NUPR1L::PSPH	[INTRACHROMOSOMAL[chr7:0.06Mb],NEIGHBORS[63077]]
RP4-535B20.1::JAK1	[INTRACHROMOSOMAL[chr1:0.10Mb]]
SPSB4::PXYLP1	[CCLE_StarF2019,TCGA_StarF2019,INTRACHROMOSOMAL[chr3:0.08Mb],NEIGHBORS[80115]]
RP11-444D3.1::SOX5	[INTRACHROMOSOMAL[chr12:0.26Mb]]
CLU::GFAP	[TCGA_StarF2019,ChimerSeq,INTERCHROMOSOMAL[chr8--chr17]]
THADA::AC093609.1	[TCGA_StarF2019,INTRACHROMOSOMAL[chr2:0.13Mb]]
CNRIP1::PPP3R1	[GTEx_recurrent_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr2:0.03Mb],NEIGHBORS[27934]]
ATF2::CHN1	[GTEx_recurrent_StarF2019,ConjoinG,INTRACHROMOSOMAL[chr2:0.07Mb],NEIGHBORS[66881]]
RPLP2::RP11-51L5.2	[INTERCHROMOSOMAL[chr11--chr17]]
MARK3::BAG5	[ChimerSeq,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr14:0.05Mb],LOCAL_INVERSION:+:-:[52713]]
IGSF5::PCP4	[GTEx_recurrent_StarF2019,Babiceanu_Normal,INTRACHROMOSOMAL[chr21:0.07Mb],NEIGHBORS[65221]]
RP11-1102P16.1::EYA1	[INTRACHROMOSOMAL[chr8:0.04Mb],NEIGHBORS[41208]]
RP5-858L17.1::RP4-673D20.3	[INTRACHROMOSOMAL[chr20:0.11Mb]]
JMJD6::GLT8D1	[ChimerSeq,TCGA_StarF2019,INTERCHROMOSOMAL[chr17--chr3]]
ZNF395::PBK	[TCGA_StarF2019,INTRACHROMOSOMAL[chr8:0.51Mb]]
RPLP1::RPLP1P13	[HGNC_GENEFAM,INTERCHROMOSOMAL[chr15--chr13]]
RP11-123O10.4::GRIP1	[INTRACHROMOSOMAL[chr12:0.09Mb],NEIGHBORS[87690]]
RNF152::RP11-879F14.1	[INTRACHROMOSOMAL[chr18:0.06Mb],NEIGHBORS[59231]]
NRIP1::AF127936.7	[INTRACHROMOSOMAL[chr21:0.04Mb],NEIGHBORS[42683]]
HIC2::PI4KA	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr22:0.56Mb]]
C12orf73::GLT8D2	[TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr12:0.02Mb],LOCAL_REARRANGEMENT:-:[23276]]
TEX2::RP11-349A8.3	[INTRACHROMOSOMAL[chr17:2.76Mb]]
ZC3H18::ADAD2	[TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr16:4.37Mb]]
CPSF6::OXLD1	[TCGA_StarF2019,INTERCHROMOSOMAL[chr12--chr17]]
NFYA::AKT2	[TCGA_StarF2019,TumorFusionsNAR2018,INTERCHROMOSOMAL[chr6--chr19]]
LITAF::BCAR4	[TCGA_StarF2019,ChimerSeq,CCLE_StarF2019,INTRACHROMOSOMAL[chr16:0.18Mb]]
RP11-380O24.1::SRGAP3	[INTRACHROMOSOMAL[chr3:0.04Mb],NEIGHBORS[42903]]
KANSL1::ARL17A	[ChimerSeq,Babiceanu_Normal,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr17:0.29Mb]]
STAG3L1::CDK14	[TCGA_StarF2019,INTRACHROMOSOMAL[chr7:15.07Mb]]
COX7B2::PIP4K2A	[TumorFusionsNAR2018,TCGA_StarF2019,INTERCHROMOSOMAL[chr4--chr10]]
UMAD1::GLCCI1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr7:0.00Mb],NEIGHBORS[774]]
ACTG2::ACTG1	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr2--chr17]]
PCDHA6::PCDHAC2	[DGD_PARALOGS,HGNC_GENEFAM,INTRACHROMOSOMAL[chr5:0.14Mb]]
TET1::EFHC2	[TumorFusionsNAR2018,TCGA_StarF2019,INTERCHROMOSOMAL[chr10--chrX]]
