#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV33~1591~-~chr16~73393053~+	chr16	73393053	+	HPV33	1591	-	173+20	high	193
subset.insertion_seqs.fa	chr1~8746729~+~HPV33~2665~+	chr1	8746729	+	HPV33	2665	+	173+20	high	193
subset.insertion_seqs.fa	HPV33~732~-~chr13~22949042~+	chr13	22949042	+	HPV33	732	-	149+11	high	160
subset.insertion_seqs.fa	HPV33~1715~-~chr13~28823599~+	chr13	28823599	+	HPV33	1715	-	173+40	high	213
subset.insertion_seqs.fa	HPV33~5595~-~chr19~49501669~+	chr19	49501669	+	HPV33	5595	-	173+38	high	211
subset.insertion_seqs.fa	HPV33~7195~+~chr14~28350836~+	chr14	28350836	+	HPV33	7195	+	148+15	high	163
subset.insertion_seqs.fa	HPV33~6658~+~chr14~47814861~+	chr14	47814861	+	HPV33	6658	+	146+16	high	162
subset.insertion_seqs.fa	chr2~33090663~+~HPV33~319~+	chr2	33090663	+	HPV33	319	+	149+33	high	182
subset.insertion_seqs.fa	HPV33~6496~+~chr2~66167762~+	chr2	66167762	+	HPV33	6496	+	176+42	high	218
subset.insertion_seqs.fa	chr2~162522853~+~HPV33~2731~+	chr2	162522853	+	HPV33	2731	+	169+41	high	210
subset.insertion_seqs.fa	chr12~2930080~+~HPV33~3614~+	chr12	2930080	+	HPV33	3614	+	158+39	high	197
subset.insertion_seqs.fa	chr12~31660402~+~HPV33~6491~+	chr12	31660402	+	HPV33	6491	+	167+20	high	187
subset.insertion_seqs.fa	chr12~77587346~+~HPV33~4536~+	chr12	77587346	+	HPV33	4536	+	176+39	high	215
subset.insertion_seqs.fa	chr11~47220253~+~HPV33~893~+	chr11	47220253	+	HPV33	893	+	167+23	high	190
subset.insertion_seqs.fa	chr11~47220255~+~HPV33~893~+	chr11	47220255	+	HPV33	893	+	167+41	high	208
subset.insertion_seqs.fa	chr4~83295823~-~HPV33~1257~+	chr4	83295823	-	HPV33	1257	+	169+40	high	209
subset.insertion_seqs.fa	chr4~83295825~-~HPV33~1257~+	chr4	83295825	-	HPV33	1257	+	169+19	high	188
subset.insertion_seqs.fa	HPV33~1454~+~chrX~123155952~+	chrX	123155952	+	HPV33	1454	+	169+35	high	204
subset.insertion_seqs.fa	HPV33~1454~+~chrX~123155954~+	chrX	123155954	+	HPV33	1454	+	169+17	high	186
subset.insertion_seqs.fa	chr11~100021530~+~HPV33~1564~+	chr11	100021530	+	HPV33	1564	+	173+40	high	213
subset.insertion_seqs.fa	chr11~100021535~+~HPV33~1564~+	chr11	100021535	+	HPV33	1564	+	0+19	high	19
subset.insertion_seqs.fa	chr16~73393054~-~HPV33~1592~+	chr16	73393054	-	HPV33	1592	+	173+19	high	192
subset.insertion_seqs.fa	chr13~28823594~-~HPV33~1715~+	chr13	28823594	-	HPV33	1715	+	0+18	high	18
subset.insertion_seqs.fa	HPV33~1739~+~chr4~122590492~+	chr4	122590492	+	HPV33	1739	+	147+20	high	167
subset.insertion_seqs.fa	HPV33~1739~+~chr4~122590493~+	chr4	122590493	+	HPV33	1739	+	147+31	high	178
subset.insertion_seqs.fa	chr10~110406711~+~HPV33~2074~+	chr10	110406711	+	HPV33	2074	+	173+39	high	212
subset.insertion_seqs.fa	chr10~110406729~+~HPV33~2074~+	chr10	110406729	+	HPV33	2074	+	0+19	high	19
subset.insertion_seqs.fa	chr22~31796537~-~HPV33~2152~+	chr22	31796537	-	HPV33	2152	+	137+29	high	166
subset.insertion_seqs.fa	HPV33~2427~+~chr4~78243899~+	chr4	78243899	+	HPV33	2427	+	148+33	high	181
subset.insertion_seqs.fa	chr1~8746727~+~HPV33~2666~+	chr1	8746727	+	HPV33	2666	+	173+23	high	196
subset.insertion_seqs.fa	chr2~162522851~+~HPV33~2731~+	chr2	162522851	+	HPV33	2731	+	169+20	high	189
subset.insertion_seqs.fa	chr21~17495616~-~HPV33~3029~+	chr21	17495616	-	HPV33	3029	+	169+39	high	208
subset.insertion_seqs.fa	chr21~17495618~-~HPV33~3029~+	chr21	17495618	-	HPV33	3029	+	169+19	high	188
subset.insertion_seqs.fa	chr5~103343310~+~HPV33~3200~+	chr5	103343310	+	HPV33	3200	+	147+34	high	181
subset.insertion_seqs.fa	chr10~109017168~+~HPV33~3522~+	chr10	109017168	+	HPV33	3522	+	148+32	high	180
subset.insertion_seqs.fa	HPV33~3563~+~chr6~47912311~+	chr6	47912311	+	HPV33	3563	+	169+36	high	205
subset.insertion_seqs.fa	HPV33~3563~+~chr6~47912313~+	chr6	47912313	+	HPV33	3563	+	169+17	high	186
subset.insertion_seqs.fa	HPV33~3593~+~chr4~19600562~-	chr4	19600562	-	HPV33	3593	+	168+17	high	185
subset.insertion_seqs.fa	HPV33~3593~+~chr4~19600564~-	chr4	19600564	-	HPV33	3593	+	168+36	high	204
subset.insertion_seqs.fa	chrX~62698956~+~HPV33~3593~+	chrX	62698956	+	HPV33	3593	+	171+39	high	210
subset.insertion_seqs.fa	HPV33~3646~+~chr20~18491431~-	chr20	18491431	-	HPV33	3646	+	148+33	high	181
subset.insertion_seqs.fa	HPV33~4058~+~chr5~112883772~+	chr5	112883772	+	HPV33	4058	+	173+41	high	214
subset.insertion_seqs.fa	chr3~151141573~-~HPV33~4357~+	chr3	151141573	-	HPV33	4357	+	147+33	high	180
subset.insertion_seqs.fa	chr4~56219098~+~HPV33~4714~+	chr4	56219098	+	HPV33	4714	+	147+30	high	177
subset.insertion_seqs.fa	chr4~56219099~+~HPV33~4714~+	chr4	56219099	+	HPV33	4714	+	147+19	high	166
subset.insertion_seqs.fa	HPV33~4935~+~chr3~98968452~-	chr3	98968452	-	HPV33	4935	+	170+37	high	207
subset.insertion_seqs.fa	HPV33~4935~+~chr3~98968453~-	chr3	98968453	-	HPV33	4935	+	170+19	high	189
subset.insertion_seqs.fa	HPV33~5213~+~chrY~4875907~-	chrY	4875907	-	HPV33	5213	+	159+28	high	187
subset.insertion_seqs.fa	chr17~33470267~-~HPV33~5634~+	chr17	33470267	-	HPV33	5634	+	147+32	high	179
subset.insertion_seqs.fa	chr18~61535765~+~HPV33~5864~+	chr18	61535765	+	HPV33	5864	+	147+33	high	180
subset.insertion_seqs.fa	chr5~60514007~+~HPV33~6094~+	chr5	60514007	+	HPV33	6094	+	172+41	high	213
subset.insertion_seqs.fa	chr12~31660400~+~HPV33~6498~+	chr12	31660400	+	HPV33	6498	+	167+18	high	185
subset.insertion_seqs.fa	chr15~69557798~-~HPV33~6504~+	chr15	69557798	-	HPV33	6504	+	174+40	high	214
subset.insertion_seqs.fa	HPV33~6496~+~chr2~66167759~+	chr2	66167759	+	HPV33	6496	+	176+19	high	195
subset.insertion_seqs.fa	HPV33~6588~+~chr8~72525161~+	chr8	72525161	+	HPV33	6588	+	147+32	high	179
subset.insertion_seqs.fa	chr21~13861565~+~HPV33~6639~+	chr21	13861565	+	HPV33	6639	+	157+18	high	175
subset.insertion_seqs.fa	chr21~13861567~+~HPV33~6639~+	chr21	13861567	+	HPV33	6639	+	157+38	high	195
subset.insertion_seqs.fa	HPV33~7071~+~chr10~12758164~+	chr10	12758164	+	HPV33	7071	+	147+19	high	166
subset.insertion_seqs.fa	HPV33~7071~+~chr10~12758165~+	chr10	12758165	+	HPV33	7071	+	147+29	high	176
subset.insertion_seqs.fa	HPV33~7603~+~chr6~7706212~-	chr6	7706212	-	HPV33	7603	+	148+33	high	181
subset.insertion_seqs.fa	HPV33~1430~-~chr22~41689483~+	chr22	41689483	+	HPV33	1430	-	153+41	high	194
subset.insertion_seqs.fa	chr22~45124042~+~HPV33~7458~-	chr22	45124042	+	HPV33	7458	-	148+13	high	161
subset.insertion_seqs.fa	HPV33~7178~+~chr10~125924761~+	chr10	125924761	+	HPV33	7178	+	141+28	high	169
subset.insertion_seqs.fa	chr2~212880019~+~HPV33~3420~+	chr2	212880019	+	HPV33	3420	+	0+32	low	32
subset.insertion_seqs.fa	chr21~43168885~-~HPV33~550~+	chr21	43168885	-	HPV33	550	+	110+20	low	130
subset.insertion_seqs.fa	HPV33~7178~+~chr7~30956376~-	chr7	30956376	-	HPV33	7178	+	0+19	low	19
subset.insertion_seqs.fa	chr10~36920176~+~HPV33~6280~-	chr10	36920176	+	HPV33	6280	-	0+13	low	13
