#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr19~15725024~-~HPV16~92~+	HPV16	-	4	92	chr19	15725024	15724987	+	HPV16:92	39	5
subset.insertion_seqs.fa	chrX~12625503~-~HPV16~92~-	HPV16	-	4	92	chrX	12625503	12625540	-	HPV16:92	38	4
subset.insertion_seqs.fa	chr16~47355257~-~HPV16~92~-	HPV16	-	4	92	chr16	47355257	47355294	-	HPV16:92	37	4
subset.insertion_seqs.fa	chr9~27001101~-~HPV16~92~+	HPV16	-	4	92	chr9	27001101	27001062	+	HPV16:92	38	4
subset.insertion_seqs.fa	chr8~92899547~-~HPV16~92~+	HPV16	-	4	92	chr8	92899547	92899507	+	HPV16:92	38	3
subset.insertion_seqs.fa	chr7~141434904~-~HPV16~92~+	HPV16	-	4	92	chr7	141434904	141434864	+	HPV16:92	39	4
subset.insertion_seqs.fa	chr2~109891932~-~HPV16~92~+	HPV16	-	4	92	chr2	109891932	109891892	+	HPV16:92	39	3
subset.insertion_seqs.fa	chr19~41107017~-~HPV16~92~+	HPV16	-	4	92	chr19	41107017	41106977	+	HPV16:92	38	3
subset.insertion_seqs.fa	chrX~35917339~-~HPV16~92~-	HPV16	-	4	92	chrX	35917339	35917378	-	HPV16:92	39	4
subset.insertion_seqs.fa	chr7~153486010~-~HPV16~92~-	HPV16	-	4	92	chr7	153486010	153486045	-	HPV16:92	37	2
subset.insertion_seqs.fa	chr2~110479574~-~HPV16~92~-	HPV16	-	4	92	chr2	110479574	110479614	-	HPV16:92	39	3
subset.insertion_seqs.fa	chr3~33347267~-~HPV16~92~+	HPV16	-	7	92	chr3	33347267	33347237	+	HPV16:92	28	1
subset.insertion_seqs.fa	chrX~106252128~-~HPV16~92~+	HPV16	-	4	92	chrX	106252128	106252088	+	HPV16:92	39	3
subset.insertion_seqs.fa	chr4~126426392~-~HPV16~92~+	HPV16	-	4	92	chr4	126426392	126426352	+	HPV16:92	39	3
subset.insertion_seqs.fa	chr18~74965455~-~HPV16~92~+	HPV16	-	4	92	chr18	74965455	74965416	+	HPV16:92	38	3
subset.insertion_seqs.fa	chr10~53610358~-~HPV16~92~+	HPV16	-	4	92	chr10	53610358	53610323	+	HPV16:92	35	3
subset.insertion_seqs.fa	chrX~84382559~-~HPV16~92~-	HPV16	-	4	92	chrX	84382559	84382599	-	HPV16:92	41	3
subset.insertion_seqs.fa	chrX~128552959~-~HPV16~92~-	HPV16	-	4	92	chrX	128552959	128552999	-	HPV16:92	39	3
subset.insertion_seqs.fa	chr6~89017408~-~HPV16~92~-	HPV16	-	4	92	chr6	89017408	89017447	-	HPV16:92	37	3
subset.insertion_seqs.fa	chr5~103983381~-~HPV16~92~-	HPV16	-	4	92	chr5	103983381	103983421	-	HPV16:92	38	3
subset.insertion_seqs.fa	chr5~94272031~-~HPV16~92~-	HPV16	-	4	92	chr5	94272031	94272071	-	HPV16:92	38	3
subset.insertion_seqs.fa	chr18~51377146~-~HPV16~92~-	HPV16	-	4	92	chr18	51377146	51377186	-	HPV16:92	38	3
subset.insertion_seqs.fa	chr11~114906084~-~HPV16~92~-	HPV16	-	4	92	chr11	114906084	114906123	-	HPV16:92	38	3
subset.insertion_seqs.fa	chr10~73375056~-~HPV16~92~-	HPV16	-	4	92	chr10	73375056	73375096	-	HPV16:92	38	3
subset.insertion_seqs.fa	chrX~107961080~-~HPV16~92~+	HPV16	-	4	92	chrX	107961080	107961040	+	HPV16:92	38	2
subset.insertion_seqs.fa	chrX~105530877~-~HPV16~92~+	HPV16	-	1	92	chrX	105530877	105530840	+	HPV16:92	35	1
subset.insertion_seqs.fa	chr9~28622491~-~HPV16~92~+	HPV16	-	4	92	chr9	28622491	28622450	+	HPV16:92	39	2
