#sample	#FusionName	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots
HELA_CERVIX	HNRNPUL2--C11orf49	288	103	288.00	93.47	ONLY_REF_SPLICE	HNRNPUL2^ENSG00000214753.2	chr11:62494091:-	C11orf49^ENSG00000149179.9	chr11:47008759:+	YES_LDAS	4.2539	GT	1.5656	AG	1.9219	["Klijn_CellLines","CCLE_StarF2019","INTRACHROMOSOMAL[chr11:15.29Mb]"]
HELA_CERVIX	B3GAT3--GANAB	199	135	199.00	135.00	ONLY_REF_SPLICE	B3GAT3^ENSG00000149541.5	chr11:62387969:-	GANAB^ENSG00000089597.12	chr11:62394825:-	YES_LDAS	3.7245	GT	1.7232	AG	1.7819	["CCLE_StarF2019","Klijn_CellLines","INTRACHROMOSOMAL[chr11:0.00Mb]","LOCAL_REARRANGEMENT:-:[2651]"]
HELA_CERVIX	HNRNPUL2--C11orf49	96	44	96.00	9.53	ONLY_REF_SPLICE	HNRNPUL2^ENSG00000214753.2	chr11:62494091:-	C11orf49^ENSG00000149179.9	chr11:47159196:+	YES_LDAS	1.1768	GT	1.5656	AG	1.9656	["Klijn_CellLines","CCLE_StarF2019","INTRACHROMOSOMAL[chr11:15.29Mb]"]
HELA_CERVIX	TIMM23B--PARGP1	52	27	47.30	26.77	ONLY_REF_SPLICE	TIMM23B^ENSG00000204152.6	chr10:51387763:+	PARGP1^ENSG00000214982.6	chr10:51732772:+	YES_LDAS	0.826	GT	1.7819	AG	1.9086	["INTRACHROMOSOMAL[chr10:0.24Mb]"]
HELA_CERVIX	GNB1--NADK	38	0	38.00	0.00	ONLY_REF_SPLICE	GNB1^ENSG00000078369.13	chr1:1822259:-	NADK^ENSG00000008130.11	chr1:1696885:-	YES_LDAS	0.4238	GT	1.6729	AG	1.8295	["CCLE_StarF2019","GUO2018CR_TCGA","ChimerSeq","TCGA_StarF2019","INTRACHROMOSOMAL[chr1:0.00Mb]","NEIGHBORS[4833]"]
HELA_CERVIX	LEPROT--LEPR	37	18	37.00	18.00	ONLY_REF_SPLICE	LEPROT^ENSG00000213625.4	chr1:65891061:+	LEPR^ENSG00000116678.14	chr1:66031229:+	YES_LDAS	0.6133	GT	1.8256	AG	1.9219	["ChimerSeq","GTEx_recurrent_StarF2019","INTRACHROMOSOMAL[chr1:0.09Mb]","NEIGHBORS[89682]"]
HELA_CERVIX	TIMM23B--RP11-574K11.29	36	5	4.77	4.42	INCL_NON_REF_SPLICE	TIMM23B^ENSG00000204152.6	chr10:51387763:+	RP11-574K11.29^ENSG00000272140.2	chr10:75473090:-	YES_LDAS	0.1025	GT	1.7819	AG	1.9086	["INTRACHROMOSOMAL[chr10:24.08Mb]"]
HELA_CERVIX	SEPT7P2--PSPH	34	0	34.00	0.00	ONLY_REF_SPLICE	SEPT7P2^ENSG00000214765.4	chr7:45808259:-	PSPH^ENSG00000146733.9	chr7:56088924:-	YES_LDAS	0.3791	GT	1.8892	AG	1.9656	["GTEx_recurrent_StarF2019","Babiceanu_Normal","INTRACHROMOSOMAL[chr7:10.27Mb]"]
HELA_CERVIX	KANSL1--ARL17A	34	25	17.00	12.50	ONLY_REF_SPLICE	KANSL1^ENSG00000120071.8	chr17:44171926:-	ARL17A^ENSG00000185829.11	chr17:44648235:-	YES_LDAS	0.329	GT	1.8892	AG	1.7056	["ChimerSeq","Babiceanu_Normal","GTEx_recurrent_StarF2019","INTRACHROMOSOMAL[chr17:0.29Mb]"]
HELA_CERVIX	SREBF2--MEI1	28	12	28.00	9.60	ONLY_REF_SPLICE	SREBF2^ENSG00000198911.7	chr22:42229362:+	MEI1^ENSG00000167077.8	chr22:42154369:+	YES_LDAS	0.4193	GT	1.8892	AG	1.9656	["Klijn_CellLines","TumorFusionsNAR2018","TCGA_StarF2019","INTRACHROMOSOMAL[chr22:0.03Mb]","LOCAL_REARRANGEMENT:+:[33649]"]
HELA_CERVIX	C15orf57--CBX3	19	41	19.00	18.12	INCL_NON_REF_SPLICE	C15orf57^ENSG00000128891.11	chr15:40854971:-	CBX3^ENSG00000122565.14	chr7:26241389:+	YES_LDAS	0.414	GT	1.8892	AG	1.3383	["Babiceanu_Normal","INTERCHROMOSOMAL[chr15--chr7]"]
HELA_CERVIX	CCAT1--AC016629.3	18	10	18.00	8.18	INCL_NON_REF_SPLICE	CCAT1^ENSG00000247844.1	chr8:128231055:-	AC016629.3^ENSG00000269600.1	chr19:59110627:-	YES_LDAS	0.2919	GT	1.9899	AG	1.9656	["INTERCHROMOSOMAL[chr8--chr19]"]
HELA_CERVIX	PALM2--AKAP2	18	28	18.00	28.00	INCL_NON_REF_SPLICE	PALM2^ENSG00000243444.3	chr9:112778319:+	AKAP2^ENSG00000241978.5	chr9:112898407:+	YES_LDAS	0.5129	GT	1.9219	AG	1.8295	["ChimerSeq","INTRACHROMOSOMAL[chr9:0.10Mb]","NEIGHBORS[97123]"]
HELA_CERVIX	CCAT1--CASC8	17	14	17.00	14.00	ONLY_REF_SPLICE	CCAT1^ENSG00000247844.1	chr8:128231055:-	CASC8^ENSG00000246228.2	chr8:128302305:-	YES_LDAS	0.3457	GT	1.9899	AG	1.9656	["ChimerSeq","INTRACHROMOSOMAL[chr8:0.07Mb]","LOCAL_REARRANGEMENT:-:[70729]"]
HELA_CERVIX	HLA-J--HLA-S	15	0	15.00	0.00	ONLY_REF_SPLICE	HLA-J^ENSG00000204622.6	chr6:29976954:+	HLA-S^ENSG00000225851.1	chr6:31350065:-	YES_LDAS	0.1673	GT	1.9656	AG	1.9329	["HGNC_GENEFAM","INTRACHROMOSOMAL[chr6:1.37Mb]"]
HELA_CERVIX	SNHG3--ITGB3BP	6	0	6.00	0.00	ONLY_REF_SPLICE	SNHG3^ENSG00000242125.2	chr1:28834672:+	ITGB3BP^ENSG00000142856.12	chr1:63920639:-	YES_LDAS	0.0669	GT	1.7968	AG	1.8295	["TCGA_StarF2019","INTRACHROMOSOMAL[chr1:35.07Mb]"]
HELA_CERVIX	GNB1--NADK	6	0	6.00	0.00	ONLY_REF_SPLICE	GNB1^ENSG00000078369.13	chr1:1821803:-	NADK^ENSG00000008130.11	chr1:1696885:-	YES_LDAS	0.0669	GT	1.6895	AG	1.8295	["CCLE_StarF2019","GUO2018CR_TCGA","ChimerSeq","TCGA_StarF2019","INTRACHROMOSOMAL[chr1:0.00Mb]","NEIGHBORS[4833]"]
HELA_CERVIX	CRYBG3--TSHZ2	6	4	6.00	4.00	ONLY_REF_SPLICE	CRYBG3^ENSG00000233280.2	chr3:97541199:+	TSHZ2^ENSG00000182463.11	chr20:51870038:+	YES_LDAS	0.1115	GT	1.6895	AG	1.7819	["CCLE_StarF2019","INTERCHROMOSOMAL[chr3--chr20]"]
HELA_CERVIX	SREBF2--MEI1	6	13	6.00	3.40	ONLY_REF_SPLICE	SREBF2^ENSG00000198911.7	chr22:42229362:+	MEI1^ENSG00000167077.8	chr22:42148595:+	YES_LDAS	0.1048	GT	1.8892	AG	1.4295	["Klijn_CellLines","TumorFusionsNAR2018","TCGA_StarF2019","INTRACHROMOSOMAL[chr22:0.03Mb]","LOCAL_REARRANGEMENT:+:[33649]"]
HELA_CERVIX	ZNF654--HMGB2	5	0	5.00	0.00	INCL_NON_REF_SPLICE	ZNF654^ENSG00000175105.5	chr3:88188941:+	HMGB2^ENSG00000164104.7	chr4:174253311:-	YES_LDAS	0.0558	GT	1.2729	AG	1.3710	["CCLE_StarF2019","INTERCHROMOSOMAL[chr3--chr4]"]
HELA_CERVIX	TMEM132A--TMEM109	5	0	5.00	0.00	ONLY_REF_SPLICE	TMEM132A^ENSG00000006118.10	chr11:60698131:+	TMEM109^ENSG00000110108.5	chr11:60687158:+	YES_LDAS	0.0558	GT	1.9329	AG	1.9329	["INTRACHROMOSOMAL[chr11:0.00Mb]","LOCAL_REARRANGEMENT:+:[1020]"]
HELA_CERVIX	RP11-255H23.4--RPS5	5	1	5.00	1.00	INCL_NON_REF_SPLICE	RP11-255H23.4^ENSG00000267924.1	chr19:24009900:-	RPS5^ENSG00000083845.4	chr19:58904738:+	YES_LDAS	0.067	GT	1.8892	AG	1.9086	["INTRACHROMOSOMAL[chr19:34.84Mb]"]
