#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	chr19~33720390~+~HPV16~5406~+	chr19	33720390	+	HPV16	5406	+	157+35	high	192
subset.insertion_seqs.fa	chr19~35202958~+~HPV16~3166~+	chr19	35202958	+	HPV16	3166	+	157+34	high	191
subset.insertion_seqs.fa	chr1~201421248~+~HPV16~7409~-	chr1	201421248	+	HPV16	7409	-	145+48	high	193
subset.insertion_seqs.fa	HPV16~3352~-~chr11~97654273~+	chr11	97654273	+	HPV16	3352	-	158+37	high	195
subset.insertion_seqs.fa	chr11~91587821~+~HPV16~3434~+	chr11	91587821	+	HPV16	3434	+	150+40	high	190
subset.insertion_seqs.fa	HPV16~5131~-~chr11~98111714~+	chr11	98111714	+	HPV16	5131	-	135+42	high	177
subset.insertion_seqs.fa	chr11~103798317~+~HPV16~2868~+	chr11	103798317	+	HPV16	2868	+	144+45	high	189
subset.insertion_seqs.fa	HPV16~4367~+~chr2~15501002~+	chr2	15501002	+	HPV16	4367	+	0+34	high	34
subset.insertion_seqs.fa	HPV16~150~-~chr2~192283745~+	chr2	192283745	+	HPV16	150	-	144+20	high	164
subset.insertion_seqs.fa	chr4~4250602~+~HPV16~1720~-	chr4	4250602	+	HPV16	1720	-	0+21	high	21
subset.insertion_seqs.fa	chr4~19901822~+~HPV16~7268~-	chr4	19901822	+	HPV16	7268	-	145+43	high	188
subset.insertion_seqs.fa	HPV16~7229~+~chr8~4650259~+	chr8	4650259	+	HPV16	7229	+	156+35	high	191
subset.insertion_seqs.fa	chr8~70416316~+~HPV16~5084~-	chr8	70416316	+	HPV16	5084	-	159+24	high	183
subset.insertion_seqs.fa	chr8~101422856~+~HPV16~3523~-	chr8	101422856	+	HPV16	3523	-	156+19	high	175
subset.insertion_seqs.fa	chr8~101422864~+~HPV16~3523~-	chr8	101422864	+	HPV16	3523	-	156+19	high	175
subset.insertion_seqs.fa	chr8~101422880~+~HPV16~3523~-	chr8	101422880	+	HPV16	3523	-	0+21	high	21
subset.insertion_seqs.fa	chr8~137899365~+~HPV16~1000~-	chr8	137899365	+	HPV16	1000	-	148+19	high	167
subset.insertion_seqs.fa	chr3~73560292~+~HPV16~4939~-	chr3	73560292	+	HPV16	4939	-	0+20	high	20
subset.insertion_seqs.fa	chr3~174885861~+~HPV16~2124~+	chr3	174885861	+	HPV16	2124	+	147+19	high	166
subset.insertion_seqs.fa	HPV16~2545~-~chr22~47977272~+	chr22	47977272	+	HPV16	2545	-	158+20	high	178
subset.insertion_seqs.fa	chr14~22895290~+~HPV16~2553~+	chr14	22895290	+	HPV16	2553	+	120+46	high	166
subset.insertion_seqs.fa	HPV16~1452~-~chr14~69352880~+	chr14	69352880	+	HPV16	1452	-	152+37	high	189
subset.insertion_seqs.fa	HPV16~5805~-~chr17~20412782~+	chr17	20412782	+	HPV16	5805	-	0+13	high	13
subset.insertion_seqs.fa	chr17~65500819~+~HPV16~1741~-	chr17	65500819	+	HPV16	1741	-	0+20	high	20
subset.insertion_seqs.fa	chr7~53022720~+~HPV16~2802~+	chr7	53022720	+	HPV16	2802	+	158+20	high	178
subset.insertion_seqs.fa	HPV16~7052~+~chrX~53923147~+	chrX	53923147	+	HPV16	7052	+	0+24	high	24
