sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV97,HPV97,right,6,947,chr18,1875684,1875710,+,26,1
reads-HPV97,HPV97,right,3,1543,chr4,67407505,67407532,+,43,7
reads-HPV97,HPV97,right,3,1543,chr3,43935584,43935611,+,43,7
reads-HPV97,HPV97,right,3,1543,chr16,60387184,60387211,+,42,7
reads-HPV97,HPV97,right,0,1543,chrX,113063400,113063430,+,30,1
reads-HPV97,HPV97,right,0,1543,chr9,112674242,112674272,+,30,1
reads-HPV97,HPV97,right,0,1543,chr5,106652216,106652246,+,30,1
reads-HPV97,HPV97,right,0,1543,chr4,98304841,98304871,+,30,1
reads-HPV97,HPV97,right,0,1543,chr20,16071172,16071202,+,30,1
reads-HPV97,HPV97,right,0,1543,chr18,34370795,34370825,+,29,1
reads-HPV97,HPV97,right,0,1543,chr18,29050108,29050138,+,29,1
reads-HPV97,HPV97,right,0,1543,chr12,73846364,73846394,+,30,1
reads-HPV97,HPV97,right,0,1543,chr12,67865060,67865090,+,30,1
reads-HPV97,HPV97,right,0,1543,chr11,82352741,82352769,+,27,1
reads-HPV97,HPV97,right,3,1543,chrX,73652251,73652218,-,34,2
reads-HPV97,HPV97,right,0,1543,chrX,10801714,10801685,-,29,1
reads-HPV97,HPV97,right,0,1543,chr7,19528839,19528809,-,30,1
reads-HPV97,HPV97,right,0,1543,chr5,130934067,130934037,-,29,1
reads-HPV97,HPV97,right,3,1543,chr5,78070113,78070082,-,32,2
reads-HPV97,HPV97,right,3,1543,chr4,124588466,124588434,-,34,2
reads-HPV97,HPV97,right,0,1543,chr4,100905454,100905424,-,30,1
reads-HPV97,HPV97,right,3,1543,chr3,138565702,138565672,-,32,2
reads-HPV97,HPV97,right,0,1543,chr14,45294348,45294320,-,28,1
reads-HPV97,HPV97,right,0,1543,chr1,242705808,242705778,-,30,1
reads-HPV97,HPV97,right,3,1543,chrY,15338365,15338403,+,41,2
reads-HPV97,HPV97,right,0,1543,chrY,13484491,13484526,+,35,1
reads-HPV97,HPV97,right,3,1543,chrY,6859158,6859196,+,40,2
reads-HPV97,HPV97,right,3,1543,chrX,7556888,7556926,+,42,2
reads-HPV97,HPV97,right,3,1543,chrX,42811822,42811860,+,42,2
reads-HPV97,HPV97,right,0,1543,chrX,68525631,68525666,+,35,1
reads-HPV97,HPV97,right,0,1543,chrX,69244349,69244384,+,35,1
reads-HPV97,HPV97,right,0,1543,chrX,94186266,94186301,+,35,1
reads-HPV97,HPV97,right,0,1543,chrX,155836327,155836362,+,35,1
reads-HPV97,HPV97,right,0,1543,chrX,117798492,117798527,+,34,1
reads-HPV97,HPV97,right,0,1543,chrX,105806624,105806657,+,33,1
