sample_name	contig	virus	splice_type	virus_brkend_grp	tumor_or_normal	total_rpm	Gene_ID	project	cohort
CESC-C5-A7UC^CESC^tumor	HPV45~930~+~chr17~59735337~+	HPV45	GT-AG	HPV45:930	tumor	13.9484643121638	VMP1^ENSG00000062716.9	CESC	TCGA
CESC-C5-A7UC^CESC^tumor	HPV45~231~+~chr17~59735337~+	HPV45	GT-AG	HPV45:231	tumor	1.39643328722459	VMP1^ENSG00000062716.9	CESC	TCGA
CESC-C5-A7UC^CESC^tumor	HPV45~930~+~chr17~59737452~+	HPV45	GT-AG	HPV45:930	tumor	0.98385072509005	VMP1^ENSG00000062716.9	CESC	TCGA
LIHC-CC-A1HT^LIHC^tumor	chr5~1294667~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	0.0592371621888522	TERT^ENSG00000164362.17	LIHC	TCGA
HNSC-P3-A6SW^HNSC^tumor	chr12~90905865~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	9.59777698387799	CCER1^ENSG00000197651.4	HNSC	TCGA
CESC-VS-A953^CESC^tumor	chr20~33707970~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	4.83856487175916	PXMP4^ENSG00000101417.10	CESC	TCGA
CESC-VS-A953^CESC^tumor	HPV16~7055~-~chr20~33669374~+	HPV16	GT-AG	HPV16:7055	tumor	1.15086069839796	NECAB3^ENSG00000125967.15	CESC	TCGA
CESC-VS-A953^CESC^tumor	HPV16~3357~-~chr20~33658476~+	HPV16	GT-AG	HPV16:3357	tumor	0.73011592694064	NECAB3^ENSG00000125967.15	CESC	TCGA
CESC-VS-A953^CESC^tumor	chr20~33707970~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.222747231947992	PXMP4^ENSG00000101417.10	CESC	TCGA
CESC-VS-A953^CESC^tumor	HPV16~3357~-~chr20~33669374~+	HPV16	GT-AG	HPV16:3357	tumor	0.160873000851328	NECAB3^ENSG00000125967.15	CESC	TCGA
CESC-VS-A953^CESC^tumor	HPV16~741~-~chr20~33669374~+	HPV16	GT-AG	HPV16:741	tumor	0.148498154631995	NECAB3^ENSG00000125967.15	CESC	TCGA
CESC-VS-A953^CESC^tumor	HPV16~2708~-~chr20~33669374~+	HPV16	GT-AG	HPV16:2708	tumor	0.0866239235353302	NECAB3^ENSG00000125967.15	CESC	TCGA
HNSC-P3-A5Q5^HNSC^tumor	chr4~139730668~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	0.539936039176799	MAML3^ENSG00000196782.11	HNSC	TCGA
CESC-EA-A44S^CESC^tumor	chr13~73413637~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	1.43107896854745	LINC00393^ENSG00000224853.1	CESC	TCGA
CESC-EX-A8YF^CESC^tumor	chr5~159203657~+~HPV18~930~-	HPV18	GT-AG	HPV18:930	tumor	7.86717158103407	RNF145^ENSG00000145860.10	CESC	TCGA
CESC-EX-A8YF^CESC^tumor	chr5~159203657~+~HPV18~234~-	HPV18	GT-AG	HPV18:234	tumor	1.88751717395251	RNF145^ENSG00000145860.10	CESC	TCGA
HNSC-BA-4077^HNSC^tumor	HPV16~881~+~chr14~68291883~+	HPV16	GT-AG	HPV16:881	tumor	1.43239752706699	RAD51B^ENSG00000182185.17	HNSC	TCGA
HNSC-BA-4077^HNSC^tumor	HPV16~227~+~chr14~68291883~+	HPV16	GT-AG	HPV16:227	tumor	0.4891113507058	RAD51B^ENSG00000182185.17	HNSC	TCGA
CESC-VS-A8QA^CESC^tumor	chr1~205978929~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	5.46747428629394	RAB7B^ENSG00000276600.3	CESC	TCGA
CESC-VS-A8QA^CESC^tumor	chr1~205978929~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.166184628762734	RAB7B^ENSG00000276600.3	CESC	TCGA
HNSC-CN-A6V7^HNSC^tumor	chr14~68411528~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.101643163379188	RAD51B^ENSG00000182185.17	HNSC	TCGA
CESC-VS-A9U7^CESC^tumor	chr9~5335598~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	1.4843164542029	RLN1^ENSG00000107018.7	CESC	TCGA
CESC-VS-A9U7^CESC^tumor	chr9~5450597~+~HPV16~408~+	HPV16	GT-AG	HPV16:408	tumor	0.161338745022054	CD274^ENSG00000120217.12	CESC	TCGA
CESC-VS-A9U7^CESC^tumor	chr9~5466830~+~HPV16~5638~+	HPV16	GT-AG	HPV16:5638	tumor	0.0215118326696072	CD274^ENSG00000120217.12	CESC	TCGA
CESC-VS-A9V5^CESC^tumor	chr17~39712449~+~HPV16~578~-	HPV16	GT-AG	HPV16:578	tumor	0.3199113689107	ERBB2^ENSG00000141736.12	CESC	TCGA
CESC-VS-A9V5^CESC^tumor	HPV16~408~-~chr17~39729684~+	HPV16	GT-AG	HPV16:408	tumor	0.071091415313489	MIEN1^ENSG00000141741.10	CESC	TCGA
CESC-VS-A9V5^CESC^tumor	chr17~39716606~+~HPV16~578~-	HPV16	GT-AG	HPV16:578	tumor	0.0177728538283722	ERBB2^ENSG00000141736.12	CESC	TCGA
CESC-EK-A3GN^CESC^tumor	chr9~134409120~+~HPV16~578~-	HPV16	GT-AG	HPV16:578	tumor	0.0448697956491531	RXRA^ENSG00000186350.9	CESC	TCGA
CESC-EK-A3GN^CESC^tumor	chr14~37422950~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.0112174489122883	MIPOL1^ENSG00000151338.17	CESC	TCGA
LIHC-DD-AAD1^LIHC^tumor	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr19~35722994~+	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	0.159321348411453	KMT2B^ENSG00000272333.4	LIHC	TCGA
LIHC-CC-A9FS^LIHC^tumor	chr19~35722719~+~NC_003977_3182nt_Hepatitis_B_virus~283~+	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:283	tumor	0.137058627437036	KMT2B^ENSG00000272333.4	LIHC	TCGA
LIHC-DD-A3A3^LIHC^tumor	chr19~35721805~+~NC_003977_3182nt_Hepatitis_B_virus~460~+	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:460	tumor	0.144451672645642	KMT2B^ENSG00000272333.4	LIHC	TCGA
CESC-JX-A3Q0^CESC^tumor	HPV31~211~+~chr6~29941965~+	HPV31	GT-AG	HPV31:211	tumor	0.885130068775332	HLA-A^ENSG00000206503.10	CESC	TCGA
HNSC-BA-A4IG^HNSC^tumor	chr10~110569014~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.342023497449577	SMC3^ENSG00000108055.9	HNSC	TCGA
HNSC-BA-A4IG^HNSC^tumor	chr10~110502870~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.326476974838233	DUSP5^ENSG00000138166.5	HNSC	TCGA
HNSC-BA-A4IG^HNSC^tumor	chr10~110498501~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.217651316558822	DUSP5^ENSG00000138166.5	HNSC	TCGA
HNSC-BB-7861^HNSC^tumor	HPV16~881~+~chr15~93760666~+	HPV16	GT-AG	HPV16:881	tumor	0.97690617302188	RP11-739G5.1^ENSG00000258631.2	HNSC	TCGA
HNSC-BB-7861^HNSC^tumor	HPV16~3633~+~chr15~93760666~+	HPV16	GT-AG	HPV16:3633	tumor	0.519367838821759	RP11-739G5.1^ENSG00000258631.2	HNSC	TCGA
HNSC-BB-7861^HNSC^tumor	chr1~209541430~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	0.123659009243276	RP1-272L16.1^ENSG00000224260.5	HNSC	TCGA
HNSC-BB-7861^HNSC^tumor	chr1~209541430~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.0247318018486552	RP1-272L16.1^ENSG00000224260.5	HNSC	TCGA
LIHC-DD-AAE2^LIHC^tumor	chr3~58509026~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	1.70115396908824	ACOX2^ENSG00000168306.11	LIHC	TCGA
CESC-FU-A3TX^CESC^tumor	HPV18~930~+~chr1~203698156~+	HPV18	GT-AG	HPV18:930	tumor	3.63137670150485	ATP2B4^ENSG00000058668.13	CESC	TCGA
CESC-FU-A3TX^CESC^tumor	chr1~203683399~+~HPV18~23~+	HPV18	GT-AG	HPV18:23	tumor	0.353496847049145	ATP2B4^ENSG00000058668.13	CESC	TCGA
CESC-FU-A3TX^CESC^tumor	chr1~203683399~+~HPV18~3433~+	HPV18	GT-AG	HPV18:3433	tumor	0.332072795712833	ATP2B4^ENSG00000058668.13	CESC	TCGA
CESC-VS-A9UM^CESC^tumor	chr10~35071340~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	5.68175877681238	CUL2^ENSG00000108094.13	CESC	TCGA
CESC-VS-A9UM^CESC^tumor	chr10~35071340~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	3.04153629688098	CUL2^ENSG00000108094.13	CESC	TCGA
CESC-FU-A23K^CESC^tumor	chr8~127290061~+~HPV18~930~-	HPV18	GT-AG	HPV18:930	tumor	26.5942928812075	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-FU-A23K^CESC^tumor	chr8~127290061~+~HPV18~234~-	HPV18	GT-AG	HPV18:234	tumor	1.46962272774135	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-VS-A9U6^CESC^tumor	chr17~51649255~+~HPV33~895~-	HPV33	GT-AG	HPV33:895	tumor	19.6265771422473	CA10^ENSG00000154975.12	CESC	TCGA
CESC-C5-A901^CESC^tumor	chr10~87009932~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	0.281569946170021	RP11-96C23.10^ENSG00000229969.1	CESC	TCGA
CESC-C5-A901^CESC^tumor	chr10~46375873~+~HPV16~578~-	HPV16	GT-AG	HPV16:578	tumor	0.0422354919255031	ANXA8L1^ENSG00000264230.6	CESC	TCGA
CESC-MY-A913^CESC^tumor	chr3~190374604~+~HPV45~3391~+	HPV45	GT-AG	HPV45:3391	tumor	25.5721584799001	CLDN16^ENSG00000113946.3	CESC	TCGA
CESC-MY-A913^CESC^tumor	chr3~190371002~+~HPV45~3391~+	HPV45	GT-AG	HPV45:3391	tumor	24.4231628660087	CLDN16^ENSG00000113946.3	CESC	TCGA
CESC-MY-A913^CESC^tumor	HPV45~930~+~chr3~190370892~+	HPV45	GT-AG	HPV45:930	tumor	7.83278717274748	CLDN16^ENSG00000113946.3	CESC	TCGA
CESC-MY-A913^CESC^tumor	HPV45~231~+~chr3~190370892~+	HPV45	GT-AG	HPV45:231	tumor	0.868752781234962	CLDN16^ENSG00000113946.3	CESC	TCGA
CESC-EA-A78R^CESC^tumor	HPV52~880~+~chr14~68540199~+	HPV52	GT-AG	HPV52:880	tumor	0.787928957686529	RAD51B^ENSG00000182185.17	CESC	TCGA
CESC-EA-A78R^CESC^tumor	HPV52~880~+~chr14~68594484~+	HPV52	GT-AG	HPV52:880	tumor	0.274858938727859	RAD51B^ENSG00000182185.17	CESC	TCGA
CESC-EK-A2H1^CESC^tumor	HPV16~881~+~chr8~127392503~+	HPV16	GT-AG	HPV16:881	tumor	4.6617741703154	CASC21^ENSG00000253929.1	CESC	TCGA
CESC-EK-A2H1^CESC^tumor	HPV16~227~+~chr8~127392503~+	HPV16	GT-AG	HPV16:227	tumor	1.24028854072611	CASC21^ENSG00000253929.1	CESC	TCGA
CESC-EK-A2H1^CESC^tumor	HPV16~3633~+~chr8~127392503~+	HPV16	GT-AG	HPV16:3633	tumor	0.798346646904166	CASC21^ENSG00000253929.1	CESC	TCGA
CESC-IR-A3LH^CESC^tumor	HPV45~930~+~chr3~113088622~+	HPV45	GT-AG	HPV45:930	tumor	16.0467934546866	RP11-572M11.4^ENSG00000240057.4	CESC	TCGA
CESC-IR-A3LH^CESC^tumor	HPV45~231~+~chr3~113088622~+	HPV45	GT-AG	HPV45:231	tumor	0.917583832670985	RP11-572M11.4^ENSG00000240057.4	CESC	TCGA
CESC-DS-A1OD^CESC^tumor	HPV16~881~+~chr3~128341232~+	HPV16	GT-AG	HPV16:881	tumor	6.13715658085881	EEFSEC^ENSG00000132394.9	CESC	TCGA
CESC-DS-A1OD^CESC^tumor	HPV16~227~+~chr3~128341232~+	HPV16	GT-AG	HPV16:227	tumor	3.91110701179008	EEFSEC^ENSG00000132394.9	CESC	TCGA
CESC-DS-A1OD^CESC^tumor	chr3~128358374~+~HPV16~5638~+	HPV16	GT-AG	HPV16:5638	tumor	2.98875977998471	EEFSEC^ENSG00000132394.9	CESC	TCGA
CESC-C5-A1MJ^CESC^tumor	chr12~110282796~+~HPV18~978~-	HPV18	GT-AG	HPV18:978	tumor	0.291294940944476	ATP2A2^ENSG00000174437.15	CESC	TCGA
CESC-C5-A1MJ^CESC^tumor	chr8~127939677~+~HPV18~3631~-	HPV18	GT-AG	HPV18:3631	tumor	0.0936305167321531	PVT1^ENSG00000249859.6	CESC	TCGA
CESC-C5-A1MJ^CESC^tumor	chr12~110282796~+~HPV18~2536~-	HPV18	GT-AG	HPV18:2536	tumor	0.052016953740085	ATP2A2^ENSG00000174437.15	CESC	TCGA
CESC-EK-A2GZ^CESC^tumor	HPV52~880~+~chr1~164846583~+	HPV52	GT-AG	HPV52:880	tumor	32.1323204832685	PBX1^ENSG00000185630.17	CESC	TCGA
CESC-EK-A2GZ^CESC^tumor	HPV52~225~+~chr1~164846583~+	HPV52	GT-AG	HPV52:225	tumor	3.26891707098719	PBX1^ENSG00000185630.17	CESC	TCGA
CESC-EK-A2GZ^CESC^tumor	chr1~164821627~+~HPV52~3344~+	HPV52	GT-AG	HPV52:3344	tumor	1.01058004087301	PBX1^ENSG00000185630.17	CESC	TCGA
CESC-VS-A9UV^CESC^tumor	chr1~221966503~+~HPV52~3344~+	HPV52	GT-AG	HPV52:3344	tumor	5.14035582361829	RP11-400N13.2^ENSG00000228437.4	CESC	TCGA
CESC-VS-A9UV^CESC^tumor	chr1~221968497~+~HPV52~3344~+	HPV52	GT-AG	HPV52:3344	tumor	3.22978109271592	RP11-400N13.2^ENSG00000228437.4	CESC	TCGA
CESC-MA-AA3Z^CESC^tumor	chr13~73695672~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	10.492256962699	KLF12^ENSG00000118922.15	CESC	TCGA
CESC-MA-AA3Z^CESC^tumor	chr13~73695672~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	3.22838675775353	KLF12^ENSG00000118922.15	CESC	TCGA
LIHC-G3-AAV0^LIHC^tumor	chr17~82291564~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	0.62157824505978	RP13-516M14.4^ENSG00000265692.1	LIHC	TCGA
CESC-DS-A1O9^CESC^tumor	HPV73~863~+~chr14~24657524~+	HPV73	GT-AG	HPV73:863	tumor	36.6159848482033	RP11-104E19.1^ENSG00000258657.4	CESC	TCGA
CESC-VS-A8QF^CESC^tumor	chr2~9759300~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	47.7514753953399	RP11-521D12.5^ENSG00000243491.1	CESC	TCGA
CESC-VS-A8QF^CESC^tumor	chr2~9759300~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.767154850613658	RP11-521D12.5^ENSG00000243491.1	CESC	TCGA
CESC-C5-A907^CESC^tumor	chr17~59860425~+~HPV18~930~-	HPV18	GT-AG	HPV18:930	tumor	23.6607105930865	TUBD1^ENSG00000108423.13	CESC	TCGA
CESC-C5-A907^CESC^tumor	HPV18~930~+~chr17~59912683~+	HPV18	GT-AG	HPV18:930	tumor	2.4139959794897	RPS6KB1^ENSG00000108443.12	CESC	TCGA
CESC-C5-A907^CESC^tumor	chr17~59860425~+~HPV18~234~-	HPV18	GT-AG	HPV18:234	tumor	0.283999526998788	TUBD1^ENSG00000108423.13	CESC	TCGA
SARC-MJ-A68H^SARC^tumor	HPV51~887~+~chr8~74612852~+	HPV51	GT-AG	HPV51:887	tumor	1.87161928133109	FLJ39080^ENSG00000254349.4	SARC	TCGA
SARC-MJ-A68H^SARC^tumor	HPV51~178~+~chr8~74612852~+	HPV51	GT-AG	HPV51:178	tumor	0.264673433723589	FLJ39080^ENSG00000254349.4	SARC	TCGA
CESC-EK-A2RE^CESC^tumor	HPV16~881~+~chr1~38022698~+	HPV16	GT-AG	HPV16:881	tumor	13.2874099689021	UTP11L^ENSG00000183520.10	CESC	TCGA
CESC-EK-A2RE^CESC^tumor	HPV16~227~+~chr1~38022698~+	HPV16	GT-AG	HPV16:227	tumor	0.311336802618627	UTP11L^ENSG00000183520.10	CESC	TCGA
CESC-C5-A8XH^CESC^tumor	chr17~78829008~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	2.54302358829211	USP36^ENSG00000055483.18	CESC	TCGA
CESC-C5-A8XH^CESC^tumor	HPV16~3357~-~chr17~78827244~+	HPV16	GT-AG	HPV16:3357	tumor	1.47018551198138	USP36^ENSG00000055483.18	CESC	TCGA
CESC-C5-A8XH^CESC^tumor	chr17~78827348~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	0.860919443953058	USP36^ENSG00000055483.18	CESC	TCGA
