HPV Type	E6* donor	E6* Acceptor	E1^E4 donor	E1^E4 acceptor	E8^E2  donor	E8^E2 acceptor
HPV16	226	409	880	3358	1302	3358
HPV18	233	416	929	3434	1357	3434
HPV26	177	402	890	3338	1312	3338
HPV30	233	416	905	3329	1288	3329
HPV31	210	413	877	3295	1296	3295
HPV33	231	414	894	3351	1316	3351
HPV35	232	415	883	3319	1305	3319
HPV39	235	418	943	3418	1368	3418
HPV45	230	413	929	3392	1357	3392
HPV52	224	407	879	3345	1301	3345
HPV56	233	416	895	3349	1296	3349
HPV58	232	415	898	3355	1320	3355
HPV66	233	416	910	3331	1290	3331
HPV68	129	312	838	3292	1233	3292
HPV69	182	407	898	3334	1308	3334
HPV70	235	418	943	3433	1371	3433
HPV73	227	410	862	3346	1287	3346
