group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	pred_insertion_name	pred_chr_pos	total_reads
subset.insertion_seqs.fa	chr18~73407386~73408385~-~HPV18~3271~4270~+	chr18	73407386	HPV18	chr18~51241704~+~HPV18~1129~-	51241704	6
subset.insertion_seqs.fa	chr11~8621081~8622080~-~HPV18~5884~6883~-	chr11	8621081	HPV18	chr11~79452056~+~HPV18~1129~+	79452056	4
subset.insertion_seqs.fa	chr11~8621081~8622080~-~HPV18~5884~6883~-	chr11	8621081	HPV18	chr11~79452058~+~HPV18~1129~+	79452058	1
subset.insertion_seqs.fa	chr5~91403295~91404294~+~HPV18~6329~7328~+	chr5	91404294	HPV18	chr5~61268121~-~HPV18~2687~+	61268121	1
subset.insertion_seqs.fa	chr6~50410600~50411599~-~HPV18~4641~5640~-	chr6	50410600	HPV18	chr6~153459069~+~HPV18~2780~-	153459069	1
subset.insertion_seqs.fa	chr11~8621081~8622080~-~HPV18~5884~6883~-	chr11	8621081	HPV18	chr11~106090463~-~HPV18~2742~-	106090463	2
subset.insertion_seqs.fa	chr6~50410600~50411599~-~HPV18~4641~5640~-	chr6	50410600	HPV18	chr6~153459068~+~HPV18~2781~-	153459068	2
subset.insertion_seqs.fa	NA	chr21	NA	HPV18	chr21~32567353~+~HPV18~2781~-	32567353	1
subset.insertion_seqs.fa	chr11~8621081~8622080~-~HPV18~5884~6883~-	chr11	8621081	HPV18	chr11~60452993~-~HPV18~2768~+	60452993	3
subset.insertion_seqs.fa	chr3~55192906~55193905~+~HPV18~1152~2151~+	chr3	55193905	HPV18	chr3~7351914~+~HPV18~2825~-	7351914	3
subset.insertion_seqs.fa	chr1~107166648~107167647~-~HPV18~4040~5039~-	chr1	107166648	HPV18	chr1~172609763~-~HPV18~3117~-	172609763	3
subset.insertion_seqs.fa	chr6~50410600~50411599~-~HPV18~4641~5640~-	chr6	50410600	HPV18	chr6~169505287~+~HPV18~7693~+	169505287	2
subset.insertion_seqs.fa	NA	chr12	NA	HPV97	chr12~108484849~-~HPV97~2274~+	108484849	1
subset.insertion_seqs.fa	NA	chr20	NA	HPV97	chr20~37774799~+~HPV97~2319~+	37774799	4
subset.insertion_seqs.fa	NA	chr6	NA	HPV97	chr6~153459069~+~HPV97~2658~-	153459069	1
subset.insertion_seqs.fa	NA	chr11	NA	HPV97	chr11~106090463~-~HPV97~2620~-	106090463	2
subset.insertion_seqs.fa	NA	chr6	NA	HPV97	chr6~153459068~+~HPV97~2659~-	153459068	2
subset.insertion_seqs.fa	NA	chr21	NA	HPV97	chr21~32567353~+~HPV97~2659~-	32567353	1
subset.insertion_seqs.fa	NA	chr11	NA	HPV97	chr11~60452993~-~HPV97~2646~+	60452993	3
subset.insertion_seqs.fa	NA	chr5	NA	HPV97	chr5~91071729~-~HPV97~4251~+	91071729	1
subset.insertion_seqs.fa	NA	chr18	NA	HPV97	chr18~68613865~-~HPV97~4251~+	68613865	1
subset.insertion_seqs.fa	NA	chr18	NA	HPV97	chr18~77050601~-~HPV97~4251~+	77050601	1
subset.insertion_seqs.fa	NA	chr17	NA	HPV97	chr17~59906749~-~HPV97~4251~+	59906749	1
subset.insertion_seqs.fa	NA	chr15	NA	HPV97	chr15~48919355~-~HPV97~4251~+	48919355	1
subset.insertion_seqs.fa	NA	chr12	NA	HPV97	chr12~50151707~-~HPV97~4251~+	50151707	1
subset.insertion_seqs.fa	NA	chr8	NA	HPV97	chr8~89879833~-~HPV97~4251~-	89879833	1
subset.insertion_seqs.fa	NA	chr7	NA	HPV97	chr7~115976387~-~HPV97~4251~-	115976387	1
subset.insertion_seqs.fa	NA	chr7	NA	HPV97	chr7~70062475~-~HPV97~4251~-	70062475	1
subset.insertion_seqs.fa	NA	chr15	NA	HPV97	chr15~64725957~-~HPV97~4251~-	64725957	1
subset.insertion_seqs.fa	NA	chr10	NA	HPV97	chr10~46004111~-~HPV97~4251~-	46004111	1
subset.insertion_seqs.fa	NA	chr1	NA	HPV97	chr1~23460469~-~HPV97~4251~-	23460469	1
subset.insertion_seqs.fa	NA	chr1	NA	HPV97	chr1~182457109~-~HPV97~4251~-	182457109	1
subset.insertion_seqs.fa	NA	chr7	NA	HPV97	chr7~13082076~-~HPV97~5577~-	13082076	1
subset.insertion_seqs.fa	NA	chr22	NA	HPV97	chr22~41123087~+~HPV97~6626~-	41123087	2
subset.insertion_seqs.fa	NA	chr17	NA	HPV97	chr17~32425057~-~HPV97~7766~-	32425057	1
subset.insertion_seqs.fa	chr17~32425060~32426059~-~HPV45~20~1019~+	chr17	32425060	HPV45	chr17~32425059~-~HPV45~20~-	32425059	4
subset.insertion_seqs.fa	chr17~32425060~32426059~-~HPV45~20~1019~+	chr17	32425060	HPV45	chr17~32425059~-~HPV45~21~-	32425059	1
subset.insertion_seqs.fa	chr20~34261629~34262628~+~HPV45~731~1730~+	chr20	34262628	HPV45	chr20~34262628~-~HPV45~731~+	34262628	10
subset.insertion_seqs.fa	chr1~172609764~172610763~-~HPV45~3072~4071~+	chr1	172609764	HPV45	chr1~244251007~-~HPV45~968~+	244251007	2
subset.insertion_seqs.fa	chr2~185527502~185528501~+~HPV45~799~1798~-	chr2	185528501	HPV45	chr2~152048259~+~HPV45~1129~+	152048259	1
subset.insertion_seqs.fa	chr18~51240706~51241705~+~HPV45~129~1128~-	chr18	51241705	HPV45	chr18~51241704~+~HPV45~1129~-	51241704	7
subset.insertion_seqs.fa	chr11~60451994~60452993~+~HPV45~2726~3725~+	chr11	60452993	HPV45	chr11~79452056~+~HPV45~1129~+	79452056	4
subset.insertion_seqs.fa	chr11~60451994~60452993~+~HPV45~2726~3725~+	chr11	60452993	HPV45	chr11~79452058~+~HPV45~1129~+	79452058	1
