chrom	lend	rend	sample_name	CN	copy_number
chrY	2782397	26312501	LGG-S9-A6U8-TP	-0.9022	1.0701403351918775
chrY	2782397	26312501	LUSC-85-8052-TP	-1.1418	0.9063875815575342
chrY	2782397	26317011	KIRC-B0-4703-TP	-0.7512	1.18821837159591
chrY	2782397	26324843	PAAD-US-A77E-TP	-1.2033	0.8685615540729813
chrY	2782397	26324843	SARC-X6-A8C4-TP	-2.2209	0.4290150012376141
chrY	2782397	26353177	LGG-HT-7477-NT	-1.5149	0.6998414404285594
chrY	2782397	26442688	LUSC-58-A46L-TP	-0.3546	1.5641729069579626
chrY	2782397	26459900	SARC-QC-AA9N-TP	-1.3133	0.8047987670209724
chrY	2782397	26515503	LGG-P5-A5F6-TP	-0.5964	1.3228046297399687
chrY	2782397	26521918	KIRC-BP-5191-TP	-1.6773	0.6253344918837362
chrY	2782397	26576009	BLCA-FD-A62N-TP	-0.934	1.0468102819745757
chrY	2782397	26581539	LIHC-XR-A8TG-TP	0.2851	2.436989440732213
chrY	2782397	26581539	LUSC-85-A50M-TP	-1.4314	0.7415418393617573
chrY	2782397	26611962	LGG-HT-A74O-TP	-1.1108	0.9260743948001794
chrY	2782397	56872112	BLCA-E7-A5KF-TP	-0.8031	1.146232732176102
chrY	2782397	56872112	BLCA-FD-A6TD-TP	-1.5708	0.67324335951675
chrY	2782397	56872112	BLCA-GU-AATP-TP	-2.629	0.3233122329718717
chrY	2782397	56872112	BLCA-FD-A6TK-TP	-1.1596	0.8952732589743292
chrY	2782397	56872112	BLCA-ZF-A9R1-TP	-1.7776	0.5833363976667916
chrY	2782397	56872112	BLCA-XF-A9SL-TP	-0.8751	1.0904321470488583
chrY	2782397	56872112	BLCA-BL-A13J-TP	-2.0897	0.4698590688958354
chrY	2782397	56872112	BLCA-FD-A3SN-TP	-0.687	1.2422882817844394
chrY	2782397	56872112	BLCA-FD-A3SP-TP	-0.9522	1.0336874268096459
chrY	2782397	56872112	BLCA-G2-A2EK-TP	-0.8519	1.1081091534765641
chrY	2782397	56872112	BLCA-DK-AA6W-TP	-2.4321	0.3705910641453049
chrY	2782397	56872112	BLCA-E5-A4U1-TP	-0.6977	1.2331087165544297
chrY	2782397	56872112	BLCA-DK-AA6S-TP	-0.7606	1.180501602509321
chrY	2782397	56872112	BLCA-CU-A0YN-TP	-0.8271	1.1273222694119696
chrY	2782397	56872112	BLCA-UY-A9PE-TP	-0.6275	1.294594248919675
chrY	2782397	56872112	BLCA-BL-A13J-NT	-0.8198	1.1330409472364502
chrY	2782397	56872112	BLCA-ZF-AA5P-TP	-1.0546	0.9628613679533866
chrY	2782397	56872112	BLCA-DK-AA6X-TP	-0.9033	1.0693247049431294
chrY	2782397	56872112	BLCA-E7-A3Y1-TP	-0.8187	1.1339051772176376
chrY	2782397	56872112	BLCA-4Z-AA83-TP	-0.8366	1.1199233542987637
chrY	2782397	56872112	BLCA-DK-A1AA-TP	-0.9529	1.0331860001985065
chrY	2782397	56872112	BLCA-KQ-A41P-TP	-1.9842	0.5055059575621423
chrY	2782397	56872112	BLCA-4Z-AA7Y-TP	-0.8559	1.1050410777561164
chrY	2782397	56872112	BLCA-FD-A3SS-TP	-0.7721	1.1711290019288068
chrY	2782397	56872112	BLCA-K4-A54R-TP	-0.7856	1.160221291561839
chrY	2782397	56872112	BLCA-DK-A6AW-TP	-0.8769	1.0890725014733083
chrY	2782397	56872112	BLCA-GU-AATO-TP	-1.1592	0.8955215158425639
chrY	2782397	56872112	BLCA-FD-A5BT-TP	-0.8432	1.114811662302794
chrY	2782397	56872112	BLCA-BL-A0C8-TP	-1.9324	0.523985937866359
chrY	2782397	56872112	BLCA-CF-A5U8-TP	-2.5292	0.34646943722049217
chrY	2782397	56872112	BLCA-G2-A2EF-TP	-1.9792	0.5072609471168534
chrY	2782397	56872112	BLCA-XF-A9T0-TP	-2.5078	0.35164704523102913
chrY	2782397	56872112	BLCA-UY-A9PA-TP	-0.7133	1.21984682388083
