chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr14	68149849	68149850	+	HPV16	4010	+	391	CESC-MY-A5BD-TP	HPV16~4010~+~chr14~68149849~+
chr14	68178057	68178058	+	HPV45	3971	-	2281	CESC-EK-A2R8-TP	HPV45~3971~-~chr14~68178057~+
chr14	68237177	68237178	+	HPV16	881	+	650	HNSC-BA-4077-TP	HPV16~881~+~chr14~68237177~+
chr14	68334761	68334762	+	HPV16	881	-	278	CESC-ZJ-AAXU-TP	chr14~68334761~+~HPV16~881~-
chr14	68334761	68334762	+	HPV16	881	-	1078	CESC-C5-A1BE-TP	chr14~68334761~+~HPV16~881~-
chr14	68446729	68446730	+	HPV16	3494	+	204	HNSC-CN-A6V7-TP	HPV16~3494~+~chr14~68446729~+
chr14	68497123	68497124	+	HPV31	878	+	374	CESC-VS-A959-TP	HPV31~878~+~chr14~68497123~+
chr14	68514038	68514039	+	HPV52	880	+	70	CESC-EA-A78R-TP	HPV52~880~+~chr14~68514038~+
chr14	68516574	68516575	+	HPV18	2703	+	4765	CESC-4J-AA1J-TP	chr14~68516574~+~HPV18~2703~+
chr14	68598853	68598854	+	HPV16	881	+	252	CESC-EA-A50E-TP	HPV16~881~+~chr14~68598853~+
chr14	68681967	68681968	+	HPV68	2994	+	737	CESC-EK-A2H0-TP	HPV68~2994~+~chr14~68681967~+
chr14	68682936	68682937	+	HPV68	839	+	358	CESC-ZJ-A8QQ-TP	HPV68~839~+~chr14~68682936~+
