sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV33,HPV33,left,10,145,chr14,20049224,20049188,+,42,12
reads_R-HPV33,HPV33,left,10,313,chr13,31827098,31827066,+,40,5
reads_R-HPV33,HPV33,left,10,699,chr2,208567264,208567298,-,40,13
reads_R-HPV33,HPV33,left,10,755,chrX,68864225,68864197,+,37,9
reads_R-HPV33,HPV33,left,7,1064,chr3,168180696,168180738,-,42,1
reads_R-HPV33,HPV33,right,7,1178,chr11,93603391,93603366,-,25,1
reads_R-HPV33,HPV33,right,4,1178,chr8,48381422,48381396,-,26,2
reads_R-HPV33,HPV33,right,4,1178,chr14,56706685,56706658,-,26,2
reads_R-HPV33,HPV33,right,10,1178,chr10,85348767,85348800,+,30,2
reads_R-HPV33,HPV33,right,10,1178,chr6,123733335,123733371,+,36,7
reads_R-HPV33,HPV33,right,10,1338,chr1,247214493,247214457,-,42,13
reads_R-HPV33,HPV33,right,4,1572,chrX,121710444,121710474,+,30,2
reads_R-HPV33,HPV33,right,4,1572,chrX,73478040,73478076,+,40,12
reads_R-HPV33,HPV33,right,1,1572,chr7,119306042,119306070,+,27,1
reads_R-HPV33,HPV33,right,1,1572,chr7,16959633,16959661,+,27,1
reads_R-HPV33,HPV33,right,4,1572,chr6,6115921,6115957,+,41,14
reads_R-HPV33,HPV33,right,4,1572,chr6,112403113,112403150,+,39,9
reads_R-HPV33,HPV33,right,4,1572,chr5,96099056,96099093,+,36,9
reads_R-HPV33,HPV33,right,4,1572,chr5,45094916,45094953,+,38,9
reads_R-HPV33,HPV33,right,4,1572,chr4,71506422,71506458,+,41,14
reads_R-HPV33,HPV33,right,4,1572,chr2,66611367,66611402,+,40,4
reads_R-HPV33,HPV33,right,4,1572,chr2,195949026,195949063,+,40,9
reads_R-HPV33,HPV33,right,4,1572,chr2,129789130,129789166,+,40,14
reads_R-HPV33,HPV33,right,4,1572,chr18,1879953,1879990,+,39,9
reads_R-HPV33,HPV33,right,4,1572,chr15,52991299,52991334,+,38,2
reads_R-HPV33,HPV33,right,4,1572,chr14,61054607,61054644,+,39,9
reads_R-HPV33,HPV33,right,4,1572,chr1,176420913,176420949,+,40,14
reads_R-HPV33,HPV33,right,4,1572,chr1,171856606,171856643,+,36,9
reads_R-HPV33,HPV33,right,4,1572,chrX,144109363,144109330,-,39,11
reads_R-HPV33,HPV33,right,1,1572,chrX,117679454,117679426,-,27,1
reads_R-HPV33,HPV33,right,4,1572,chrX,109063847,109063809,-,39,6
reads_R-HPV33,HPV33,right,1,1572,chrX,83849086,83849058,-,27,1
reads_R-HPV33,HPV33,right,4,1572,chrX,79679107,79679076,-,32,6
reads_R-HPV33,HPV33,right,4,1572,chrX,36593229,36593191,-,36,6
reads_R-HPV33,HPV33,right,4,1572,chr9,78154188,78154151,-,39,9
reads_R-HPV33,HPV33,right,4,1572,chr9,32512999,32512962,-,40,9
reads_R-HPV33,HPV33,right,4,1572,chr9,7411945,7411907,-,39,6
reads_R-HPV33,HPV33,right,4,1572,chr8,97535000,97534965,-,40,14
reads_R-HPV33,HPV33,right,4,1572,chr7,29222140,29222104,-,41,14
reads_R-HPV33,HPV33,right,4,1572,chr7,127501200,127501164,-,36,8
reads_R-HPV33,HPV33,right,4,1572,chr7,97190370,97190333,-,34,4
reads_R-HPV33,HPV33,right,4,1572,chr6,127771195,127771159,-,41,14
reads_R-HPV33,HPV33,right,1,1572,chr5,156827871,156827843,-,27,1
reads_R-HPV33,HPV33,right,4,1572,chr4,161576098,161576062,-,40,12
reads_R-HPV33,HPV33,right,1,1572,chr4,127092583,127092555,-,27,1
reads_R-HPV33,HPV33,right,4,1572,chr20,71039,71002,-,35,5
reads_R-HPV33,HPV33,right,4,1572,chr2,71274656,71274620,-,41,14
reads_R-HPV33,HPV33,right,4,1572,chr12,91808895,91808857,-,40,6
reads_R-HPV33,HPV33,right,4,1572,chr12,91781967,91781929,-,40,6
reads_R-HPV33,HPV33,right,4,1572,chr4,462184,462148,-,42,13
reads_R-HPV33,HPV33,right,4,1572,chr15,46985248,46985216,-,32,5
reads_R-HPV33,HPV33,right,4,1572,chr14,81043366,81043330,-,41,13
reads_R-HPV33,HPV33,right,4,1572,chr1,209056350,209056314,-,40,13
reads_R-HPV33,HPV33,right,4,1572,chr10,32496126,32496160,+,40,12
reads_R-HPV33,HPV33,right,4,1572,chrX,77721600,77721564,-,34,5
reads_R-HPV33,HPV33,right,4,1572,chrX,70867302,70867266,-,40,10
reads_R-HPV33,HPV33,right,4,1572,chr6,93435331,93435294,-,40,10
reads_R-HPV33,HPV33,right,4,1572,chr3,169571270,169571234,-,41,10
reads_R-HPV33,HPV33,right,4,1572,chr3,41929767,41929730,-,41,10
reads_R-HPV33,HPV33,right,4,1572,chr2,184820845,184820808,-,40,10
reads_R-HPV33,HPV33,right,4,1572,chr2,183846256,183846220,-,41,10
reads_R-HPV33,HPV33,right,4,1572,chr15,54948487,54948450,-,41,10
reads_R-HPV33,HPV33,right,4,1572,chr12,107084109,107084072,-,40,10
reads_R-HPV33,HPV33,right,4,1572,chr1,85512779,85512742,-,41,10
reads_R-HPV33,HPV33,right,4,1572,chrX,142673925,142673962,+,41,8
reads_R-HPV33,HPV33,right,4,1572,chrX,84967111,84967147,+,37,7
reads_R-HPV33,HPV33,right,4,1572,chrX,78370125,78370162,+,41,8
reads_R-HPV33,HPV33,right,4,1572,chr9,65908170,65908208,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr8,60023918,60023955,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr7,54319879,54319916,+,39,8
reads_R-HPV33,HPV33,right,4,1572,chr6,9967769,9967806,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr6,147918296,147918331,+,32,3
reads_R-HPV33,HPV33,right,4,1572,chr5,6930306,6930344,+,35,8
reads_R-HPV33,HPV33,right,4,1572,chr4,86197296,86197334,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr4,5779574,5779612,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr21,17749807,17749844,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr2,219815242,219815280,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr2,137072340,137072378,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr2,195069257,195069294,+,39,8
reads_R-HPV33,HPV33,right,4,1572,chr14,37375115,37375152,+,42,8
reads_R-HPV33,HPV33,right,4,1572,chr14,22347048,22347086,+,38,8
reads_R-HPV33,HPV33,right,4,1572,chr12,85649408,85649446,+,38,8
reads_R-HPV33,HPV33,right,4,1572,chr11,13156263,13156298,+,36,7
reads_R-HPV33,HPV33,right,4,1572,chr11,96722899,96722936,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr11,63038050,63038088,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr10,23588618,23588656,+,41,8
reads_R-HPV33,HPV33,right,4,1572,chr10,95174979,95175016,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr1,213627159,213627196,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr1,51703375,51703412,+,40,8
reads_R-HPV33,HPV33,right,4,1572,chr1,243530032,243530068,+,34,6
reads_R-HPV33,HPV33,right,4,1572,chr1,189137045,189137082,+,39,8
reads_R-HPV33,HPV33,right,4,1572,chrX,88629092,88629054,-,38,8
reads_R-HPV33,HPV33,right,4,1572,chr9,101820259,101820222,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr8,117436585,117436548,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr8,103385911,103385874,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr8,47023022,47022984,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr7,126586110,126586072,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr7,14990879,14990842,-,38,8
reads_R-HPV33,HPV33,right,4,1572,chr6,85583676,85583638,-,41,8
reads_R-HPV33,HPV33,right,4,1572,chr5,102425545,102425508,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr5,40709462,40709424,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr4,81544806,81544768,-,38,8
reads_R-HPV33,HPV33,right,4,1572,chr3,104022976,104022939,-,37,7
reads_R-HPV33,HPV33,right,4,1572,chr3,110444380,110444342,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr3,26880273,26880236,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr3,26496098,26496060,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr22,28510935,28510898,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr20,23839895,23839858,-,41,8
reads_R-HPV33,HPV33,right,4,1572,chr2,198689196,198689158,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr19,41104472,41104435,-,36,7
reads_R-HPV33,HPV33,right,4,1572,chr15,39262203,39262166,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr11,106123151,106123114,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr10,95151795,95151758,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr1,97642030,97641992,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chr1,47960640,47960603,-,40,8
reads_R-HPV33,HPV33,right,4,1572,chrY,3049055,3049092,+,39,5
reads_R-HPV33,HPV33,right,4,1572,chrX,45653750,45653787,+,40,5
reads_R-HPV33,HPV33,right,4,1572,chrX,20985868,20985830,-,38,5
reads_R-HPV33,HPV33,right,4,1572,chr5,118877972,118877934,-,42,5
reads_R-HPV33,HPV33,right,4,1572,chrX,23472686,23472724,+,42,4
reads_R-HPV33,HPV33,right,4,1572,chr14,45751745,45751784,+,42,4
reads_R-HPV33,HPV33,right,4,1572,chr7,14462530,14462492,-,42,4
