group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	pred_insertion_name	pred_chr_pos	total_reads
subset.insertion_seqs.fa	chr11~60937973~60938972~+~HPV39~6273~7272~-	chr11	60938972	HPV39	chr11~60938971~+~HPV39~7272~-	60938971	43
subset.insertion_seqs.fa	chr11~88892521~88893520~+~HPV39~4531~5530~-	chr11	88893520	HPV39	chr11~88893519~+~HPV39~5529~-	88893519	188
subset.insertion_seqs.fa	chr4~21194484~21195483~+~HPV39~3033~4032~+	chr4	21195483	HPV39	chr4~21195482~+~HPV39~3032~+	21195482	37
subset.insertion_seqs.fa	chr4~90119401~90120400~-~HPV39~2148~3147~-	chr4	90119401	HPV39	HPV39~3144~+~chr4~90119396~+	90119396	212
subset.insertion_seqs.fa	chr2~69647480~69648479~-~HPV39~1820~2819~-	chr2	69647480	HPV39	HPV39~2819~+~chr2~69647479~+	69647479	43
subset.insertion_seqs.fa	chr2~42715667~42716666~+~HPV39~1618~2617~+	chr2	42716666	HPV39	chr2~42716665~+~HPV39~1617~+	42716665	230
subset.insertion_seqs.fa	chr2~102182056~102183055~-~HPV39~4214~5213~-	chr2	102182056	HPV39	HPV39~5213~+~chr2~102182054~+	102182054	39
subset.insertion_seqs.fa	chr7~97413437~97414436~+~HPV39~1869~2868~+	chr7	97414436	HPV39	chr7~97414436~+~HPV39~1868~+	97414436	215
subset.insertion_seqs.fa	chr22~28136821~28137820~-~HPV39~1943~2942~-	chr22	28136821	HPV39	HPV39~2940~+~chr22~28136820~+	28136820	211
subset.insertion_seqs.fa	chr22~32097155~32098154~+~HPV39~6723~7722~+	chr22	32098154	HPV39	chr22~32098153~+~HPV39~6715~+	32098153	210
subset.insertion_seqs.fa	chr22~44760856~44761855~-~HPV39~1822~2821~-	chr22	44760856	HPV39	HPV39~2819~+~chr22~44760855~+	44760855	15
subset.insertion_seqs.fa	chr13~103129197~103130196~-~HPV39~6341~7340~+	chr13	103129197	HPV39	HPV39~6340~-~chr13~103129196~+	103129196	215
subset.insertion_seqs.fa	chr1~49242805~49243804~-~HPV39~3258~4257~-	chr1	49242805	HPV39	HPV39~4256~+~chr1~49242804~+	49242804	43
subset.insertion_seqs.fa	chr1~186818481~186819480~+~HPV39~4179~5178~-	chr1	186819480	HPV39	chr1~186819479~+~HPV39~5177~-	186819479	43
subset.insertion_seqs.fa	chr3~80246727~80247726~-~HPV39~6563~7562~-	chr3	80246727	HPV39	HPV39~7564~+~chr3~80246726~+	80246726	44
subset.insertion_seqs.fa	chr3~176057300~176058299~+~HPV39~2494~3493~-	chr3	176058299	HPV39	chr3~176058301~+~HPV39~3496~-	176058301	47
subset.insertion_seqs.fa	chr10~88905967~88906966~-~HPV39~3653~4652~-	chr10	88905967	HPV39	HPV39~4652~+~chr10~88905966~+	88905966	36
subset.insertion_seqs.fa	chr10~132648760~132649759~-~HPV39~2113~3112~-	chr10	132648760	HPV39	HPV39~3110~+~chr10~132648759~+	132648759	209
subset.insertion_seqs.fa	chr20~50687126~50688125~-~HPV39~871~1870~+	chr20	50687126	HPV39	chr20~50687125~-~HPV39~868~+	50687125	37
subset.insertion_seqs.fa	chr12~13198049~13199048~+~HPV39~962~1961~+	chr12	13199048	HPV39	chr12~13199046~+~HPV39~960~+	13199046	200
subset.insertion_seqs.fa	chr12~13198049~13199048~+~HPV39~962~1961~+	chr12	13199048	HPV39	chr12~13199047~+~HPV39~960~+	13199047	216
subset.insertion_seqs.fa	chr5~139602201~139603200~+~HPV39~986~1985~+	chr5	139603200	HPV39	chr5~139603199~+~HPV39~985~+	139603199	42
subset.insertion_seqs.fa	chr5~139602201~139603200~+~HPV39~986~1985~+	chr5	139603200	HPV39	chr5~139603205~+~HPV39~985~+	139603205	26
subset.insertion_seqs.fa	chr14~94591466~94592465~+~HPV39~115~1114~-	chr14	94592465	HPV39	HPV39~1113~+~chr14~94592464~-	94592464	228
subset.insertion_seqs.fa	chr8~84279664~84280663~-~HPV39~1664~2663~+	chr8	84279664	HPV39	chr8~84279658~-~HPV39~1661~+	84279658	26
subset.insertion_seqs.fa	chr8~84279664~84280663~-~HPV39~1664~2663~+	chr8	84279664	HPV39	chr8~84279661~-~HPV39~1661~+	84279661	42
subset.insertion_seqs.fa	chr17~50935379~50936378~-~HPV39~1097~2096~-	chr17	50935379	HPV39	HPV39~2095~+~chr17~50935378~+	50935378	43
subset.insertion_seqs.fa	chr17~50935379~50936378~-~HPV39~1097~2096~-	chr17	50935379	HPV39	HPV39~2095~+~chr17~50935379~+	50935379	27
subset.insertion_seqs.fa	chr16~75319390~75320389~+~HPV39~2264~3263~+	chr16	75320389	HPV39	chr16~75320387~+~HPV39~2261~+	75320387	26
subset.insertion_seqs.fa	chr16~75319390~75320389~+~HPV39~2264~3263~+	chr16	75320389	HPV39	chr16~75320388~+~HPV39~2261~+	75320388	42
subset.insertion_seqs.fa	chr16~61991436~61992435~-~HPV39~1191~2190~-	chr16	61991436	HPV39	HPV39~2189~+~chr16~61991435~+	61991435	37
subset.insertion_seqs.fa	chr17~4366052~4367051~+~HPV39~2447~3446~+	chr17	4367051	HPV39	chr17~4367049~+~HPV39~2446~+	4367049	27
subset.insertion_seqs.fa	chr17~4366052~4367051~+~HPV39~2447~3446~+	chr17	4367051	HPV39	chr17~4367050~+~HPV39~2446~+	4367050	43
subset.insertion_seqs.fa	chr15~49880692~49881691~+~HPV39~1487~2486~-	chr15	49881691	HPV39	HPV39~2488~+~chr15~49881690~-	49881690	39
subset.insertion_seqs.fa	chr2~69647480~69648479~-~HPV39~1820~2819~-	chr2	69647480	HPV39	HPV39~2819~+~chr2~69647480~+	69647480	27
subset.insertion_seqs.fa	chr5~110315740~110316739~+~HPV39~3172~4171~+	chr5	110316739	HPV39	chr5~110316738~+~HPV39~3171~+	110316738	34
subset.insertion_seqs.fa	chr3~176057300~176058299~+~HPV39~2494~3493~-	chr3	176058299	HPV39	HPV39~3496~+~chr3~176058300~-	176058300	204
subset.insertion_seqs.fa	chr14~38524926~38525925~-~HPV39~3007~4006~-	chr14	38524926	HPV39	HPV39~4009~+~chr14~38524925~+	38524925	220
subset.insertion_seqs.fa	chr14~38524926~38525925~-~HPV39~3007~4006~-	chr14	38524926	HPV39	HPV39~4009~+~chr14~38524926~+	38524926	204
subset.insertion_seqs.fa	chr16~71999136~72000135~+~HPV39~4138~5137~+	chr16	72000135	HPV39	chr16~72000134~+~HPV39~4137~+	72000134	37
subset.insertion_seqs.fa	chr20~19430523~19431522~+~HPV39~3055~4054~-	chr20	19431522	HPV39	HPV39~4053~+~chr20~19431521~-	19431521	230
subset.insertion_seqs.fa	chr1~49242805~49243804~-~HPV39~3258~4257~-	chr1	49242805	HPV39	HPV39~4256~+~chr1~49242805~+	49242805	27
subset.insertion_seqs.fa	chr18~27397605~27398604~+~HPV39~4540~5539~+	chr18	27398604	HPV39	chr18~27398603~+~HPV39~4536~+	27398603	37
subset.insertion_seqs.fa	chr6~146265561~146266560~-~HPV39~4602~5601~+	chr6	146265561	HPV39	chr6~146265560~-~HPV39~4593~+	146265560	213
subset.insertion_seqs.fa	chr16~87541867~87542866~-~HPV39~4155~5154~-	chr16	87541867	HPV39	HPV39~5154~+~chr16~87541865~+	87541865	232
subset.insertion_seqs.fa	chr1~186818481~186819480~+~HPV39~4179~5178~-	chr1	186819480	HPV39	HPV39~5177~+~chr1~186819478~-	186819478	27
subset.insertion_seqs.fa	chr15~31749859~31750858~+~HPV39~4204~5203~-	chr15	31750858	HPV39	HPV39~5203~+~chr15~31750858~-	31750858	216
subset.insertion_seqs.fa	chr21~21795747~21796746~+~HPV39~5434~6433~+	chr21	21796746	HPV39	chr21~21796747~+~HPV39~5433~+	21796747	212
subset.insertion_seqs.fa	chr21~21795747~21796746~+~HPV39~5434~6433~+	chr21	21796746	HPV39	chr21~21796748~+~HPV39~5433~+	21796748	27
subset.insertion_seqs.fa	chr6~85608651~85609650~+~HPV39~4351~5350~-	chr6	85609650	HPV39	HPV39~5349~+~chr6~85609650~-	85609650	37
subset.insertion_seqs.fa	chr9~108788382~108789381~+~HPV39~6107~7106~+	chr9	108789381	HPV39	chr9~108789379~+~HPV39~6105~+	108789379	201
subset.insertion_seqs.fa	chr9~108788382~108789381~+~HPV39~6107~7106~+	chr9	108789381	HPV39	chr9~108789381~+~HPV39~6105~+	108789381	217
subset.insertion_seqs.fa	chr8~113232216~113233215~+~HPV39~5806~6805~-	chr8	113233215	HPV39	HPV39~6804~+~chr8~113233216~-	113233216	216
subset.insertion_seqs.fa	chr8~113232216~113233215~+~HPV39~5806~6805~-	chr8	113233215	HPV39	HPV39~6804~+~chr8~113233218~-	113233218	27
subset.insertion_seqs.fa	chr8~113232216~113233215~+~HPV39~5806~6805~-	chr8	113233215	HPV39	HPV39~6804~+~chr8~113233219~-	113233219	27
subset.insertion_seqs.fa	chr11~60937973~60938972~+~HPV39~6273~7272~-	chr11	60938972	HPV39	HPV39~7272~+~chr11~60938970~-	60938970	27
subset.insertion_seqs.fa	chr3~80246727~80247726~-~HPV39~6563~7562~-	chr3	80246727	HPV39	HPV39~7564~+~chr3~80246727~+	80246727	28
subset.insertion_seqs.fa	chr21~30688737~30689736~-~HPV39~115~1114~-	chr21	30688737	HPV39	HPV39~1113~+~chr21~30688735~+	30688735	209
subset.insertion_seqs.fa	chr9~91545327~91546326~+~HPV39~3970~4969~-	chr9	91546326	HPV39	chr9~91546325~+~HPV39~4966~-	91546325	15
subset.insertion_seqs.fa	chr14~39350791~39351790~+~HPV39~3043~4042~+	chr14	39351790	HPV39	chr14~39351789~+~HPV39~3042~+	39351789	37
subset.insertion_seqs.fa	chr18~62615764~62616763~-~HPV39~4175~5174~-	chr18	62615764	HPV39	HPV39~5173~+~chr18~62615763~+	62615763	217
subset.insertion_seqs.fa	chr7~76498323~76499322~+~HPV39~4977~5976~-	chr7	76499322	HPV39	chr7~76499321~+~HPV39~5975~-	76499321	36
subset.insertion_seqs.fa	chr3~173063649~173064648~-~HPV39~6441~7440~-	chr3	173063649	HPV39	HPV39~7439~+~chr3~173063648~+	173063648	191
subset.insertion_seqs.fa	chr10~72867100~72868099~+~HPV39~494~1493~-	chr10	72868099	HPV39	chr10~72868098~+~HPV39~1491~-	72868098	193
subset.insertion_seqs.fa	chr21~9970234~9971233~+~HPV39~6077~7076~+	chr21	9971233	HPV39	chr21~9971231~+~HPV39~6076~+	9971231	27
subset.insertion_seqs.fa	chr21~9970234~9971233~+~HPV39~6077~7076~+	chr21	9971233	HPV39	chr21~9971232~+~HPV39~6076~+	9971232	39
subset.insertion_seqs.fa	chr7~76498323~76499322~+~HPV39~4977~5976~-	chr7	76499322	HPV39	HPV39~5975~+~chr7~76499320~-	76499320	27
subset.insertion_seqs.fa	chr7~102623272~102624271~+~HPV39~2221~3220~+	chr7	102624271	HPV39	NA	NA	NA
subset.insertion_seqs.fa	chr2~193170900~193171899~-~HPV39~3881~4880~-	chr2	193170900	HPV39	NA	NA	NA
