chrom	lend	rend	sample_name	CN	copy_number
chrX	251810	155550401	HNSC-CR-5250-TP	0.0019	2.002635694483164
chrX	251810	155551021	HNSC-CN-6017-TP	-0.0006	1.9991683963224378
chrX	251810	155551021	KIRC-BP-4166-TP	0.0078	2.0108423795285537
chrX	251810	155551021	LUSC-21-1079-TP	-0.0053	1.9926661192998223
chrX	251810	155553352	KIRC-A3-3351-TP	0.0056	2.0077783349425395
chrX	251810	155952689	BLCA-K4-A4AB-NT	-0.0025	1.996537265194785
chrX	251810	155952689	BLCA-FD-A43U-TP	0.0048	2.006665294857655
chrX	251810	155952689	BLCA-ZF-AA52-TP	0.0199	2.0277783998206207
chrX	251810	155952689	BLCA-CF-A5U8-TP	-0.0006	1.9991683963224378
chrX	251810	155952689	BLCA-CF-A47T-TP	0.0013	2.0018029948789895
chrX	251810	155952689	BLCA-DK-A3WX-TP	0.0056	2.0077783349425395
chrX	251810	155952689	BLCA-E7-A7DU-TP	0.0008	2.001109343035669
chrX	251810	155952689	BLCA-FD-A6TE-TP	-0.0073	1.9899056113754252
chrX	251810	155952689	BLCA-KQ-A41S-TP	0.0011	2.001525505293159
chrX	251810	155952689	BLCA-XF-AAMH-TP	0.0104	2.0144695522481415
chrX	251810	155952689	BLCA-XF-A9SV-TP	0.0024	2.003329875411264
chrX	251810	155952689	BLCA-FD-A43S-TP	0.0018	2.0024968871653828
chrX	251810	155952689	BLCA-BL-A13I-TP	0.0189	2.026373337953576
chrX	251810	155952689	BLCA-GV-A3QG-TP	0.0168	2.023425876221503
chrX	251810	155952689	BLCA-XF-AAMJ-TP	-0.0032	1.9955687742477777
chrX	251810	155952689	BLCA-GU-A42Q-TP	0.0284	2.0397608293900507
chrX	251810	155952689	BLCA-BL-A5ZZ-TP	0.0021	2.0029133379845643
chrX	251810	155952689	CESC-EK-A2PK-TP	0.0143	2.0199225826178204
chrX	251810	155952689	CESC-EA-A50E-TP	0.0004	2.000554594624035
chrX	251810	155952689	CESC-C5-A1BF-NT	0.0152	2.021183069021893
chrX	251810	155952689	CESC-C5-A1BE-NT	0.0202	2.0282001083292016
chrX	251810	155952689	CESC-HM-A3JK-TP	0.0012	2.001664245277546
chrX	251810	155952689	HNSC-CV-A468-TP	0.0112	2.0155869211323183
chrX	251810	155952689	HNSC-CR-7377-TP	0.0061	2.0084742984828923
chrX	251810	155952689	HNSC-T2-A6WX-TP	0.0008	2.001109343035669
chrX	251810	155952689	HNSC-MT-A67A-TP	0.0028	2.0038853934008
chrX	251810	155952689	HNSC-CV-A45Y-TP	0.0036	2.004996891553524
chrX	251810	155952689	HNSC-CR-7401-TP	0.0068	2.0094490527486832
chrX	251810	155952689	HNSC-QK-A652-TP	0.0056	2.0077783349425395
chrX	251810	155952689	HNSC-MT-A67F-TP	-0.0007	1.9990298293311217
chrX	251810	155952689	HNSC-UF-A71D-TP	0.0005	2.0006932673076907
chrX	251810	155952689	HNSC-CV-7253-TP	0.0102	2.0141903068263134
chrX	251810	155952689	HNSC-HD-7831-TP	0.0019	2.002635694483164
chrX	251810	155952689	HNSC-CV-5971-TP	0.0066	2.00917050326763
chrX	251810	155952689	HNSC-CV-6955-TP	0.0018	2.0024968871653828
chrX	251810	155952689	HNSC-CR-6470-TP	0.0076	2.010563636904782
chrX	251810	155952689	HNSC-CV-6436-TP	0.0026	2.003607615153246
chrX	251810	155952689	HNSC-CV-7410-TP	0.0105	2.0146091894765896
chrX	251810	155952689	HNSC-D6-6517-TP	0.0115	2.016006094230572
chrX	251810	155952689	HNSC-CV-7411-TP	0.0013	2.0018029948789895
chrX	251810	155952689	HNSC-CR-7395-TP	0.0205	2.0286219045387197
chrX	251810	155952689	HNSC-CR-7393-TP	0.0102	2.0141903068263134
chrX	251810	155952689	KIRC-BP-5186-TP	0.0009	2.001248054172887
chrX	251810	155952689	KIRC-B0-5102-TP	0.0164	2.0228649412107305
chrX	251810	155952689	KIRC-MM-A564-TP	0.013	2.0181032676893627
chrX	251810	155952689	KIRC-BP-5177-TP	-0.0004	1.9994455591209301
chrX	251810	155952689	KIRC-BP-5008-TP	0.0076	2.010563636904782
chrX	251810	155952689	KIRC-B8-5165-TP	0.0048	2.006665294857655
chrX	251810	155952689	KIRC-BP-4173-TP	0.0172	2.023986966778046
chrX	251810	155952689	KIRC-BP-4163-TP	0.0139	2.0193626187916407
chrX	251810	155952689	KIRC-BP-4353-TP	0.0157	2.021883679094198
chrX	251810	155952689	KIRC-CZ-5984-TP	-0.002	1.9972293322020578
chrX	251810	155952689	KIRC-A3-3359-TP	0.0194	2.027075747147766
chrX	251810	155952689	KIRC-CJ-5686-TP	0.0174	2.0242675703994597
chrX	251810	155952689	KIRC-AK-3425-TP	0.0107	2.0148884929719086
chrX	251810	155952689	KIRC-B0-5711-TP	0.006	2.0083350864779463
chrX	251810	155952689	KIRC-CZ-5459-TP	0.0102	2.0141903068263134
chrX	251810	155952689	KIRC-B0-5077-TP	0.0037	2.0051358721644106
chrX	251810	155952689	KIRC-AK-3453-TP	0.0144	2.020062597834631
chrX	251810	155952689	KIRC-B2-5635-NT	-0.0489	1.9333461988323204
chrX	251810	155952689	KIRC-CJ-6030-TP	0.0015	2.0020805229357115
chrX	251810	155952689	KIRC-BP-4759-TP	0.0043	2.0059699581615535
chrX	251810	155952689	KIRC-BP-4983-TP	0.0044	2.0061090062226152
chrX	251810	155952689	KIRC-A3-A8OW-TP	0.0016	2.0022193013923233
chrX	251810	155952689	KIRC-B8-4620-TP	0.0027	2.0037464994634924
chrX	251810	155952689	KIRC-CZ-5466-TP	0.006	2.0083350864779463
chrX	251810	155952689	KIRC-A3-3374-TP	0.012	2.01670490978919
chrX	251810	155952689	KIRC-CZ-4866-TP	0.0115	2.016006094230572
chrX	251810	155952689	KIRC-BP-4801-TP	0.0012	2.001664245277546
chrX	251810	155952689	KIRC-CJ-4874-TP	0.0033	2.004580007516602
chrX	251810	155952689	KIRC-B8-5158-TP	0.0025	2.003468740469392
chrX	251810	155952689	KIRC-AK-3434-TP	0.0126	2.0175438082144668
chrX	251810	155952689	KIRC-CJ-5680-TP	0.0137	2.0190826950937724
chrX	251810	155952689	KIRC-CW-5588-TP	-0.0029	1.99598378425658
chrX	251810	155952689	KIRC-B0-4714-TP	0.0223	2.0311545245371483
chrX	251810	155952689	KIRC-B4-5836-TP	0.0161	2.0224443420036233
chrX	251810	155952689	KIRC-CJ-4904-TP	0.0023	2.003191019978195
chrX	251810	155952689	KIRC-BP-4971-TP	0.0036	2.004996891553524
chrX	251810	155952689	KIRC-B0-4710-TP	0.0203	2.0283406973202585
chrX	251810	155952689	KIRC-A3-3374-TP	-0.01	1.9861849908740719
chrX	251810	155952689	KIRC-A3-3335-TP	0.0146	2.0203426573852803
chrX	251810	155952689	KIRC-B0-5113-TP	0.0119	2.0165651273015137
chrX	251810	155952689	KIRC-B8-4153-NT	0.0016	2.0022193013923233
chrX	251810	155952689	KIRC-B0-5400-TP	0.0138	2.0192226520919987
chrX	251810	155952689	KIRC-BP-4167-TP	-0.0094	1.987011193782125
chrX	251810	155952689	KIRC-CZ-5987-TP	-0.0056	1.9922517991083293
chrX	251810	155952689	KIRC-CJ-4905-TP	0.0003	2.0004159315521046
chrX	251810	155952689	KIRC-BP-4170-TP	0.0046	2.0063871312606403
chrX	251810	155952689	KIRC-AS-3777-TP	-0.0099	1.9863226674981744
chrX	251810	155952689	KIRC-AK-3455-TP	0.0184	2.0256711721536833
chrX	251810	155952689	KIRC-B8-A8YJ-TP	0.0081	2.0112605659245313
chrX	251810	155952689	KIRC-CW-5584-TP	0.0085	2.011818283073229
chrX	251810	155952689	KIRC-B2-4101-TP	0.0229	2.0319994336380574
chrX	251810	155952689	KIRC-AK-3444-TP	0.0056	2.0077783349425395
chrX	251810	155952689	KIRC-B0-4945-TP	0.0139	2.0193626187916407
chrX	251810	155952689	LGG-S9-A6TW-TP	0.0066	2.00917050326763
chrX	251810	155952689	LGG-S9-A7J1-TP	-0.0048	1.993356844437649
chrX	251810	155952689	LGG-CS-6669-TP	0.0162	2.0225845320215328
chrX	251810	155952689	LGG-S9-A6WI-TP	0.0027	2.0037464994634924
chrX	251810	155952689	LGG-S9-A6WP-TP	-0.0027	1.996260505543495
chrX	251810	155952689	LGG-DH-A7UV-TP	-0.0058	1.9919756335076086
chrX	251810	155952689	LGG-DB-5275-TP	0.0002	2.000277278091233
chrX	251810	155952689	LGG-DB-5274-TP	0.0126	2.0175438082144668
chrX	251810	155952689	LGG-DH-A669-TP	-0.0104	1.9856343797979041
chrX	251810	155952689	LGG-DH-5140-TP	0.0167	2.0232856278880784
chrX	251810	155952689	LGG-HT-7676-TP	-0.0003	1.9995841549294382
chrX	251810	155952689	LGG-DB-A4XG-TP	-0.0012	1.998337138427214
chrX	251810	155952689	LGG-HT-8113-TP	0.0039	2.005413862288058
chrX	251810	155952689	LGG-TM-A84C-TP	0.0003	2.0004159315521046
chrX	251810	155952689	LGG-TM-A84S-TP	0.0016	2.0022193013923233
chrX	251810	155952689	LGG-CS-5390-TP	0.012	2.01670490978919
chrX	251810	155952689	LGG-S9-A6U2-TP	0.0011	2.001525505293159
chrX	251810	155952689	LGG-HT-A74L-TP	0.0015	2.0020805229357115
chrX	251810	155952689	LGG-DB-5276-TP	0.0	2.0
chrX	251810	155952689	LGG-HT-7884-NT	0.0034	2.004718959230287
chrX	251810	155952689	LGG-DB-A64S-TP	0.0014	2.0019417540981554
chrX	251810	155952689	LGG-E1-A7YU-TP	-0.006	1.9916995061889162
chrX	251810	155952689	LGG-VM-A8CE-TP	0.0007	2.000970641512841
chrX	251810	155952689	LGG-P5-A77X-TP	0.0021	2.0029133379845643
chrX	251810	155952689	LGG-HT-7877-TP	0.0047	2.00652620823894
chrX	251810	155952689	LGG-FG-A4MX-TP	0.0139	2.0193626187916407
chrX	251810	155952689	LGG-RY-A83Y-TP	-0.0012	1.998337138427214
chrX	251810	155952689	LGG-DB-A75M-TP	0.0081	2.0112605659245313
chrX	251810	155952689	LGG-S9-A6UA-TP	-0.0008	1.9988912719442047
chrX	251810	155952689	LGG-HT-7603-TP	0.0109	2.0151678351895974
