sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tissue_id	sample_read_count	mapped_rpm
GTEX-ZTPG-0008-SM-4YCEK	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	66	0	4310	0.025	Cells_Cultured_fibroblasts	46750418	1.41175208315784
GTEX-13OW8-0011-R8a-SM-5L3G5	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	55	0	3274	0.019	Brain_Hypothalamus	40401301	1.36134229934823
GTEX-Y8E4-0003-SM-4V6FY	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	272730	204	133162	0.775	Cells_EBV-transformed_lymphocytes	52040999	5240.67572184769
GTEX-Y8E4-0003-SM-4V6FY	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	112526	840	102250	0.592	Cells_EBV-transformed_lymphocytes	52040999	2162.25672378042
GTEX-ZF2S-0326-SM-4WKGD	NC_001803_15191nt_Respiratory_syncytial_virus	15191	145	0	5989	0.394	Spleen	50676041	2.86131270593928
GTEX-16NGA-0008-SM-EAZC7	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	82	0	4386	0.026	Cells_Cultured_fibroblasts	52029958	1.57601511037161
GTEX-11EMC-0008-SM-5Q5DR	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	172	0	8230	0.048	Cells_Cultured_fibroblasts	46673382	3.68518398773845
GTEX-OXRL-2126-SM-3NM98	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	480	0	19140	0.111	Testis	63180941	7.59722777791486
GTEX-OXRL-2126-SM-3NM98	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	154	0	8605	0.05	Testis	63180941	2.43744391208102
GTEX-X4EP-0011-R8B-SM-4QASL	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	6473139	48471	146768	0.964	Brain_Hypothalamus	40961587	158029.497245798
GTEX-X4EP-0011-R8B-SM-4QASL	NC_001348_124884nt_Human_alphaherpesvirus_3	124884	1144	0	38401	0.307	Brain_Hypothalamus	40961587	27.9286054029108
GTEX-X4EP-0011-R8B-SM-4QASL	NC_001798_154675nt_Human_alphaherpesvirus_2	154675	10917	0	3904	0.025	Brain_Hypothalamus	40961587	266.517994041588
GTEX-XMD2-0526-SM-4YCDI	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	74	5	4604	0.027	Muscle_Skeletal	35587731	2.07936830813968
