TCGA	sample_id	seqtype	chrom	virus	contig	sample_region_expr	mean_region_expr	log2_fold_change	expr_quantile	region_gene_list
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~930~+~chr17~59735337~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~231~+~chr17~59735337~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~930~+~chr17~59737452~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~1903~+~chr17~59734151~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~197~+~chr17~59738858~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~231~+~chr17~59737452~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~881~+~chr18~63236502~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	chr18~63323093~+~HPV16~2497~-	57.87	44.68	0.37	1.00	BCL2^ENSG00000171791.11,RP11-28F1.2^ENSG00000267701.2,KDSR^ENSG00000119537.14
CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	chr8~127742375~+~HPV16~6411~+	40.55	27.70	0.55	1.00	CASC11^ENSG00000249375.6,MYC^ENSG00000136997.13
CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	chr18~63318955~+~HPV16~215~-	57.87	44.68	0.37	1.00	BCL2^ENSG00000171791.11,RP11-28F1.2^ENSG00000267701.2,KDSR^ENSG00000119537.14
CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~227~+~chr18~63236502~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~2089~+~chr18~63235900~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	HPV16~2899~+~chr8~127742408~+	40.55	27.70	0.55	1.00	CASC11^ENSG00000249375.6,MYC^ENSG00000136997.13
CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	HPV16~869~+~chr8~127746262~+	23.85	19.42	0.30	1.00	MYC^ENSG00000136997.13
LIHC	LIHC-CC-A1HT-TP	RNA	chr5	HBV	chr5~1294667~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	15.64	10.78	0.54	0.87	TERT^ENSG00000164362.17
LIHC	LIHC-CC-A1HT-TP	RNA	chr16	HBV	NC_003977_3182nt_Hepatitis_B_virus~1826~+~chr16~507291~+	16.82	17.49	-0.06	0.13	RAB11FIP3^ENSG00000090565.14
CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	HPV18~930~+~chr22~29528347~+	30.61	21.75	0.49	1.00	THOC5^ENSG00000100296.12,CTA-256D12.11^ENSG00000234208.1
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~43774959~+~HPV18~930~-	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~3433~-~chr2~43765588~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~2778~-~chr2~43765588~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~930~+~chr1~12611746~+	34.12	33.92	0.01	0.50	DHRS3^ENSG00000162496.7,RP11-474O21.5^ENSG00000272482.1
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~1993~-~chr2~43718279~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~1997~+~chr2~43718164~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	HPV18~234~+~chr22~29528347~+	30.61	21.75	0.49	1.00	THOC5^ENSG00000100296.12,CTA-256D12.11^ENSG00000234208.1
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~3433~-~chr2~43774816~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~235~+~chr1~12616254~+	34.12	33.92	0.01	0.50	DHRS3^ENSG00000162496.7,RP11-474O21.5^ENSG00000272482.1
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~1993~-~chr1~154295134~+	0.00	0.49	-5.64	0.50	SNORD59^ENSG00000252682.1,RNU6-239P^ENSG00000212292.1,RNU6-121P^ENSG00000222457.1
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~1993~-~chr1~94332269~+	24.70	8.01	1.62	0.97	RP11-148B18.4^ENSG00000236098.1,RP11-148B18.3^ENSG00000226835.1
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~7597~-~chr2~43718279~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~43776286~+~HPV18~2002~-	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~7597~-~chr1~94332271~+	24.70	8.01	1.62	0.97	RP11-148B18.4^ENSG00000236098.1,RP11-148B18.3^ENSG00000226835.1
CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~44118789~+~HPV18~7597~+	42.03	39.15	0.10	0.97	AEBP1^ENSG00000106624.7,MIR4649^ENSG00000264652.1,POLD2^ENSG00000106628.9,RNA5SP230^ENSG00000252848.1
CESC	CESC-C5-A7X8-TP	RNA	chr5	HPV18	chr5~36120529~+~HPV18~7597~+	15.51	15.76	-0.02	0.39	LMBRD2^ENSG00000164187.6
CESC	CESC-C5-A7X8-TP	RNA	chr20	HPV18	chr20~15322061~+~HPV18~7597~+	13.35	12.42	0.10	0.74	MACROD2^ENSG00000172264.15
CESC	CESC-C5-A7X8-TP	RNA	chr11	HPV18	chr11~64347064~+~HPV18~7597~+	17.10	17.29	-0.02	0.73	CCDC88B^ENSG00000168071.20,MIR7155^ENSG00000278359.1
CESC	CESC-C5-A7X8-TP	RNA	chr18	HPV18	chr18~27520025~+~HPV18~7597~+	0.00	1.50	-7.24	0.37	RP11-739N10.1^ENSG00000264151.4
CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~129211050~+~HPV18~2006~+	10.76	10.89	-0.02	0.51	RP11-247A12.2^ENSG00000204055.4
CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~109413224~+~HPV18~2006~+	16.37	16.63	-0.02	0.32	PTPN3^ENSG00000070159.12
CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~10036852~+~HPV18~2006~+	13.73	10.12	0.44	0.89	PTPRD^ENSG00000153707.14
CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~102106358~+~HPV18~2006~+	16.74	16.99	-0.02	0.35	CUX1^ENSG00000257923.8
CESC	CESC-C5-A7X8-TP	RNA	chr6	HPV18	chr6~157040208~+~HPV18~2006~+	16.62	16.67	-0.00	0.42	ARID1B^ENSG00000049618.20
CESC	CESC-C5-A7X8-TP	RNA	chr4	HPV18	chr4~41069064~+~HPV18~2006~+	15.50	15.24	0.02	0.62	APBB2^ENSG00000163697.15
CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	chr22~50535853~+~HPV18~2006~+	87.03	89.41	-0.04	0.34	SCO2^ENSG00000130489.11,TYMP^ENSG00000025708.11,ODF3B^ENSG00000177989.12,CTA-384D8.35^ENSG00000272666.1,CTA-384D8.34^ENSG00000273272.1
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~99460345~+~HPV18~2006~+	16.66	16.85	-0.02	0.34	REV1^ENSG00000135945.8
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~113836937~+~HPV18~2006~+	13.18	20.36	-0.63	0.23	AC024704.2^ENSG00000244063.1,AC104653.1^ENSG00000228857.2
CESC	CESC-C5-A7X8-TP	RNA	chr15	HPV18	chr15~65313880~+~HPV18~2006~+	0.00	4.58	-8.84	0.28	RNU5B-1^ENSG00000200156.1
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	chr1~86496998~+~HPV18~2006~+	7.42	2.77	1.42	0.85	CLCA1^ENSG00000016490.14
CESC	CESC-C5-A7X8-TP	RNA	chrX	HPV18	HPV18~2006~-~chrX~97301962~+	15.17	14.96	0.02	0.43	DIAPH2^ENSG00000147202.16
CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	HPV18~2006~-~chr9~109452017~+	16.37	16.63	-0.02	0.32	PTPN3^ENSG00000070159.12
CESC	CESC-C5-A7X8-TP	RNA	chr21	HPV18	HPV18~2006~-~chr21~43795889~+	30.43	32.28	-0.09	0.19	RRP1^ENSG00000160214.11,AATBC^ENSG00000215458.7
CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~2006~-~chr2~213804431~+	15.74	14.95	0.07	0.74	SPAG16^ENSG00000144451.17
CESC	CESC-C5-A7X8-TP	RNA	chr17	HPV18	HPV18~2006~-~chr17~6435459~+	17.51	23.66	-0.43	0.22	AIPL1^ENSG00000129221.13,FAM64A^ENSG00000129195.14
CESC	CESC-C5-A7X8-TP	RNA	chr17	HPV18	HPV18~2006~-~chr17~10164190~+	16.69	14.56	0.20	0.94	GAS7^ENSG00000007237.17
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~2006~-~chr1~156304145~+	38.15	41.58	-0.12	0.14	GLMP^ENSG00000198715.10,VHLL^ENSG00000189030.9,CCT3^ENSG00000163468.13
CESC	CESC-C5-A7X8-TP	RNA	chr5	HPV18	chr5~36120529~+~HPV18~1993~+	15.51	15.76	-0.02	0.39	LMBRD2^ENSG00000164187.6
CESC	CESC-C5-A7X8-TP	RNA	chr11	HPV18	chr11~64347064~+~HPV18~1993~+	17.10	17.29	-0.02	0.73	CCDC88B^ENSG00000168071.20,MIR7155^ENSG00000278359.1
CESC	CESC-C5-A7X8-TP	RNA	chr20	HPV18	chr20~15322061~+~HPV18~1993~+	13.35	12.42	0.10	0.74	MACROD2^ENSG00000172264.15
CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~44118789~+~HPV18~1993~+	42.03	39.15	0.10	0.97	AEBP1^ENSG00000106624.7,MIR4649^ENSG00000264652.1,POLD2^ENSG00000106628.9,RNA5SP230^ENSG00000252848.1
CESC	CESC-C5-A7X8-TP	RNA	chr19	HPV18	HPV18~1993~-~chr19~14327855~+	24.91	19.55	0.35	0.86	CTC-548K16.2^ENSG00000266913.1,CTC-548K16.1^ENSG00000267147.2
CESC	CESC-C5-A7X8-TP	RNA	chr10	HPV18	HPV18~1993~-~chr10~125604561~+	11.76	4.24	1.47	0.92	TEX36^ENSG00000175018.11
CESC	CESC-C5-A7X8-TP	RNA	chr18	HPV18	chr18~27520025~+~HPV18~1993~+	0.00	1.50	-7.24	0.56	RP11-739N10.1^ENSG00000264151.4
CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~26359926~+~HPV18~1993~+	15.79	16.21	-0.04	0.35	SNX10^ENSG00000086300.14
CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~7597~-~chr1~154295125~+	0.00	0.49	-5.64	0.38	SNORD59^ENSG00000252682.1,RNU6-239P^ENSG00000212292.1,RNU6-121P^ENSG00000222457.1
HNSC	HNSC-P3-A6SW-TP	RNA	chr12	HPV16	chr12~90905865~+~HPV16~881~-	18.15	1.25	3.85	1.00	CCER1^ENSG00000197651.4
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33707970~+~HPV16~881~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33710040~+~HPV16~2600~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33707387~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~5777~-~chr20~33669145~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~1786~-~chr20~33705938~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~637~-~chr20~33667157~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~7055~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~2708~-~chr20~33707383~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
