#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr18~7864064~HPV18~1403	chr18	7864064	+	HPV18	1403	-	1	1	0	0	1
subset.insertion_seqs.fa	chr18~29166320~HPV18~1396	chr18	29166320	+	HPV18	1396	+	1	1	0	0	1
subset.insertion_seqs.fa	chr18~54075110~HPV18~0	chr18	54075110	+	HPV18	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chrX~46686583~HPV18~4342	chrX	46686583	+	HPV18	4342	-	158	158	0	158	1
subset.insertion_seqs.fa	chrX~65806341~HPV18~6576	chrX	65806341	+	HPV18	6576	-	198	198	0	154	48
subset.insertion_seqs.fa	chrX~73739932~HPV18~1666	chrX	73739932	+	HPV18	1666	-	1	1	1	0	1
subset.insertion_seqs.fa	chrX~79990999~HPV18~1445	chrX	79990999	+	HPV18	1445	-	1	1	0	1	0
subset.insertion_seqs.fa	chrX~103582660~HPV18~1460	chrX	103582660	+	HPV18	1460	-	1	1	0	0	1
subset.insertion_seqs.fa	chrX~112492870~HPV18~0	chrX	112492870	+	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chrX~130466315~HPV18~0	chrX	130466315	+	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr4~156543074~HPV18~0	chr4	156543074	+	HPV18	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr13~34248749~HPV18~6547	chr13	34248749	+	HPV18	6547	-	197	197	0	201	0
subset.insertion_seqs.fa	chr1~16086244~HPV18~1503	chr1	16086244	+	HPV18	1503	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~112430319~HPV18~0	chr1	112430319	+	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~174540507~HPV18~5712	chr1	174540507	+	HPV18	5712	-	1	1	0	0	1
subset.insertion_seqs.fa	chr10~94215181~HPV18~5397	chr10	94215181	+	HPV18	5397	-	174	174	0	174	1
subset.insertion_seqs.fa	chr10~120333595~HPV18~0	chr10	120333595	+	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr10~125963408~HPV18~7643	chr10	125963408	+	HPV18	7643	-	1	1	0	0	1
subset.insertion_seqs.fa	chr21~17465041~HPV18~3840	chr21	17465041	+	HPV18	3840	-	2	2	0	0	2
subset.insertion_seqs.fa	chr11~5010489~HPV18~4715	chr11	5010489	+	HPV18	4715	+	204	204	0	208	0
subset.insertion_seqs.fa	chr11~50754881~HPV18~6311	chr11	50754881	+	HPV18	6311	+	1	1	1	1	0
subset.insertion_seqs.fa	chr11~63496370~HPV18~1365	chr11	63496370	+	HPV18	1365	+	1	1	0	0	1
subset.insertion_seqs.fa	chr11~72424773~HPV18~5075	chr11	72424773	+	HPV18	5075	-	1	1	0	1	0
