sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tissue_id
BFTC909_KIDNEY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	356	0	4653	0.572	KIDNEY
BFTC909_KIDNEY	NC_007815_8197nt_PreXMRV_1	8197	103	0	2889	0.352	KIDNEY
BFTC909_KIDNEY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	68	0	1537	0.184	KIDNEY
LCLC97TM1_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	170	0	5541	0.681	LUNG
CACO2_LARGE_INTESTINE	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	248	0	2748	0.524	LARGE_INTESTINE
CACO2_LARGE_INTESTINE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	120	0	4070	0.478	LARGE_INTESTINE
CACO2_LARGE_INTESTINE	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	126	0	6014	0.394	LARGE_INTESTINE
CACO2_LARGE_INTESTINE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	122	0	1817	0.218	LARGE_INTESTINE
KLE_ENDOMETRIUM	NC_001702_8135nt_Murine_type_C_retrovirus	8135	111	0	4377	0.538	ENDOMETRIUM
KLE_ENDOMETRIUM	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	66	0	508	0.097	ENDOMETRIUM
TTC1240_SOFT_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	135	0	4620	0.543	SOFT_TISSUE
PANC0504_PANCREAS	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	73	0	2653	0.312	PANCREAS
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	388	0	4890	0.601	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007815_8197nt_PreXMRV_1	8197	79	0	2254	0.275	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	76	0	1328	0.159	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	87	0	4973	0.029	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LNZ308_CENTRAL_NERVOUS_SYSTEM	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	134	0	4092	0.481	CENTRAL_NERVOUS_SYSTEM
LNZ308_CENTRAL_NERVOUS_SYSTEM	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	150	0	6831	0.448	CENTRAL_NERVOUS_SYSTEM
LOUNH91_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	126	0	5502	0.676	LUNG
SIHA_CERVIX	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	114	0	3654	0.43	CERVIX
SIHA_CERVIX	HPV16	7906	5664	553	3338	0.422	CERVIX
SIHA_CERVIX	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	96	0	5347	0.351	CERVIX
SIHA_CERVIX	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	58	0	1556	0.187	CERVIX
DV90_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	473	0	4789	0.589	LUNG
DV90_LUNG	NC_007815_8197nt_PreXMRV_1	8197	136	0	3172	0.387	LUNG
DV90_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	86	0	1461	0.175	LUNG
S117_SOFT_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	126798	1842	8106	0.996	SOFT_TISSUE
S117_SOFT_TISSUE	NC_007815_8197nt_PreXMRV_1	8197	48476	617	7288	0.889	SOFT_TISSUE
S117_SOFT_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	46678	91	4182	0.502	SOFT_TISSUE
S117_SOFT_TISSUE	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	5846	25	3754	0.451	SOFT_TISSUE
COLO680N_OESOPHAGUS	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	109	0	3843	0.452	OESOPHAGUS
COLO680N_OESOPHAGUS	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	110	0	5756	0.378	OESOPHAGUS
DU4475_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	402	0	7440	0.915	BREAST
DU4475_BREAST	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	63	0	3251	0.213	BREAST
HS936T_SKIN	NC_001702_8135nt_Murine_type_C_retrovirus	8135	894	0	7923	0.974	SKIN
HS936T_SKIN	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	54	0	3181	0.209	SKIN
NCIH1781_LUNG	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	112	0	3263	0.384	LUNG
SH10TC_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	2302312	16410	8136	1	STOMACH
SH10TC_STOMACH	NC_007815_8197nt_PreXMRV_1	8197	162666	4561	7867	0.96	STOMACH
