cohort	project	sample_id	seqtype	chrom	virus	contig	sample_region_expr	mean_region_expr	log2_fold_change	expr_quantile	region_gene_list
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~930~+~chr17~59735337~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~231~+~chr17~59735337~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~930~+~chr17~59737452~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~1903~+~chr17~59734151~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~197~+~chr17~59738858~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-C5-A7UC-TP	RNA	chr17	HPV45	HPV45~231~+~chr17~59737452~+	20.95	19.72	0.09	0.96	VMP1^ENSG00000062716.9
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~881~+~chr18~63236502~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	chr18~63323093~+~HPV16~2497~-	57.87	44.68	0.37	1.00	BCL2^ENSG00000171791.11,RP11-28F1.2^ENSG00000267701.2,KDSR^ENSG00000119537.14
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	chr8~127742375~+~HPV16~6411~+	40.55	27.70	0.55	1.00	CASC11^ENSG00000249375.6,MYC^ENSG00000136997.13
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	chr18~63318955~+~HPV16~215~-	57.87	44.68	0.37	1.00	BCL2^ENSG00000171791.11,RP11-28F1.2^ENSG00000267701.2,KDSR^ENSG00000119537.14
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~227~+~chr18~63236502~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr18	HPV16	HPV16~2089~+~chr18~63235900~+	21.33	14.92	0.52	1.00	BCL2^ENSG00000171791.11
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	HPV16~2899~+~chr8~127742408~+	40.55	27.70	0.55	1.00	CASC11^ENSG00000249375.6,MYC^ENSG00000136997.13
TCGA	CESC	CESC-LP-A5U2-TP	RNA	chr8	HPV16	HPV16~869~+~chr8~127746262~+	23.85	19.42	0.30	1.00	MYC^ENSG00000136997.13
TCGA	LIHC	LIHC-CC-A1HT-TP	RNA	chr5	HBV	chr5~1294667~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	15.64	10.78	0.54	0.87	TERT^ENSG00000164362.17
TCGA	LIHC	LIHC-CC-A1HT-TP	RNA	chr16	HBV	NC_003977_3182nt_Hepatitis_B_virus~1826~+~chr16~507291~+	16.82	17.49	-0.06	0.13	RAB11FIP3^ENSG00000090565.14
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	HPV18~930~+~chr22~29528347~+	30.61	21.75	0.49	1.00	THOC5^ENSG00000100296.12,CTA-256D12.11^ENSG00000234208.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~43774959~+~HPV18~930~-	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~3433~-~chr2~43765588~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~2778~-~chr2~43765588~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~930~+~chr1~12611746~+	34.12	33.92	0.01	0.50	DHRS3^ENSG00000162496.7,RP11-474O21.5^ENSG00000272482.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~1993~-~chr2~43718279~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~1997~+~chr2~43718164~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	HPV18~234~+~chr22~29528347~+	30.61	21.75	0.49	1.00	THOC5^ENSG00000100296.12,CTA-256D12.11^ENSG00000234208.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~3433~-~chr2~43774816~+	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~235~+~chr1~12616254~+	34.12	33.92	0.01	0.50	DHRS3^ENSG00000162496.7,RP11-474O21.5^ENSG00000272482.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~1993~-~chr1~154295134~+	0.00	0.49	-5.64	0.55	SNORD59^ENSG00000252682.1,RNU6-239P^ENSG00000212292.1,RNU6-121P^ENSG00000222457.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~1993~-~chr1~94332269~+	24.70	8.01	1.62	0.97	RP11-148B18.4^ENSG00000236098.1,RP11-148B18.3^ENSG00000226835.1
