contig	virus	sample_name	contig_counts	total	total_rpm	mapped	mapped_rpm	frac_covered	max_total_rpm	max_mapped_rpm	f_total	f_mapped	CONTAM
chr11~12876146~+~HPV33~895~-	HPV33	HNSC-BA-6869-TP	3	18	0.235236775223734	58	0.757985164609809	0.065	133.646907213072	676.95037627924	0.00176013631837135	0.00111970565520026	TRUE
chr11~12876146~+~HPV33~895~-	HPV33	HNSC-CR-6484-TP	3	7	0.0988903094560327	32	0.452069986084721	0.054	133.646907213072	676.95037627924	0.000739937133736831	0.000667803729675812	TRUE
chr2~9759300~+~HPV16~881~-	HPV16	LGG-VV-A829-TP	3	13	0.199572625967709	168	2.57909239712116	0.217	47.7514753953399	495.206284181837	0.00417940229732012	0.00520811726245003	TRUE
chr2~9759300~+~HPV16~881~-	HPV16	CESC-VS-A8QH-TP	3	11	0.187162786892691	70	1.19103591658985	0.13	47.7514753953399	495.206284181837	0.00391951840949728	0.00240513086088485	TRUE
HPV51~1610~+~chr19~12790871~+	HPV51	KIRC-T7-A92I-TP	3	8	0.0943867581419079	180	2.12370205819293	0.181	83.0747017361316	1519.72164173127	0.0011361672828114	0.00139742831836862	TRUE
HPV51~1610~+~chr19~12790871~+	HPV51	CESC-VS-A8QA-TP	3	5	0.0830923143813668	64	1.0635816240815	0.146	83.0747017361316	1519.72164173127	0.00100021200973181	0.000699852917057801	TRUE
chr1~171203989~+~HPV16~881~-	HPV16	BRCA-LL-A8F5-TP	2	5	0.070638278442305	66	0.932425275438426	0.082	52.3810386860568	364.559820577792	0.00134854673015692	0.00255767427677746	TRUE
chr13~73413637~+~HPV45~930~-	HPV45	UCEC-PG-A914-TP	2	3	0.0410267457321347	32	0.43761862114277	0.102	63.8843051783939	561.270549360729	0.000642203834221402	0.000779692826643416	TRUE
chr16~88696794~+~HPV16~881~-	HPV16	LUSC-98-A538-TP	2	37	0.515728916545402	288	4.01432237743448	0.369	156.614811991131	1231.29509092067	0.00329297663476816	0.00326024395535669	TRUE
chr3~177423782~+~HPV30~906~-	HPV30	LUSC-98-A53D-TP	2	114	1.77539098781633	844	13.1441227519034	0.127	76.6698329579286	389.949878885359	0.0231563174109242	0.0337072107560973	TRUE
chr5~72419408~+~NC_003977_3182nt_Hepatitis_B_virus~1677~-	NC_003977_3182nt_Hepatitis_B_virus	LIHC-DD-AACB-TP	2	3	0.0777269489591999	114	2.9536240604496	0.481	13.876998306555	1581.69069663748	0.0056011355800544	0.00186738410153687	TRUE
HPV35~884~+~chr1~151347631~+	HPV35	CESC-VS-A9UO-TP	2	6	0.0622744639471228	44	0.456679402278901	0.127	129.804226040382	1157.50471571801	0.000479756829548441	0.000394537833045128	TRUE
HPV35~884~+~chr4~142660782~+	HPV35	PAAD-H8-A6C1-TP	2	11	0.193481778299467	70	1.23124768008752	0.081	51.2265733203129	356.789801635544	0.00377698069104977	0.00345090491500433	TRUE
HPV45~930~+~chr2~145677362~+	HPV45	PAAD-US-A77E-TP	2	4	0.06053761274525	36	0.54483851470725	0.076	22.1088289151736	239.404333619313	0.00273816460281631	0.00227580890650718	TRUE
HPV73~863~+~chr1~209536147~+	HPV73	CESC-IR-A3LH-TP	2	3	0.0327708511668209	60	0.655417023336418	0.109	69.5032789606275	591.654047063483	0.000471500793299048	0.00110777070923356	TRUE
NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306848~+	NC_003977_3182nt_Hepatitis_B_virus	LGG-QH-A6CS-TP	2	25	0.432600825928418	846	14.6392119494177	0.533	68.1928397376906	1566.56217558591	0.00634378664376572	0.0093448011049689	TRUE
NC_003977_3182nt_Hepatitis_B_virus~1804~+~chr4~129752658~+	NC_003977_3182nt_Hepatitis_B_virus	UCEC-DI-A1BU-TP	2	5	0.122710308473346	584	14.3325640296868	0.526	22.8664251413764	1566.56217558591	0.00536639670235571	0.0091490553347021	TRUE
NC_003977_3182nt_Hepatitis_B_virus~1804~+~chr5~68115354~+	NC_003977_3182nt_Hepatitis_B_virus	LIHC-DD-AACJ-TP	2	7	0.0727237139876064	94	0.976575587833572	0.432	44.6750686965847	1048.89523603947	0.00162783664601653	0.000931051600082607	TRUE
