sample_id	contig	humanchr	human_coord	fusion_name	fusionBreakpointCoord	DistBetweenInsertionAndFusionBreakpoint	Annots
CESC-LP-A5U2-TP	chr8~127742375~+~HPV16~6411~+	chr8	127742375	PVT1::MYC	127740396	1979	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2899~+~chr8~127742408~+	chr8	127742408	PVT1::MYC	127740396	2012	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~869~+~chr8~127746262~+	chr8	127746262	PVT1::MYC	127740396	5866	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2930~+~chr8~127742383~+	chr8	127742383	PVT1::MYC	127740396	1987	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127744279~+~HPV16~1345~+	chr8	127744279	PVT1::MYC	127740396	3883	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127747435~+~HPV16~7177~+	chr8	127747435	PVT1::MYC	127740396	7039	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127728801~+~HPV16~2034~+	chr8	127728801	PVT1::MYC	127736441	7640	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127749365~+~HPV16~7085~+	chr8	127749365	PVT1::MYC	127740396	8969	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127776352~+~HPV16~339~+	chr8	127776352	PVT1::MYC	127794734	18382	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2065~+~chr8~127739078~+	chr8	127739078	PVT1::MYC	127738292	786	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-VS-A9V5-TP	HPV16~3347~-~chr17~39737484~+	chr17	39737484	GRB7::ERBB2	39738133	649	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39730264~+~HPV16~932~-	chr17	39730264	GRB7::ERBB2	39730023	241	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	NA
CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-	chr17	39716747	ERBB2::PGAP3	39710481	6266	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-	chr17	39716747	ERBB2::PGAP3	39710481	6266	NA
CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-	chr17	39712449	ERBB2::PGAP3	39710481	1968	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-	chr17	39712449	ERBB2::PGAP3	39710481	1968	NA
CESC-VS-A9V5-TP	HPV16~3357~-~chr17~39738023~+	chr17	39738023	GRB7::ERBB2	39738133	110	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
