sample_name	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split_Reads	Uniquely_Mapped_Reads	Multiply_Mapped_Reads	Rank1_Hits
rep1.HPV16	chr11~5778326~HPV16~599	chr11	5778326	+	HPV16	599	+	215	215	5	205	18
rep1.HPV16	chr11~19829869~HPV16~6283	chr11	19829869	+	HPV16	6283	+	236	236	6	245	0
rep1.HPV16	chr13~43062889~HPV16~6185	chr13	43062889	+	HPV16	6185	+	209	209	4	141	79
rep1.HPV16	chrX~3166684~HPV16~4865	chrX	3166684	+	HPV16	4865	+	216	216	2	165	54
rep1.HPV16	chr7~23918645~HPV16~6593	chr7	23918645	+	HPV16	6593	+	216	216	2	219	0
rep1.HPV16	chr15~76817255~HPV16~4933	chr15	76817255	+	HPV16	4933	+	231	231	4	128	108
rep1.HPV16	chr15~84973325~HPV16~4173	chr15	84973325	+	HPV16	4173	+	206	206	0	207	0
rep1.HPV16	chr15~93803880~HPV16~2046	chr15	93803880	+	HPV16	2046	+	230	230	5	237	0
rep1.HPV16	chr1~45399843~HPV16~6961	chr1	45399843	+	HPV16	6961	-	216	216	2	54	165
rep1.HPV16	chr1~225551032~HPV16~7713	chr1	225551032	+	HPV16	7713	-	187	187	8	195	0
rep1.HPV16	chr5~61864714~HPV16~1217	chr5	61864714	+	HPV16	1217	+	236	236	6	180	65
rep1.HPV16	chr5~88059943~HPV16~4700	chr5	88059943	+	HPV16	4700	+	218	218	4	158	66
rep1.HPV16	chr3~49418675~HPV16~0	chr3	49418675	+	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr18~10602539~HPV16~3630	chr18	10602539	+	HPV16	3630	+	211	211	5	15	204
rep1.HPV16	chr12~21449780~HPV16~3162	chr12	21449780	+	HPV16	3162	-	216	216	2	141	78
rep1.HPV16	chr12~127022356~HPV16~2103	chr12	127022356	+	HPV16	2103	-	214	214	5	199	23
rep1.HPV16	chr12~127727011~HPV16~1287	chr12	127727011	+	HPV16	1287	-	216	216	2	224	0
