sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV68,HPV68,left,7,764,chr20,50687127,50687153,-,26,1
reads-HPV68,HPV68,right,6,1008,chr14,94592465,94592439,-,26,1
reads-HPV68,HPV68,right,6,1365,chr10,72868099,72868068,-,30,1
reads-HPV68,HPV68,left,6,1493,chr2,42716666,42716640,+,26,1
reads-HPV68,HPV68,right,9,2695,chr22,44760855,44760884,+,39,5
reads-HPV68,HPV68,right,0,2694,chr7,101925180,101925211,+,31,1
reads-HPV68,HPV68,right,0,2694,chr19,16712550,16712581,+,30,1
reads-HPV68,HPV68,right,0,2694,chr12,75982838,75982869,+,30,1
reads-HPV68,HPV68,right,0,2694,chr18,37164691,37164660,-,30,1
reads-HPV68,HPV68,right,0,2694,chr16,48604493,48604462,-,29,1
reads-HPV68,HPV68,right,0,2694,chr12,121472068,121472037,-,30,1
reads-HPV68,HPV68,right,0,2694,chr17,2922950,2922987,+,36,1
reads-HPV68,HPV68,right,0,2694,chr10,124956540,124956580,+,39,1
reads-HPV68,HPV68,right,6,3020,chr4,90119400,90119426,+,26,1
reads-HPV68,HPV68,right,7,3925,chr20,19431522,19431496,-,26,1
reads-HPV68,HPV68,left,9,4450,chr6,146265560,146265600,-,42,4
reads-HPV68,HPV68,left,0,4450,chr1,214794924,214794966,-,38,1
reads-HPV68,HPV68,left,3,6189,chr3,82891373,82891334,+,38,2
reads-HPV68,HPV68,left,9,6189,chr13,103129196,103129232,-,42,4
reads-HPV68,HPV68,right,6,7160,chr11,60938971,60938936,-,34,1
