multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV16|0,reads_R-HPV16,HPV16,left,10,6083,chr9,65396450,65396480,-,42,10
reads_R-HPV16|1,reads_R-HPV16,HPV16,left,10,4594,chr19,24610352,24610380,-,38,9
reads_R-HPV16|2,reads_R-HPV16,HPV16,left,10,2252,chr3,150449719,150449686,+,43,8
reads_R-HPV16|3,reads_R-HPV16,HPV16,left,10,2631,chr12,97286504,97286536,-,39,8
reads_R-HPV16|4,reads_R-HPV16,HPV16,left,10,1232,chr8,91172382,91172353,+,39,7
reads_R-HPV16|5,reads_R-HPV16,HPV16,right,10,5034,chr19,47546005,47545978,-,38,7
reads_R-HPV16|6,reads_R-HPV16,HPV16,right,10,7008,chr10,126299246,126299275,+,39,7
reads_R-HPV16|7,reads_R-HPV16,HPV16,right,10,1490,chr10,11565148,11565117,-,40,6
reads_R-HPV16|8,reads_R-HPV16,HPV16,left,10,1744,chr6,83913119,83913088,+,40,6
reads_R-HPV16|9,reads_R-HPV16,HPV16,right,10,5233,chr15,54444780,54444812,+,39,6
reads_R-HPV16|10,reads_R-HPV16,HPV16,right,10,5649,chr6,9454280,9454249,-,40,6
reads_R-HPV16|11,reads_R-HPV16,HPV16,right,10,5763,chr3,47130979,47131010,+,39,6
reads_R-HPV16|12,reads_R-HPV16,HPV16,right,10,6616,chr19,23589128,23589097,-,39,6
reads_R-HPV16|13,reads_R-HPV16,HPV16,left,10,771,chr12,60523495,60523528,-,39,4
reads_R-HPV16|14,reads_R-HPV16,HPV16,right,10,2885,chr7,51560318,51560284,-,40,4
reads_R-HPV16|15,reads_R-HPV16,HPV16,left,10,3583,chr4,144565030,144565064,-,42,4
reads_R-HPV16|16,reads_R-HPV16,HPV16,right,10,6134,chrX,154667120,154667092,-,31,4
reads_R-HPV16|17,reads_R-HPV16,HPV16,left,10,6688,chr8,101219101,101219066,+,40,4
reads_R-HPV16|18,reads_R-HPV16,HPV16,right,10,6891,chr7,37928610,37928644,+,40,4
reads_R-HPV16|19,reads_R-HPV16,HPV16,right,10,1370,chr6,124834146,124834115,-,40,3
reads_R-HPV16|20,reads_R-HPV16,HPV16,left,10,1605,chr6,144794603,144794572,+,40,3
reads_R-HPV16|21,reads_R-HPV16,HPV16,left,10,2935,chr22,50348618,50348661,-,43,3
reads_R-HPV16|22,reads_R-HPV16,HPV16,right,10,2986,chr16,85307248,85307284,+,42,3
reads_R-HPV16|23,reads_R-HPV16,HPV16,right,10,3122,chr21,38068867,38068910,+,43,3
reads_R-HPV16|24,reads_R-HPV16,HPV16,left,10,3482,chr2,81054851,81054808,+,43,3
reads_R-HPV16|25,reads_R-HPV16,HPV16,left,10,3712,chr7,72658308,72658270,+,39,3
