sample_name	chr	minpos	maxpos	reads	forward	reverse	Min	Max	Split1	Split2
rep1.HPV16	chr1	45399300	45399843	90	90	0	45399542	45399842	45399842	-1
rep1.HPV16	chr1	75904281	75904824	212	0	212	75904281	75904581	-1	75904281
rep1.HPV16	chr1	225550467	225551032	204	204	0	225550732	225551032	225551031	-1
rep1.HPV16	chr11	5777761	5778326	204	204	0	5778026	5778326	5778325	-1
rep1.HPV16	chr11	19829334	19829869	227	227	0	19829569	19829869	19829868	-1
rep1.HPV16	chr11	69416857	69417371	225	0	225	69416857	69417157	-1	69416857
rep1.HPV16	chr12	21449237	21449780	200	200	0	21449479	21449779	21449779	-1
rep1.HPV16	chr12	127021791	127022356	204	204	0	127022056	127022356	127022355	-1
rep1.HPV16	chr12	127726444	127727011	206	206	0	127726710	127727010	127727010	-1
rep1.HPV16	chr13	43062324	43062766	137	137	0	43062465	43062765	-1	-1
rep1.HPV16	chr14	25080586	25081122	225	0	225	25080586	25080886	-1	25080587
rep1.HPV16	chr14	28398570	28399113	211	0	211	28398570	28398870	-1	28398570
rep1.HPV16	chr14	63426495	63427032	225	0	225	63426495	63426795	-1	63426497
rep1.HPV16	chr15	76816798	76817255	173	173	0	76816955	76817255	76817254	-1
rep1.HPV16	chr15	84972790	84973325	225	225	0	84973026	84973326	84973324	-1
rep1.HPV16	chr15	93803367	93803880	224	224	0	93803580	93803880	93803879	-1
rep1.HPV16	chr16	48384491	48385004	224	224	0	48384704	48385004	48385003	-1
rep1.HPV16	chr16	70933187	70933717	70	0	70	70933187	70933487	-1	-1
rep1.HPV16	chr17	4179422	4179936	224	0	224	4179422	4179722	-1	4179422
rep1.HPV16	chr17	6633467	6633986	224	0	224	6633467	6633767	-1	6633473
rep1.HPV16	chr17	13167122	13167688	202	0	202	13167122	13167422	-1	13167123
rep1.HPV16	chr17	19936866	19937316	211	0	211	19936866	19937166	-1	19936867
rep1.HPV16	chr17	38613605	38614172	206	0	206	38613605	38613905	-1	38613605
rep1.HPV16	chr18	9830374	9830911	226	0	226	9830374	9830674	-1	9830375
