chrom	lend	rend	gene	strand
chrY	26586642	26591601	SLC25A15P1	-
chrY	26594851	26634652	PARP4P1	-
chrY	26626520	26627159	FAM58CP	-
chrY	56855244	56855488	CTBP2P1	+
chrY	56954332	56968979	SPRY3	+
chrY	57015105	57016096	AMDP1	-
chrY	57062156	57062405	DPH3P2	+
chrY	57067813	57130289	VAMP7	+
chrY	57165512	57165845	TCEB1P24	-
chrY	57171890	57172769	TRPC6P	-
chrY	57184101	57197337	IL9R	+
chrY	57201143	57203357	WASIR1	-
chrY	57207346	57212230	WASH6P	+
chrY	57209151	57209218	AJ271736.1	+
chrY	57212184	57214397	DDX11L16	-
