sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
CESC-C5-A1BN-TP	chr18~63706596~+~HPV45~3193~-	chr18	63706596	HPV45	3193	130	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63704108~+~HPV45~930~-	chr18	63704108	HPV45	930	167	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63697881~+~HPV45~231~-	chr18	63697881	HPV45	231	105	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63697881~+~HPV45~930~-	chr18	63697881	HPV45	930	704	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63686427~+~HPV45~930~-	chr18	63686427	HPV45	930	1646	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63686427~+~HPV45~231~-	chr18	63686427	HPV45	231	386	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-C5-A1BN-TP	chr18~63685925~+~HPV45~931~-	chr18	63685925	HPV45	931	14	chr18:63661245	3	RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
HNSC-CQ-5323-TP	HPV16~881~+~chr18~63655356~+	chr18	63655356	HPV16	881	410	chr18:63661245	3	ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
HNSC-CQ-5323-TP	HPV16~881~+~chr18~63636199~+	chr18	63636199	HPV16	881	210	chr18:63661245	3	RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13	SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7
HNSC-CQ-5323-TP	HPV16~1093~+~chr18~63649920~+	chr18	63649920	HPV16	1093	13	chr18:63661245	3	ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
CESC-LP-A5U2-TP	chr18~63323093~+~HPV16~2497~-	chr18	63323093	HPV16	2497	192	chr18:63661245	3	RPIAP1;PIGN;RP11-173A16.2;KIAA1468;RP11-173A16.1;Y_RNA;TNFRSF11A;RP11-640A1.3;RPL17P44;RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2	KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1
CESC-LP-A5U2-TP	chr18~63318955~+~HPV16~215~-	chr18	63318955	HPV16	215	43	chr18:63661245	3	RNF152;RPIAP1;PIGN;RP11-173A16.2;KIAA1468;RP11-173A16.1;Y_RNA;TNFRSF11A;RP11-640A1.3;RPL17P44;RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;RP11-28F1.2;BCL2	KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1
CESC-LP-A5U2-TP	HPV16~227~+~chr18~63236502~+	chr18	63236502	HPV16	227	27	chr18:63661245	3	LINC01544;RNF152;RPIAP1;PIGN;RP11-173A16.2;KIAA1468;RP11-173A16.1;Y_RNA;TNFRSF11A;RP11-640A1.3;RPL17P44;RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2	RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305
CESC-LP-A5U2-TP	HPV16~881~+~chr18~63236502~+	chr18	63236502	HPV16	881	208	chr18:63661245	3	LINC01544;RNF152;RPIAP1;PIGN;RP11-173A16.2;KIAA1468;RP11-173A16.1;Y_RNA;TNFRSF11A;RP11-640A1.3;RPL17P44;RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2	RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305
CESC-LP-A5U2-TP	HPV16~2089~+~chr18~63235900~+	chr18	63235900	HPV16	2089	12	chr18:63661245	3	LINC01544;RNF152;RPIAP1;PIGN;RP11-173A16.2;KIAA1468;RP11-173A16.1;Y_RNA;TNFRSF11A;RP11-640A1.3;RPL17P44;RP11-640A1.4;ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2	RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11;SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305
CESC-C5-A1BN-TP	chr18~63661245~+~HPV45~213~-	chr18	63661245	HPV45	213	33	chr18:63661245	3	ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
HNSC-CQ-5323-TP	HPV16~881~+~chr18~63654137~+	chr18	63654137	HPV16	881	210	chr18:63661245	3	ACTBP9;RP11-120K19.4;RP11-120K19.3;ZCCHC2;RN7SL705P;RNU6-142P;PHLPP1;RP11-299P2.1;BCL2;RP11-28F1.2;KDSR;RP11-635N19.1;VPS4B;RP11-635N19.2;RP11-635N19.3;SERPINB5;ATP5G1P6;SERPINB12;SERPINB13;SERPINB4;SERPINB3;SERPINB11	SERPINB7;SERPINB2;SERPINB10;HMSD;SERPINB8;RPL12P39;LINC00305;AC100848.1;LINC01538;RP11-146N18.1;RP11-762J3.1;AC027506.1;AC007948.1;AC007631.1;RP11-453M23.1;RP11-775G23.1;CDH7;RP11-389J22.1;RP11-389J22.3;PRPF19P1
