Chromosome	hotspot_coord	hotspot	hotspot_sample_counts	proj_label	viruses	insert_genes	insert_gene_count
chr21	8421126	chr21:8421126	127	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC,TCGA^LIHC,TCGA^STAD	HPV11,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_007815_8197nt_PreXMRV_1,HPV58,HPV33,HPV18,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1,Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_009333_137969nt_Human_gammaherpesvirus_8,HBV,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,NC_001362_8323nt_Friend_murine_leukemia_virus,HPV59,HPV31	CH507-528H12.1	98
chr21	8226118	chr21:8226118	114	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC,TCGA^LIHC,TCGA^STAD	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16,NC_001362_8323nt_Friend_murine_leukemia_virus,HPV58,HPV33,HPV11,HBV,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_007815_8197nt_PreXMRV_1,NC_006430_15246nt_Mammalian_orthorubulavirus_5,HPV18,HPV31,HPV59,NC_009333_137969nt_Human_gammaherpesvirus_8,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1,NC_000858_9028nt_Simian_T_lymphotropic_virus_1	CH507-513H4.1	92
chr7	5528596	chr7:5528596	53	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,TCGA^CESC	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,HPV16,HPV73,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	ACTB	51
chr1	143219736	chr1:143219736	48	GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV33,HPV16,HPV11,HPV58,HPV18,HPV31,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV59	RP11-344P13.1~CH17-333M13.2	48
chr12	6536156	chr12:6536156	45	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_007815_8197nt_PreXMRV_1,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,NC_009333_137969nt_Human_gammaherpesvirus_8,HPV33,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	GAPDH;RP5-940J5.9	21
chr14	105843042	chr14:105843042	45	CCLE,GTEx	Eppstein-Barr	IGH-@-ext;IGH@-ext	45
chr5	1287790	chr5:1287790	40	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC,TCGA^LGG,TCGA^LIHC,TCGA^UCEC	HBV,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1,HPV33,HPV11,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1	TERT~MIR4457	20
chr14	105732191	chr14:105732191	39	GTEx,GTEx,NATGEN2015,TCGA^HNSC,TCGA^LIHC	Eppstein-Barr,HBV,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16,HPV11,HPV33	IGH-@-ext;IGH@-ext	39
chr12	124913417	chr12:124913417	37	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_007815_8197nt_PreXMRV_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV73,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	UBC	35
chr12	128811036	chr12:128811036	37	GTEx,NATGEN2015	Eppstein-Barr,HPV16	SLC15A4;RP11-21K12.2	34
