chrom	lend	rend	sample_name	CN	copy_number
chrY	2782397	11680222	BLCA-FJ-A3ZF-TP	-0.1009999999999999	1.864772972873665
chrY	2782397	11680222	LUSC-77-8009-TP	-1.2778	0.8248478888821484
chrY	2782397	11680222	LUSC-22-5479-TP	-0.6486	1.2757980689799846
chrY	2782397	11680222	LUSC-60-2724-TP	-0.8181	1.1343768531990683
chrY	2782397	11680222	PAAD-FZ-5924-TP	-0.8695	1.0946730202847874
chrY	2782397	11751058	LIHC-2Y-A9GX-TP	-0.8522	1.1078787526120053
chrY	2782397	11764908	LUSC-21-1079-TP	-0.7727	1.1706420443363548
chrY	2782397	11772576	LGG-DU-A76O-TP	-0.8894	1.0796771682562782
chrY	2782397	11773114	LUSC-37-A5EN-TP	-0.5277	1.3873194241032891
chrY	2782397	11781185	LUSC-77-7141-TP	-0.7304	1.2054735531147733
chrY	2782397	11797891	LUSC-85-6798-TP	-0.7138	1.2194241304389088
chrY	2782397	11799149	HNSC-DQ-7588-TP	-0.9711	1.0202339395696565
chrY	2782397	11873625	LUSC-34-5231-TP	-1.2095	0.8648369090072388
chrY	2782397	11880526	BLCA-CU-A0YO-TP	-0.9582	1.0293973687652316
chrY	2782397	11884496	HNSC-CV-A460-TP	-0.8071	1.1430591018486758
chrY	2782397	11910255	HNSC-CR-7401-TP	-0.8937	1.0764639458965664
chrY	2782397	11914084	LUSC-21-1077-TP	-1.112	0.9253044280378522
chrY	2782397	11941156	LIHC-CC-A3MA-TP	-0.7554	1.1847642390027322
chrY	2782397	12013509	KIRC-BP-5180-TP	-1.0483	0.9670752110671615
chrY	2782397	12037115	BLCA-BL-A3JM-TP	-0.0684	1.9073901869233136
chrY	2782397	12073789	BLCA-GU-A42Q-TP	-1.8105	0.5701842128971304
chrY	2782397	12073789	HNSC-BB-4227-TP	-2.0443	0.4848801167011054
chrY	2782397	12073789	HNSC-CV-7261-TP	-1.8773	0.5443852941578822
chrY	2782397	12073789	KIRC-B0-5083-TP	-1.4829	0.7155378555973034
chrY	2782397	12128982	HNSC-CQ-A4C6-TP	-0.9704	1.0207290802769342
chrY	2782397	12183666	SARC-DX-AB35-TP	-0.4952	1.418926637565551
chrY	2782397	12199352	SARC-DX-AB32-TP	-0.8277	1.1268535267394493
chrY	2782397	12311886	KIRC-B8-5550-TP	-1.5793	0.6692884393995184
chrY	2782397	12311886	SARC-DX-A6B7-TP	-0.8842	1.0835757409382034
chrY	2782397	12330798	HNSC-CV-A45R-TP	-0.813	1.1383940290748777
chrY	2782397	12370379	HNSC-QK-A6IF-TP	-0.8590000000000001	1.102669163068913
chrY	2782397	12370379	LIHC-ZS-A9CF-02A	-0.4096	1.5056641482880475
chrY	2782397	12370379	PAAD-HZ-8001-TP	-1.1924	0.8751486533250812
chrY	2782397	12379790	BLCA-DK-A3X2-TP	-0.5645	1.3523794508198514
chrY	2782397	12379790	PAAD-F2-7276-TP	-0.8734	1.0917178153299794
chrY	2782397	12380894	BLCA-GC-A3OO-TP	-1.0196	0.986506184171339
chrY	2782397	12380894	LIHC-2Y-A9HA-TP	-1.0165	0.9886282245671552
chrY	2782397	12399913	LIHC-DD-A1ED-TP	-0.8604	1.1015996452560617
chrY	2782397	12422796	LUSC-85-8355-TP	-0.8306	1.1245906833021395
chrY	2782397	12433855	LUSC-85-8664-TP	-0.6882	1.2412554050613884
chrY	2782397	12486106	KIRC-CZ-4861-TP	-0.8332	1.1225657906237547
chrY	2782397	12500194	KIRC-CZ-5464-TP	-1.7251	0.6049551108634041
chrY	2782397	12517544	KIRC-EU-5906-TP	-1.5185	0.6980972822220227
