hotspot	Chromosome	hotspot_coord	virus_genome	hotspot_virus_tally	insert_genes	insert_gene_count	hotspot_name
chr10:100245862	chr10	100245862	Eppstein-Barr	1	BLOC1S2	1	chr10:100245862^BLOC1S2
chr10:100245862	chr10	100245862	HPV58	1	BLOC1S2	1	chr10:100245862^BLOC1S2
chr10:100245862	chr10	100245862	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	BLOC1S2	1	chr10:100245862^BLOC1S2
chr10:100349583	chr10	100349583	Eppstein-Barr	1	SCD	4	chr10:100349583^SCD
chr10:100349583	chr10	100349583	HPV33	1	SCD	4	chr10:100349583^SCD
chr10:100349583	chr10	100349583	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	SCD	4	chr10:100349583^SCD
chr10:100349583	chr10	100349583	NC_001702_8135nt_Murine_type_C_retrovirus	1	SCD	4	chr10:100349583^SCD
chr10:100349583	chr10	100349583	NC_007815_8197nt_PreXMRV_1	2	SCD	4	chr10:100349583^SCD
chr10:100523767	chr10	100523767	Eppstein-Barr	3	NDUFB8	2	chr10:100523767^NDUFB8
chr10:100523767	chr10	100523767	HPV16	1	NDUFB8	2	chr10:100523767^NDUFB8
chr10:100523767	chr10	100523767	HPV58	1	NDUFB8	2	chr10:100523767^NDUFB8
chr10:100797418	chr10	100797418	HPV16	5	PAX2	4	chr10:100797418^PAX2
chr10:100797418	chr10	100797418	HPV33	1	PAX2	4	chr10:100797418^PAX2
chr10:101123707	chr10	101123707	HPV16	2	TLX1NB	2	chr10:101123707^TLX1NB
chr10:101123707	chr10	101123707	HPV33	1	TLX1NB	2	chr10:101123707^TLX1NB
chr10:101553931	chr10	101553931	Eppstein-Barr	1	DPCD	2	chr10:101553931^DPCD
chr10:101553931	chr10	101553931	HPV16	2	DPCD	2	chr10:101553931^DPCD
chr10:101553931	chr10	101553931	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	DPCD	2	chr10:101553931^DPCD
chr10:101789269	chr10	101789269	Eppstein-Barr	2	MGEA5	2	chr10:101789269^MGEA5
chr10:101789269	chr10	101789269	HPV33	1	MGEA5	2	chr10:101789269^MGEA5
chr10:102111059	chr10	102111059	Eppstein-Barr	1	NOLC1	2	chr10:102111059^NOLC1
chr10:102111059	chr10	102111059	HPV16	1	NOLC1	2	chr10:102111059^NOLC1
chr10:102111059	chr10	102111059	HPV33	1	NOLC1	2	chr10:102111059^NOLC1
chr10:102111059	chr10	102111059	HPV58	1	NOLC1	2	chr10:102111059^NOLC1
chr10:102111059	chr10	102111059	NC_001702_8135nt_Murine_type_C_retrovirus	1	NOLC1	2	chr10:102111059^NOLC1
chr10:102436084	chr10	102436084	Eppstein-Barr	1	ACTR1A	2	chr10:102436084^ACTR1A
chr10:102436084	chr10	102436084	HPV16	4	ACTR1A	2	chr10:102436084^ACTR1A
chr10:102436084	chr10	102436084	HPV33	1	ACTR1A	2	chr10:102436084^ACTR1A
chr10:102436084	chr10	102436084	NC_009333_137969nt_Human_gammaherpesvirus_8	1	ACTR1A	2	chr10:102436084^ACTR1A
chr10:103077259	chr10	103077259	HPV16	2	NT5C2	2	chr10:103077259^NT5C2
chr10:103077259	chr10	103077259	HPV33	1	NT5C2	2	chr10:103077259^NT5C2
chr10:103431558	chr10	103431558	Eppstein-Barr	1	NEURL1-AS1;NEURL1	1	chr10:103431558^NEURL1-AS1;NEURL1
chr10:103431558	chr10	103431558	HPV16	2	NEURL1-AS1;NEURL1	1	chr10:103431558^NEURL1-AS1;NEURL1
chr10:103431558	chr10	103431558	HPV33	1	NEURL1-AS1;NEURL1	1	chr10:103431558^NEURL1-AS1;NEURL1
chr10:104068233	chr10	104068233	HPV16	1	COL17A1	1	chr10:104068233^COL17A1
chr10:104068233	chr10	104068233	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	COL17A1	1	chr10:104068233^COL17A1
chr10:104068233	chr10	104068233	NC_001702_8135nt_Murine_type_C_retrovirus	1	COL17A1	1	chr10:104068233^COL17A1
chr10:10519532	chr10	10519532	HPV16	4	RP11-271F18.4~RP1-186E20.1	4	chr10:10519532^RP11-271F18.4~RP1-186E20.1
chr10:10695554	chr10	10695554	HPV16	3	RP11-271F18.4~RP1-186E20.1	2	chr10:10695554^RP11-271F18.4~RP1-186E20.1
chr10:107821656	chr10	107821656	HPV16	3	LINC01435	3	chr10:107821656^LINC01435
chr10:108527325	chr10	108527325	HPV16	1	PTGES3P5~RP11-163F15.1	2	chr10:108527325^PTGES3P5~RP11-163F15.1
chr10:108527325	chr10	108527325	HPV18	1	PTGES3P5~RP11-163F15.1	2	chr10:108527325^PTGES3P5~RP11-163F15.1
chr10:108527325	chr10	108527325	HPV33	1	PTGES3P5~RP11-163F15.1	2	chr10:108527325^PTGES3P5~RP11-163F15.1
chr10:109442173	chr10	109442173	HPV16	2	RNU6-839P~PHB2P1	3	chr10:109442173^RNU6-839P~PHB2P1
chr10:109442173	chr10	109442173	HPV58	1	RNU6-839P~PHB2P1	3	chr10:109442173^RNU6-839P~PHB2P1
chr10:110208223	chr10	110208223	Eppstein-Barr	1	SNRPGP12~RP11-549L6.3	2	chr10:110208223^SNRPGP12~RP11-549L6.3
chr10:110208223	chr10	110208223	HPV16	3	SNRPGP12~RP11-549L6.3	2	chr10:110208223^SNRPGP12~RP11-549L6.3
chr10:110916121	chr10	110916121	Eppstein-Barr	1	BBIP1	1	chr10:110916121^BBIP1
chr10:110916121	chr10	110916121	HPV11	1	BBIP1	1	chr10:110916121^BBIP1
chr10:110916121	chr10	110916121	HPV16	1	BBIP1	1	chr10:110916121^BBIP1
chr10:11212110	chr10	11212110	Eppstein-Barr	1	CELF2	3	chr10:11212110^CELF2
chr10:11212110	chr10	11212110	HPV16	2	CELF2	3	chr10:11212110^CELF2
chr10:112382970	chr10	112382970	HPV16	3	ACSL5	1	chr10:112382970^ACSL5
chr10:112382970	chr10	112382970	HPV18	1	ACSL5	1	chr10:112382970^ACSL5
chr10:113411197	chr10	113411197	HPV16	2	RNU7-165P~RP11-481H12.1	3	chr10:113411197^RNU7-165P~RP11-481H12.1
chr10:113411197	chr10	113411197	HPV18	1	RNU7-165P~RP11-481H12.1	3	chr10:113411197^RNU7-165P~RP11-481H12.1
chr10:113411197	chr10	113411197	HPV33	1	RNU7-165P~RP11-481H12.1	3	chr10:113411197^RNU7-165P~RP11-481H12.1
chr10:114760732	chr10	114760732	HPV11	1	PPIAP19~RP11-106M7.1	2	chr10:114760732^PPIAP19~RP11-106M7.1
chr10:114760732	chr10	114760732	HPV16	1	PPIAP19~RP11-106M7.1	2	chr10:114760732^PPIAP19~RP11-106M7.1
chr10:114760732	chr10	114760732	HPV58	1	PPIAP19~RP11-106M7.1	2	chr10:114760732^PPIAP19~RP11-106M7.1
chr10:11577833	chr10	11577833	Eppstein-Barr	1	USP6NL	2	chr10:11577833^USP6NL
chr10:11577833	chr10	11577833	HPV11	1	USP6NL	2	chr10:11577833^USP6NL
chr10:11577833	chr10	11577833	HPV16	1	USP6NL	2	chr10:11577833^USP6NL
