sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV97,HPV97,right,10,1543,chr20,61147116,61147082,-,40,7
reads_R-HPV97,HPV97,left,0,2518,chr18,20938182,20938157,+,25,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14427026,14427052,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14429402,14429428,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14437222,14437248,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14439598,14439624,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14443339,14443365,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14447585,14447611,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14452501,14452527,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14454370,14454396,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14464557,14464583,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14466428,14466454,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14474238,14474264,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14477801,14477827,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14479671,14479697,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14483410,14483436,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14505511,14505537,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr22,14506193,14506219,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12288516,12288542,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12290892,12290918,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12298712,12298738,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12301088,12301114,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12304829,12304855,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12309075,12309101,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12313991,12314017,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12315860,12315886,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12326047,12326073,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12327918,12327944,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12335728,12335754,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12339291,12339317,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12341161,12341187,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12344900,12344926,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12367001,12367027,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr21,12367683,12367709,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17556427,17556453,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17558803,17558829,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17571706,17571732,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17573575,17573601,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17583762,17583788,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17597006,17597032,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17598876,17598902,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17602615,17602641,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17614681,17614707,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17637640,17637666,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17646824,17646850,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17653963,17653989,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17655834,17655860,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17657704,17657730,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17659573,17659599,-,26,1
reads_R-HPV97,HPV97,left,1,2518,chr14,17677426,17677452,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17451300,17451326,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17469305,17469331,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17480340,17480366,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17485101,17485127,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17492406,17492432,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17524549,17524575,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17529816,17529842,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17531688,17531714,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17537298,17537324,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17539848,17539874,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17555151,17555177,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17557021,17557047,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17598149,17598175,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17600020,17600046,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17604255,17604281,-,26,1
reads_R-HPV97,HPV97,left,0,2518,chr13,17606125,17606151,-,26,1
reads_R-HPV97,HPV97,left,0,2529,chr22,14607317,14607352,-,33,1
reads_R-HPV97,HPV97,left,0,2529,chr21,12468807,12468842,-,33,1
reads_R-HPV97,HPV97,left,1,2529,chr20,26898656,26898694,-,35,1
reads_R-HPV97,HPV97,left,1,2529,chr14,17726522,17726557,-,33,1
reads_R-HPV97,HPV97,left,0,2529,chr13,17671386,17671423,-,35,1
reads_R-HPV97,HPV97,left,0,2529,chr13,17437198,17437235,-,34,1
reads_R-HPV97,HPV97,left,0,2529,chr13,17604247,17604282,-,33,1
reads_R-HPV97,HPV97,left,0,2529,chr13,17625485,17625520,-,33,1
reads_R-HPV97,HPV97,left,9,2562,chr15,88189783,88189814,-,31,3
reads_R-HPV97,HPV97,right,6,2726,chrY,20549580,20549611,+,30,1
reads_R-HPV97,HPV97,right,3,2841,chr7,62051713,62051679,-,36,3
reads_R-HPV97,HPV97,right,3,2841,chr7,61622873,61622839,-,36,3
reads_R-HPV97,HPV97,right,3,2841,chr7,61276663,61276629,-,36,3
reads_R-HPV97,HPV97,right,3,2841,KI270374.1,1710,1676,-,36,3
reads_R-HPV97,HPV97,right,6,3026,chr10,90222355,90222328,-,27,1
reads_R-HPV97,HPV97,right,10,3317,chr14,63965406,63965442,+,42,8
reads_R-HPV97,HPV97,left,9,3526,chr13,53092640,53092673,-,33,2
