group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	pred_insertion_name	pred_chr_pos	total_reads
subset.insertion_seqs.fa	chr1~8745731~8746730~+~HPV33~2672~3671~+	chr1	8746730	HPV33	chr1~8746198~8746761	8746728	204
subset.insertion_seqs.fa	chr1~26195757~26196756~-~HPV18~3161~4160~-	chr1	26195757	HPV18	chr1~26195755~26196323	0	211
subset.insertion_seqs.fa	chr1~29268143~29269142~+~HPV31~2891~3890~+	chr1	29269142	HPV31	chr1~29268632~29269177	29269141	186
subset.insertion_seqs.fa	chr1~32773244~32774243~-~HPV18~3492~4491~-	chr1	32773244	HPV18	chr1~32773241~32773781	32773244	198
subset.insertion_seqs.fa	chr1~49242805~49243804~-~HPV39~3258~4257~-	chr1	49242805	HPV39	chr1~49242804~49243349	49242804	198
subset.insertion_seqs.fa	chr1~52396362~52397361~-~HPV31~204~1203~+	chr1	52396362	HPV31	chr1~52396361~52396917	52396361	216
subset.insertion_seqs.fa	chr1~57512657~57513656~-~HPV45~6600~7599~-	chr1	57512657	HPV45	chr1~57512653~57513176	57512656	219
subset.insertion_seqs.fa	chr1~57689290~57690289~+~HPV31~1448~2447~-	chr1	57690289	HPV31	chr1~57689733~57690324	57690288	192
subset.insertion_seqs.fa	chr1~107166648~107167647~-~HPV18~4040~5039~-	chr1	107166648	HPV18	chr1~107166644~107167214	107166647	219
subset.insertion_seqs.fa	chr1~172609764~172610763~-~HPV45~3072~4071~+	chr1	172609764	HPV45	chr1~172609763~172610283	172609763	220
subset.insertion_seqs.fa	chr1~186818481~186819480~+~HPV39~4179~5178~-	chr1	186819480	HPV39	chr1~186818935~186819480	186819479	207
subset.insertion_seqs.fa	chr1~192164551~192165550~-~HPV31~6179~7178~+	chr1	192164551	HPV31	chr1~192164549~192165088	192164549	180
subset.insertion_seqs.fa	chr1~201420250~201421249~+~HPV16~6411~7410~-	chr1	201421249	HPV16	chr1~201420678~201421249	201421248	179
subset.insertion_seqs.fa	chr1~209671320~209672319~-~HPV35~1915~2914~+	chr1	209671320	HPV35	chr1~209671319~209671867	209671319	176
subset.insertion_seqs.fa	chr10~12758166~12759165~-~HPV33~6073~7072~-	chr10	12758166	HPV33	chr10~12758163~12758724	12758165	187
subset.insertion_seqs.fa	chr10~12758166~12759165~-~HPV33~6073~7072~-	chr10	12758166	HPV33	chr10~36919618~36920049	0	53
subset.insertion_seqs.fa	chr10~41901741~41902740~-~HPV45~3954~4953~+	chr10	41901741	HPV45	chr10~41901740~41902260	41901740	201
subset.insertion_seqs.fa	chr10~49149296~49150295~-~HPV35~5813~6812~-	chr10	49149296	HPV35	chr10~49149289~49149806	49149295	182
subset.insertion_seqs.fa	chr10~49806474~49807473~+~HPV16~5992~6991~-	chr10	49807473	HPV16	chr10~49806935~49807473	49807472	187
subset.insertion_seqs.fa	chr10~69362370~69363369~-~HPV31~6065~7064~+	chr10	69362370	HPV31	chr10~69362369~69362879	69362369	189
subset.insertion_seqs.fa	chr10~72867100~72868099~+~HPV39~494~1493~-	chr10	72868099	HPV39	chr10~72867533~72868099	72868098	122
subset.insertion_seqs.fa	chr10~79624942~79625941~+~HPV35~1234~2233~-	chr10	79625941	HPV35	chr10~79625448~79625974	79625940	187
