sample_name	chrA	coordA	orientA	chrB	coordB	orientB	Support_reads_pair_softclip	Confidence	total
rep1.HPV16	chr4	4376541	+	HPV16	1884	-	189+46	high	235
rep1.HPV16	chr4	24368507	+	HPV16	5500	+	177+41	high	218
rep1.HPV16	chr4	58456066	+	HPV16	6222	+	207+27	high	234
rep1.HPV16	chr16	48385003	+	HPV16	3807	-	208+29	high	237
rep1.HPV16	chrX	3166683	+	HPV16	4864	+	189+34	high	223
rep1.HPV16	chrX	94818482	+	HPV16	4476	-	188+34	high	222
rep1.HPV16	chr14	25080587	+	HPV16	4428	+	186+51	high	237
rep1.HPV16	chr14	28398570	+	HPV16	4602	+	188+35	high	223
rep1.HPV16	chr14	63426497	+	HPV16	4231	-	191+49	high	240
rep1.HPV16	chr9	113943091	+	HPV16	854	-	187+56	high	243
rep1.HPV16	chr19	13868921	+	HPV16	1124	-	187+55	high	242
rep1.HPV16	chr19	30473601	+	HPV16	1925	-	174+39	high	213
rep1.HPV16	chr19	48026297	+	HPV16	7119	-	208+30	high	238
rep1.HPV16	chr19	48030786	+	HPV16	5179	-	207+30	high	237
rep1.HPV16	chr19	36853821	+	HPV16	2152	-	207+30	high	237
rep1.HPV16	chr20	60918075	+	HPV16	1387	+	190+53	high	243
rep1.HPV16	chr17	4179422	+	HPV16	7811	+	208+29	high	237
rep1.HPV16	chr17	6633459	+	HPV16	5327	+	0+31	high	31
rep1.HPV16	chr17	13167123	+	HPV16	5751	-	177+41	high	218
rep1.HPV16	chr17	19936867	+	HPV16	3267	-	207+28	high	235
rep1.HPV16	chr17	38613605	+	HPV16	5560	+	188+42	high	230
rep1.HPV16	chr1	45399842	+	HPV16	6960	-	185+31	high	216
rep1.HPV16	chr1	225551031	+	HPV16	7711	-	177+38	high	215
rep1.HPV16	chr1	75904281	+	HPV16	1745	-	190+34	high	224
rep1.HPV16	chr11	5778328	+	HPV16	598	+	175+40	high	215
rep1.HPV16	chr3	100385150	-	HPV16	700	+	209+31	high	240
rep1.HPV16	chr12	127727010	-	HPV16	1286	+	187+39	high	226
rep1.HPV16	chr5	61864713	+	HPV16	1216	+	188+54	high	242
rep1.HPV16	chr11	69416857	-	HPV16	1458	+	208+31	high	239
rep1.HPV16	chr15	93803879	+	HPV16	2045	+	208+31	high	239
rep1.HPV16	chr12	127022355	-	HPV16	2102	+	175+40	high	215
rep1.HPV16	chr18	9830375	+	HPV16	2589	+	187+54	high	241
rep1.HPV16	chr12	21449779	-	HPV16	3161	+	186+34	high	220
rep1.HPV16	chr15	84973327	+	HPV16	4160	+	0+55	high	55
rep1.HPV16	chr5	88059942	+	HPV16	4699	+	190+30	high	220
rep1.HPV16	chr8	74170117	-	HPV16	4782	+	197+30	high	227
rep1.HPV16	chr15	76817254	+	HPV16	4932	+	187+27	high	214
rep1.HPV16	chr6	103110377	+	HPV16	4984	+	187+34	high	221
rep1.HPV16	chr18	62291576	-	HPV16	6052	+	189+54	high	243
rep1.HPV16	chr5	161762311	+	HPV16	5597	+	177+37	high	214
rep1.HPV16	chr11	19829868	+	HPV16	6282	+	189+50	high	239
