#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr18~51241704~+~HPV18~1129~-	HPV18	+	9	1129	chr18	51241704	51241668	-	HPV18:1129	43	6
subset.insertion_seqs.fa	chr11~79452056~+~HPV18~1129~+	HPV18	+	4	1129	chr11	79452056	79452090	+	HPV18:1129	41	4
subset.insertion_seqs.fa	chr11~79452058~+~HPV18~1129~+	HPV18	+	1	1129	chr11	79452058	79452097	+	HPV18:1129	38	1
subset.insertion_seqs.fa	chr5~61268121~-~HPV18~2687~+	HPV18	-	6	2687	chr5	61268121	61268092	+	HPV18:2687	29	1
subset.insertion_seqs.fa	chr6~153459069~+~HPV18~2780~-	HPV18	+	6	2780	chr6	153459069	153459039	-	HPV18:2780	30	1
subset.insertion_seqs.fa	chr11~106090463~-~HPV18~2742~-	HPV18	-	10	2742	chr11	106090463	106090494	-	HPV18:2742	32	2
subset.insertion_seqs.fa	chr6~153459068~+~HPV18~2781~-	HPV18	+	9	2781	chr6	153459068	153459030	-	HPV18:2781	40	2
subset.insertion_seqs.fa	chr21~32567353~+~HPV18~2781~-	HPV18	+	0	2781	chr21	32567353	32567312	-	HPV18:2781	40	1
subset.insertion_seqs.fa	chr11~60452993~-~HPV18~2768~+	HPV18	-	10	2768	chr11	60452993	60452954	+	HPV18:2768	43	3
subset.insertion_seqs.fa	chr3~7351914~+~HPV18~2825~-	HPV18	+	9	2825	chr3	7351914	7351883	-	HPV18:2825	33	3
subset.insertion_seqs.fa	chr1~172609763~-~HPV18~3117~-	HPV18	-	9	3117	chr1	172609763	172609798	-	HPV18:3117	40	3
subset.insertion_seqs.fa	chr6~169505287~+~HPV18~7693~+	HPV18	+	9	7693	chr6	169505287	169505318	+	HPV18:7693	36	2
subset.insertion_seqs.fa	chr12~108484849~-~HPV97~2274~+	HPV97	-	6	2274	chr12	108484849	108484819	+	HPV97:2274	30	1
subset.insertion_seqs.fa	chr20~37774799~+~HPV97~2319~+	HPV97	+	9	2319	chr20	37774799	37774836	+	HPV97:2319	43	4
subset.insertion_seqs.fa	chr6~153459069~+~HPV97~2658~-	HPV97	+	6	2658	chr6	153459069	153459039	-	HPV97:2658	30	1
subset.insertion_seqs.fa	chr11~106090463~-~HPV97~2620~-	HPV97	-	9	2620	chr11	106090463	106090494	-	HPV97:2620	32	2
subset.insertion_seqs.fa	chr6~153459068~+~HPV97~2659~-	HPV97	+	9	2659	chr6	153459068	153459030	-	HPV97:2659	40	2
subset.insertion_seqs.fa	chr21~32567353~+~HPV97~2659~-	HPV97	+	0	2659	chr21	32567353	32567312	-	HPV97:2659	40	1
subset.insertion_seqs.fa	chr11~60452993~-~HPV97~2646~+	HPV97	-	9	2646	chr11	60452993	60452954	+	HPV97:2646	43	3
subset.insertion_seqs.fa	chr5~91071729~-~HPV97~4251~+	HPV97	-	0	4251	chr5	91071729	91071692	+	HPV97:4251	36	1
subset.insertion_seqs.fa	chr18~68613865~-~HPV97~4251~+	HPV97	-	0	4251	chr18	68613865	68613828	+	HPV97:4251	35	1
subset.insertion_seqs.fa	chr18~77050601~-~HPV97~4251~+	HPV97	-	0	4251	chr18	77050601	77050564	+	HPV97:4251	34	1
subset.insertion_seqs.fa	chr17~59906749~-~HPV97~4251~+	HPV97	-	0	4251	chr17	59906749	59906712	+	HPV97:4251	36	1
subset.insertion_seqs.fa	chr15~48919355~-~HPV97~4251~+	HPV97	-	0	4251	chr15	48919355	48919318	+	HPV97:4251	34	1
subset.insertion_seqs.fa	chr12~50151707~-~HPV97~4251~+	HPV97	-	0	4251	chr12	50151707	50151670	+	HPV97:4251	36	1
subset.insertion_seqs.fa	chr8~89879833~-~HPV97~4251~-	HPV97	-	0	4251	chr8	89879833	89879869	-	HPV97:4251	36	1
subset.insertion_seqs.fa	chr7~115976387~-~HPV97~4251~-	HPV97	-	0	4251	chr7	115976387	115976424	-	HPV97:4251	36	1
subset.insertion_seqs.fa	chr7~70062475~-~HPV97~4251~-	HPV97	-	0	4251	chr7	70062475	70062512	-	HPV97:4251	35	1
subset.insertion_seqs.fa	chr15~64725957~-~HPV97~4251~-	HPV97	-	0	4251	chr15	64725957	64725994	-	HPV97:4251	35	1
subset.insertion_seqs.fa	chr10~46004111~-~HPV97~4251~-	HPV97	-	0	4251	chr10	46004111	46004148	-	HPV97:4251	36	1
subset.insertion_seqs.fa	chr1~23460469~-~HPV97~4251~-	HPV97	-	0	4251	chr1	23460469	23460506	-	HPV97:4251	37	1
subset.insertion_seqs.fa	chr1~182457109~-~HPV97~4251~-	HPV97	-	0	4251	chr1	182457109	182457146	-	HPV97:4251	35	1
subset.insertion_seqs.fa	chr7~13082076~-~HPV97~5577~-	HPV97	-	6	5577	chr7	13082076	13082110	-	HPV97:5577	33	1
subset.insertion_seqs.fa	chr22~41123087~+~HPV97~6626~-	HPV97	+	9	6626	chr22	41123087	41123056	-	HPV97:6626	36	2
subset.insertion_seqs.fa	chr17~32425057~-~HPV97~7766~-	HPV97	-	6	7766	chr17	32425057	32425094	-	HPV97:7766	37	1
subset.insertion_seqs.fa	chr17~32425059~-~HPV45~20~-	HPV45	-	9	20	chr17	32425059	32425094	-	HPV45:20	40	4
subset.insertion_seqs.fa	chr17~32425059~-~HPV45~21~-	HPV45	-	6	21	chr17	32425059	32425088	-	HPV45:21	29	1
subset.insertion_seqs.fa	chr20~34262628~-~HPV45~731~+	HPV45	-	10	731	chr20	34262628	34262596	+	HPV45:731	42	10
subset.insertion_seqs.fa	chr1~244251007~-~HPV45~968~+	HPV45	-	9	968	chr1	244251007	244250974	+	HPV45:968	32	2
subset.insertion_seqs.fa	chr2~152048259~+~HPV45~1129~+	HPV45	+	7	1129	chr2	152048259	152048286	+	HPV45:1129	26	1
