sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV45,HPV45,left,0,2598,chr18,20938182,20938150,+,31,1
reads_R-HPV45,HPV45,left,0,2598,KI270465.1,536,504,+,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14423290,14423322,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14427026,14427058,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14427535,14427567,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14429402,14429434,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14431275,14431307,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14437222,14437254,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14438922,14438954,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14439598,14439630,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14452501,14452533,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14454370,14454402,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14457931,14457963,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14464557,14464589,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14466428,14466460,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14469996,14470028,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14471185,14471217,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr22,14472375,14472407,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12284780,12284812,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12288516,12288548,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12289025,12289057,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12290892,12290924,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12292765,12292797,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12298712,12298744,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12300412,12300444,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12301088,12301120,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12313991,12314023,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12315860,12315892,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12319421,12319453,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12326047,12326079,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12327918,12327950,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12331486,12331518,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12332675,12332707,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr21,12333865,12333897,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17542495,17542527,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17546740,17546772,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17550480,17550512,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17556427,17556459,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17558127,17558159,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17558803,17558835,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17571706,17571738,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17573575,17573607,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17577136,17577168,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17583762,17583794,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17589201,17589233,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17590390,17590422,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17591580,17591612,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17597006,17597038,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17598876,17598908,-,32,1
reads_R-HPV45,HPV45,left,1,2598,chr14,17602615,17602647,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17420220,17420252,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17424465,17424497,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17428205,17428237,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17435852,17435884,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17451300,17451332,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17454861,17454893,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17466926,17466958,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17467605,17467637,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17468115,17468147,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17469305,17469337,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17472863,17472895,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17480340,17480372,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17483230,17483262,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17485101,17485133,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17486965,17486997,-,32,1
reads_R-HPV45,HPV45,left,0,2598,chr13,17492406,17492438,-,32,1
reads_R-HPV45,HPV45,left,9,2645,chr15,88189780,88189812,-,32,2
reads_R-HPV45,HPV45,right,9,2806,chrY,20549580,20549611,+,31,2
reads_R-HPV45,HPV45,right,10,3397,chr14,63965406,63965438,+,42,7
