multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV97|0,reads-HPV97,HPV97,left,10,3541,chr2,194531839,194531871,-,36,5
reads-HPV97|1,reads-HPV97,HPV97,right,9,3333,chr18,73440279,73440305,+,31,3
reads-HPV97|2,reads-HPV97,HPV97,right,4,1543,chr2,17489578,17489620,+,42,3
reads-HPV97|3,reads-HPV97,HPV97,right,4,1543,chr2,104624879,104624921,+,42,3
reads-HPV97|4,reads-HPV97,HPV97,right,4,1543,chr2,115948048,115948090,+,42,3
reads-HPV97|5,reads-HPV97,HPV97,right,4,1543,chr2,144634376,144634418,+,42,3
reads-HPV97|6,reads-HPV97,HPV97,right,4,1543,chr2,78659794,78659752,-,42,3
reads-HPV97|7,reads-HPV97,HPV97,right,4,1543,chr2,84567663,84567621,-,42,3
reads-HPV97|8,reads-HPV97,HPV97,right,4,1543,chr2,149982551,149982509,-,42,3
reads-HPV97|9,reads-HPV97,HPV97,right,4,1543,chr2,48297841,48297880,+,42,2
reads-HPV97|10,reads-HPV97,HPV97,right,4,1543,chr2,161514663,161514624,-,42,2
reads-HPV97|11,reads-HPV97,HPV97,right,4,1543,chr2,141223898,141223860,-,42,2
reads-HPV97|12,reads-HPV97,HPV97,right,4,1543,chr2,137106411,137106372,-,42,2
reads-HPV97|13,reads-HPV97,HPV97,right,4,1543,chr2,101455362,101455402,+,42,2
reads-HPV97|14,reads-HPV97,HPV97,right,4,1543,chr2,139937080,139937120,+,42,2
reads-HPV97|15,reads-HPV97,HPV97,right,4,1543,chr2,167094462,167094502,+,40,2
reads-HPV97|16,reads-HPV97,HPV97,right,4,1543,chr2,63626203,63626163,-,42,2
reads-HPV97|17,reads-HPV97,HPV97,right,4,1543,chr2,209246349,209246309,-,40,2
reads-HPV97|18,reads-HPV97,HPV97,right,4,1543,chr2,141050649,141050609,-,42,2
