chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr17	39672170	39672171	+	HPV16	6469	+	1111	CESC-Q1-A73R-TP	chr17~39672170~+~HPV16~6469~+
chr17	39672186	39672187	+	HPV16	7907	+	587	CESC-Q1-A73R-TP	HPV16~7907~+~chr17~39672186~+
chr17	39677551	39677552	+	HPV16	6742	+	27	CESC-Q1-A73R-TP	chr17~39677551~+~HPV16~6742~+
chr17	39694322	39694323	+	HPV16	2536	+	15	CESC-DS-A0VM-TP	HPV16~2536~+~chr17~39694322~+
chr17	39694981	39694982	+	HPV16	6878	-	32	HNSC-CN-A49C-TP	HPV16~6878~-~chr17~39694981~+
chr17	39702246	39702247	+	HPV16	115	-	18	CESC-DS-A7WF-TP	chr17~39702246~+~HPV16~115~-
chr17	39702266	39702267	+	HPV16	6793	-	16	CESC-DS-A7WF-TP	HPV16~6793~-~chr17~39702266~+
chr17	39706989	39706990	+	HPV16	227	+	12	CESC-LP-A5U3-TP	HPV16~227~+~chr17~39706989~+
chr17	39706989	39706990	+	HPV16	881	+	314	HNSC-CN-A49C-TP	HPV16~881~+~chr17~39706989~+
chr17	39706989	39706990	+	HPV16	227	+	44	HNSC-CN-A49C-TP	HPV16~227~+~chr17~39706989~+
chr17	39706989	39706990	+	HPV16	881	+	1080	CESC-LP-A5U3-TP	HPV16~881~+~chr17~39706989~+
chr17	39707142	39707143	+	HPV16	3390	+	13	CESC-DS-A0VM-TP	chr17~39707142~+~HPV16~3390~+
chr17	39708317	39708318	+	HPV16	227	+	126	HNSC-CN-A49C-TP	HPV16~227~+~chr17~39708317~+
chr17	39708317	39708318	+	HPV16	213	+	327	CESC-LP-A5U3-TP	HPV16~213~+~chr17~39708317~+
chr17	39712449	39712450	+	HPV16	578	-	18	CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-
chr17	39716607	39716608	+	HPV16	578	-	18	CESC-C5-A1M9-TP	chr17~39716607~+~HPV16~578~-
chr17	39716747	39716748	+	HPV16	3652	-	31	CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-
chr17	39717481	39717482	+	HPV16	578	-	681	CESC-C5-A1M9-TP	chr17~39717481~+~HPV16~578~-
chr17	39718105	39718106	+	HPV16	3753	-	82	CESC-C5-A1M9-TP	chr17~39718105~+~HPV16~3753~-
chr17	39718113	39718114	+	HPV16	5491	-	11	CESC-C5-A1M9-TP	HPV16~5491~-~chr17~39718113~+
chr17	39720416	39720417	+	HPV16	182	-	63	CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-
chr17	39723530	39723531	+	HPV16	882	+	282	CESC-LP-A5U3-TP	HPV16~882~+~chr17~39723530~+
chr17	39729286	39729287	+	HPV16	3356	-	13	CESC-VS-A9V5-TP	HPV16~3356~-~chr17~39729286~+
chr17	39730258	39730259	+	HPV16	5350	+	441	CESC-LP-A5U3-TP	chr17~39730258~+~HPV16~5350~+
chr17	39730264	39730265	+	HPV16	932	-	131	CESC-VS-A9V5-TP	chr17~39730264~+~HPV16~932~-
chr17	39730386	39730387	+	HPV16	5422	+	11	CESC-LP-A5U3-TP	HPV16~5422~+~chr17~39730386~+
chr17	39737484	39737485	+	HPV16	3347	-	291	CESC-VS-A9V5-TP	HPV16~3347~-~chr17~39737484~+
chr17	39738023	39738024	+	HPV16	3357	-	18	CESC-VS-A9V5-TP	HPV16~3357~-~chr17~39738023~+
chr17	39742251	39742252	+	HPV16	881	+	922	CESC-LP-A5U3-TP	HPV16~881~+~chr17~39742251~+
chr17	39767783	39767784	+	HPV16	7011	+	38	CESC-DS-A0VM-TP	chr17~39767783~+~HPV16~7011~+
chr17	39852967	39852968	+	HPV16	806	-	24	HNSC-CN-A499-TP	chr17~39852967~+~HPV16~806~-
