sample_id	contig	humanchr	human_coord	fusion_name	fusionBreakpointCoord	DistBetweenInsertionAndFusionBreakpoint	Annots
CESC-LP-A5U2-TP	chr8~127742375~+~HPV16~6411~+	chr8	127742375	PVT1::MYC	127738251	4124	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2899~+~chr8~127742408~+	chr8	127742408	PVT1::MYC	127738251	4157	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~869~+~chr8~127746262~+	chr8	127746262	PVT1::MYC	127738251	8011	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2930~+~chr8~127742383~+	chr8	127742383	PVT1::MYC	127738251	4132	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127744279~+~HPV16~1345~+	chr8	127744279	PVT1::MYC	127738251	6028	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127747435~+~HPV16~7177~+	chr8	127747435	PVT1::MYC	127738251	9184	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127728801~+~HPV16~2034~+	chr8	127728801	MIR1204::MYC	127738248	9447	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[54528]]
CESC-LP-A5U2-TP	chr8~127728801~+~HPV16~2034~+	chr8	127728801	MIR1204::MYC	127738248	9447	NA
CESC-LP-A5U2-TP	chr8~127749365~+~HPV16~7085~+	chr8	127749365	PVT1::MYC	127738251	11114	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	chr8~127776352~+~HPV16~339~+	chr8	127776352	PVT1::MYC	127794734	18382	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-LP-A5U2-TP	HPV16~2065~+~chr8~127739078~+	chr8	127739078	PVT1::MYC	127738251	827	[ChimerPub,ChimerSeq,INTRACHROMOSOMAL[chr8:0.05Mb],LOCAL_REARRANGEMENT:+:[53099]]
CESC-VS-A9U7-TP	chr9~5467319~+~HPV16~3727~+	chr9	5467319	RLN1::CD274	5462834	4485	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~881~-	chr9	5340897	CD274::RLN1	5340896	1	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
