sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	sample_type	sample
TARGET-20-PANUTB-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	98	0	723	0.02	AML-tumor	TARGET-20-PANUTB
TARGET-20-PAECCE-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	160	0	1491	0.041	AML-tumor	TARGET-20-PAECCE
TARGET-20-PASGZS-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	62	0	919	0.026	AML-tumor	TARGET-20-PASGZS
TARGET-20-PAEFGT-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	60	0	669	0.019	AML-tumor	TARGET-20-PAEFGT
TARGET-20-PAKIYW-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	218	0	1488	0.041	AML-tumor	TARGET-20-PAKIYW
TARGET-00-BM5751-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	52	0	589	0.002	AML-normal	TARGET-00-BM5751
TARGET-00-BM5751-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	52	0	589	0.002	AML-normal	TARGET-00-BM5751
TARGET-20-PASMHY-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	148	0	975	0.027	AML-tumor	TARGET-20-PASMHY
TARGET-20-PASVYA-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	76	0	3308	0.36	AML-tumor	TARGET-20-PASVYA
TARGET-20-PASVYA-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	206	0	1714	0.048	AML-tumor	TARGET-20-PASVYA
TARGET-20-PAPXWI-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	58	0	710	0.02	AML-tumor	TARGET-20-PAPXWI
TARGET-20-PASPLU-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	86	0	1401	0.039	AML-tumor	TARGET-20-PASPLU
TARGET-15-SJMPAL040037-09B	NC_001405_35937nt_Human_mastadenovirus_C	35937	50	0	2014	0.056	ALL-tumor	TARGET-15-SJMPAL040037
TARGET-10-PASKCL-09B	NC_039237_12513nt_Bovine_viral_diarrhea_virus_2	12513	106	0	5755	0.46	ALL-tumor	TARGET-10-PASKCL
TARGET-20-PARXBT-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	110	0	1111	0.031	AML-tumor	TARGET-20-PARXBT
TARGET-15-SJMPAL017978-09A	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	71	0	2003	0.012	ALL-tumor	TARGET-15-SJMPAL017978
TARGET-15-SJMPAL043509-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	80	0	2575	0.072	ALL-tumor	TARGET-15-SJMPAL043509
TARGET-52-PAKPEW-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	94	0	1256	0.035	RT-tumor	TARGET-52-PAKPEW
TARGET-00-BM3969-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	54	0	996	0.19	AML-normal	TARGET-00-BM3969
TARGET-00-BM3969-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	54	0	996	0.19	AML-normal	TARGET-00-BM3969
TARGET-00-BM3969-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	56	0	592	0.003	AML-normal	TARGET-00-BM3969
TARGET-00-BM3969-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	56	0	592	0.003	AML-normal	TARGET-00-BM3969
TARGET-20-PAKVGI-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	135	0	1223	0.034	AML-tumor	TARGET-20-PAKVGI
TARGET-52-PASDLA-01A	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	206	0	11867	0.073	RT-tumor	TARGET-52-PASDLA
TARGET-20-PAPXRJ-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	138	0	1384	0.039	AML-tumor	TARGET-20-PAPXRJ
TARGET-20-PASIBG-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	178	0	1813	0.05	AML-tumor	TARGET-20-PASIBG
TARGET-20-PASMYS-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	96	0	1544	0.043	AML-tumor	TARGET-20-PASMYS
TARGET-20-PASJTM-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	104	0	1366	0.038	AML-tumor	TARGET-20-PASJTM
TARGET-20-PASCFW-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	186	0	1435	0.04	AML-tumor	TARGET-20-PASCFW
TARGET-20-PASJGZ-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	88	0	3410	0.371	AML-tumor	TARGET-20-PASJGZ
TARGET-20-PASJGZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	308	5	1797	0.05	AML-tumor	TARGET-20-PASJGZ
TARGET-20-PAEIKD-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	96	0	1409	0.039	AML-tumor	TARGET-20-PAEIKD
TARGET-20-PASCRZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	138	0	772	0.021	AML-tumor	TARGET-20-PASCRZ
TARGET-20-PARXNG-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	122	0	941	0.026	AML-tumor	TARGET-20-PARXNG
TARGET-20-PARYGA-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	264	0	1323	0.037	AML-tumor	TARGET-20-PARYGA
TARGET-20-PAEDKB-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	98	0	2896	0.315	AML-tumor	TARGET-20-PAEDKB
TARGET-20-PAEDKB-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	470	0	2018	0.056	AML-tumor	TARGET-20-PAEDKB
TARGET-10-PATLNZ-09A	NC_039237_12513nt_Bovine_viral_diarrhea_virus_2	12513	59	0	3959	0.316	ALL-tumor	TARGET-10-PATLNZ
TARGET-20-PASPTM-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	152	0	1439	0.04	AML-tumor	TARGET-20-PASPTM
TARGET-20-PASVVS-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	78	0	2920	0.318	AML-tumor	TARGET-20-PASVVS
TARGET-20-PASVVS-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	454	5	2047	0.057	AML-tumor	TARGET-20-PASVVS
