humanchr	human_coord	Chromosome	Start	End	Gene_ID	min_dist_from_exon_end	exon_insert_type
chr18	39949673	chr18	39924654	39924840	RP11-636O21.1^ENSG00000267413.1	24833	external
chr18	39957192	chr18	39924654	39924840	RP11-636O21.1^ENSG00000267413.1	32352	external
chr17	59735337	chr17	59735338	59735744	VMP1^ENSG00000062716.9	1	at_ref_exon_boundary
chr17	59737452	chr17	59737453	59737517	VMP1^ENSG00000062716.9	1	at_ref_exon_boundary
chr17	59734151	chr17	59735338	59735473	VMP1^ENSG00000062716.9	1187	external
chr17	59738858	chr17	59738837	59738947	VMP1^ENSG00000062716.9	21	within_exon
chr18	63236502	chr18	63161846	63161869	BCL2^ENSG00000171791.11	74633	external
chr18	63323093	chr18	63318082	63320128	BCL2^ENSG00000171791.11	2965	external
chr8	127742375	chr8	127740396	127741434	MYC^ENSG00000136997.13	941	external
chr18	63318955	chr18	63318082	63318952	BCL2^ENSG00000171791.11	3	external
chr18	63235900	chr18	63161846	63161869	BCL2^ENSG00000171791.11	74031	external
chr8	127742408	chr8	127740396	127741434	MYC^ENSG00000136997.13	974	external
chr8	127746262	chr8	127740396	127741434	MYC^ENSG00000136997.13	4828	external
chr1	198452756	chr1	198523222	198523564	ATP6V1G3^ENSG00000151418.10	70466	external
chr1	198455670	chr1	198523222	198523564	ATP6V1G3^ENSG00000151418.10	67552	external
chr12	115192945	chr12	115263170	115263321	RP11-116D17.2^ENSG00000257519.1	70225	external
chr14	52840475	chr14	52857268	52858550	FERMT2^ENSG00000073712.12	16793	external
chr12	115192910	chr12	115263170	115263321	RP11-116D17.2^ENSG00000257519.1	70260	external
chr5	1294667	chr5	1294558	1294666	TERT^ENSG00000164362.17	1	at_ref_exon_boundary
chr16	507291	chr16	505524	505627	RAB11FIP3^ENSG00000090565.14	1664	external
chr22	29528347	chr22	29528274	29528359	THOC5^ENSG00000100296.12	12	within_exon
chr2	43774959	chr2	43775709	43775788	DYNC2LI1^ENSG00000138036.17	750	external
chr2	43765588	chr2	43765413	43765482	PLEKHH2^ENSG00000152527.12	106	external
chr1	12611746	chr1	12616560	12616795	DHRS3^ENSG00000162496.7	4814	external
chr2	43718279	chr2	43720669	43720749	PLEKHH2^ENSG00000152527.12	2390	external
chr2	43718164	chr2	43720669	43720749	PLEKHH2^ENSG00000152527.12	2505	external
chr2	43774816	chr2	43774086	43774146	DYNC2LI1^ENSG00000138036.17	670	external
chr1	12616254	chr1	12616560	12616795	DHRS3^ENSG00000162496.7	306	external
chr1	154295134	chr1	154295503	154295601	RNU6-239P^ENSG00000212292.1	369	external
chr1	94332269	chr1	94333267	94333409	RP11-148B18.3^ENSG00000226835.1	998	external
