multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV18|0,reads_R-HPV18,HPV18,left,10,3950,chr4,70597065,70597034,+,43,14
reads_R-HPV18|1,reads_R-HPV18,HPV18,right,10,2520,chr5,1625406,1625372,-,42,12
reads_R-HPV18|2,reads_R-HPV18,HPV18,right,10,2963,chr7,61622873,61622840,-,43,12
reads_R-HPV18|3,reads_R-HPV18,HPV18,right,10,6467,chr15,30796361,30796328,-,43,12
reads_R-HPV18|4,reads_R-HPV18,HPV18,left,10,211,chr7,117242331,117242365,-,43,11
reads_R-HPV18|5,reads_R-HPV18,HPV18,left,10,452,chr4,150196842,150196809,+,42,11
reads_R-HPV18|6,reads_R-HPV18,HPV18,left,10,1829,chr17,64180143,64180175,-,41,11
reads_R-HPV18|7,reads_R-HPV18,HPV18,right,10,2428,chr16,13818601,13818635,+,43,11
reads_R-HPV18|8,reads_R-HPV18,HPV18,left,10,162,chr4,136629904,136629870,+,43,10
reads_R-HPV18|9,reads_R-HPV18,HPV18,right,10,1668,chr20,61147116,61147082,-,43,10
reads_R-HPV18|10,reads_R-HPV18,HPV18,right,10,1948,chr4,163913572,163913538,-,43,10
reads_R-HPV18|11,reads_R-HPV18,HPV18,right,10,2273,chr4,151633417,151633451,+,43,10
reads_R-HPV18|12,reads_R-HPV18,HPV18,right,10,3149,chr10,90222355,90222324,-,42,10
reads_R-HPV18|13,reads_R-HPV18,HPV18,right,10,3439,chr14,63965406,63965438,+,42,10
reads_R-HPV18|14,reads_R-HPV18,HPV18,left,10,3649,chr13,53092639,53092673,-,43,10
reads_R-HPV18|15,reads_R-HPV18,HPV18,right,10,3762,chrX,131116489,131116520,+,42,10
reads_R-HPV18|16,reads_R-HPV18,HPV18,left,10,3927,chr5,123592827,123592793,+,43,10
reads_R-HPV18|17,reads_R-HPV18,HPV18,left,10,4498,chr7,111184563,111184597,-,43,10
reads_R-HPV18|18,reads_R-HPV18,HPV18,left,10,5058,chr7,77576576,77576544,+,41,10
reads_R-HPV18|19,reads_R-HPV18,HPV18,left,10,5115,chr6,16480412,16480445,-,42,10
reads_R-HPV18|20,reads_R-HPV18,HPV18,right,10,5212,chr3,68338452,68338484,+,42,10
reads_R-HPV18|21,reads_R-HPV18,HPV18,right,10,5335,chr22,33433926,33433892,-,43,10
reads_R-HPV18|22,reads_R-HPV18,HPV18,left,10,5913,chr15,77701173,77701144,+,42,10
reads_R-HPV18|23,reads_R-HPV18,HPV18,right,10,6160,chr21,37392759,37392725,-,43,10
reads_R-HPV18|24,reads_R-HPV18,HPV18,right,10,6277,chr13,58520115,58520084,-,42,10
reads_R-HPV18|25,reads_R-HPV18,HPV18,right,10,7052,chr9,102947972,102948004,+,42,10
reads_R-HPV18|26,reads_R-HPV18,HPV18,left,10,788,chr1,221784192,221784161,+,42,9
reads_R-HPV18|27,reads_R-HPV18,HPV18,left,10,1329,chr2,186197597,186197566,+,42,9
reads_R-HPV18|28,reads_R-HPV18,HPV18,left,10,2684,chr15,88189783,88189814,-,42,9
reads_R-HPV18|29,reads_R-HPV18,HPV18,left,10,5448,chr21,43810882,43810851,+,42,9
reads_R-HPV18|30,reads_R-HPV18,HPV18,left,10,5478,chr17,11250305,11250333,-,42,9
reads_R-HPV18|31,reads_R-HPV18,HPV18,right,10,5854,chr15,34203574,34203601,+,42,9
reads_R-HPV18|32,reads_R-HPV18,HPV18,left,10,6372,chr10,125565514,125565480,+,43,9
reads_R-HPV18|33,reads_R-HPV18,HPV18,left,10,6602,chr18,24834378,24834344,+,43,9
reads_R-HPV18|34,reads_R-HPV18,HPV18,left,10,5240,chr18,31202749,31202784,-,43,8
reads_R-HPV18|35,reads_R-HPV18,HPV18,right,10,7289,chr3,193533820,193533780,-,42,7
reads_R-HPV18|36,reads_R-HPV18,HPV18,left,10,588,chr16,19007795,19007831,-,42,6
reads_R-HPV18|37,reads_R-HPV18,HPV18,left,10,1367,chr12,72178682,72178720,-,42,4
reads_R-HPV18|38,reads_R-HPV18,HPV18,right,10,3114,chr13,57840209,57840171,-,42,4
reads_R-HPV18|39,reads_R-HPV18,HPV18,right,10,3367,chr13,89592164,89592204,+,42,4
reads_R-HPV18|40,reads_R-HPV18,HPV18,left,10,4014,chr14,72720111,72720149,-,42,4
reads_R-HPV18|41,reads_R-HPV18,HPV18,right,10,7655,chr17,11230323,11230282,-,43,3
reads_R-HPV18|42,reads_R-HPV18,HPV18,left,10,2047,chr15,66916799,66916840,-,43,2
reads_R-HPV18|43,reads_R-HPV18,HPV18,left,10,2922,chr17,2652936,2652898,+,35,2
reads_R-HPV18|44,reads_R-HPV18,HPV18,right,9,2848,chrY,20549580,20549612,+,42,10
