sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV39,HPV39,left,10,431,chr8,128172157,128172122,+,39,6
reads_R-HPV39,HPV39,left,7,437,chr8,128172162,128172131,+,31,1
reads_R-HPV39,HPV39,left,10,815,chr2,95199261,95199227,+,41,5
reads_R-HPV39,HPV39,left,10,991,chrY,7864283,7864251,+,43,5
reads_R-HPV39,HPV39,left,7,992,chrY,7864284,7864252,+,32,1
reads_R-HPV39,HPV39,right,10,1083,chr12,69414400,69414368,-,37,6
reads_R-HPV39,HPV39,right,10,1273,chr3,125199237,125199269,+,43,9
reads_R-HPV39,HPV39,right,7,1272,chr3,125199237,125199268,+,31,1
reads_R-HPV39,HPV39,right,7,1273,chr3,125199239,125199272,+,32,1
reads_R-HPV39,HPV39,right,10,1307,chr18,58814292,58814258,-,43,9
reads_R-HPV39,HPV39,right,10,1346,chr15,68506694,68506728,+,43,9
reads_R-HPV39,HPV39,left,10,1692,chr16,83830497,83830531,-,43,9
reads_R-HPV39,HPV39,right,10,1804,chr18,73301227,73301261,+,43,11
reads_R-HPV39,HPV39,right,7,1802,chr18,73301226,73301257,+,31,1
reads_R-HPV39,HPV39,right,10,2237,chr3,173390943,173390912,-,37,6
reads_R-HPV39,HPV39,left,10,2348,chr19,34907864,34907898,-,43,9
reads_R-HPV39,HPV39,left,10,2500,chr16,79616491,79616454,+,37,2
reads_R-HPV39,HPV39,left,10,2572,chr7,155450458,155450422,+,42,3
reads_R-HPV39,HPV39,right,10,2648,chr6,79664104,79664139,+,41,4
reads_R-HPV39,HPV39,left,10,2861,chr20,16912892,16912927,-,43,13
reads_R-HPV39,HPV39,left,1,2861,chr13,41047741,41047778,-,35,1
reads_R-HPV39,HPV39,right,10,3027,chr9,126066908,126066936,+,32,2
reads_R-HPV39,HPV39,right,10,3028,chr9,126066909,126066947,+,43,3
reads_R-HPV39,HPV39,left,10,2995,chr11,56740971,56740940,+,37,6
reads_R-HPV39,HPV39,left,7,3077,chr19,52612134,52612093,+,38,1
reads_R-HPV39,HPV39,left,7,3079,chr8,23331926,23331965,-,37,1
reads_R-HPV39,HPV39,left,1,3079,chr17,60543494,60543464,+,29,1
reads_R-HPV39,HPV39,left,1,3079,chr7,6427673,6427703,-,29,1
reads_R-HPV39,HPV39,left,1,3082,chr12,76961512,76961483,+,28,1
reads_R-HPV39,HPV39,left,1,3082,chr16,19160734,19160763,-,29,1
reads_R-HPV39,HPV39,left,10,3118,chr11,25568717,25568746,-,37,5
reads_R-HPV39,HPV39,right,10,3486,chr1,189080875,189080908,+,37,4
reads_R-HPV39,HPV39,right,4,3530,chr1,146567157,146567192,+,42,14
reads_R-HPV39,HPV39,right,4,3530,chr16,71144007,71143972,-,42,14
reads_R-HPV39,HPV39,right,10,3702,chr5,98942707,98942740,+,37,4
reads_R-HPV39,HPV39,left,10,4159,chr18,69589470,69589504,-,43,11
reads_R-HPV39,HPV39,right,10,4430,chr6,104010516,104010482,-,42,12
reads_R-HPV39,HPV39,right,10,4528,chr9,114895592,114895627,+,43,13
reads_R-HPV39,HPV39,left,4,4631,chrX,15077274,15077238,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chrX,65374874,65374842,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chrX,76840449,76840417,+,35,4
reads_R-HPV39,HPV39,left,4,4631,chrX,91963925,91963888,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chrX,126798074,126798038,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chrX,140807315,140807279,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chrX,145991676,145991644,+,36,4
reads_R-HPV39,HPV39,left,1,4631,chrX,7176738,7176701,+,35,1
reads_R-HPV39,HPV39,left,1,4631,chrX,15878741,15878704,+,35,1
reads_R-HPV39,HPV39,left,1,4631,chrX,57890555,57890518,+,35,1
reads_R-HPV39,HPV39,left,4,4631,chr9,12181869,12181833,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr9,42612915,42612882,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr9,62420384,62420352,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr9,81382917,81382886,+,36,6
reads_R-HPV39,HPV39,left,4,4631,chr9,118244111,118244075,+,36,3
reads_R-HPV39,HPV39,left,1,4631,chr9,123157742,123157705,+,36,1
reads_R-HPV39,HPV39,left,4,4631,chr9,127470387,127470356,+,36,6
reads_R-HPV39,HPV39,left,4,4631,chr9,1647278,1647246,+,35,4
reads_R-HPV39,HPV39,left,4,4631,chr9,106371232,106371196,+,34,2
reads_R-HPV39,HPV39,left,4,4631,chr8,68478784,68478752,+,37,6
reads_R-HPV39,HPV39,left,4,4631,chr8,19088509,19088476,+,36,5
reads_R-HPV39,HPV39,left,4,4631,chr8,59646267,59646230,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr8,69799774,69799743,+,36,6
reads_R-HPV39,HPV39,left,4,4631,chr8,86339292,86339260,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr8,87059653,87059616,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr8,123068965,123068928,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr8,137012379,137012342,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr8,19029604,19029572,+,35,4
reads_R-HPV39,HPV39,left,4,4631,chr8,26835584,26835552,+,35,4
reads_R-HPV39,HPV39,left,4,4631,chr8,32498532,32498496,+,35,3
reads_R-HPV39,HPV39,left,4,4631,chr8,40679585,40679549,+,35,3
reads_R-HPV39,HPV39,left,4,4631,chr7,21087913,21087877,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr7,64644490,64644454,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr7,104465668,104465632,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr7,30999043,30999006,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr7,76594482,76594446,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr7,112672379,112672346,+,35,4
reads_R-HPV39,HPV39,left,4,4631,chr7,118308311,118308275,+,35,3
reads_R-HPV39,HPV39,left,4,4631,chr7,99641344,99641312,+,34,4
reads_R-HPV39,HPV39,left,4,4631,chr7,115207642,115207606,+,34,3
reads_R-HPV39,HPV39,left,4,4631,chr6,154346761,154346724,+,37,2
reads_R-HPV39,HPV39,left,4,4631,chr6,8936824,8936792,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr6,90333096,90333060,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr6,93028995,93028962,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr6,94978451,94978415,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr6,119326736,119326707,+,36,5
reads_R-HPV39,HPV39,left,4,4631,chr6,131784154,131784118,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr6,168845894,168845858,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr6,54918602,54918566,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr6,79297083,79297046,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr6,138858016,138857981,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr5,12512823,12512790,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr5,38926575,38926542,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr5,80462432,80462400,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr5,174351407,174351370,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr5,71700816,71700787,+,35,5
reads_R-HPV39,HPV39,left,4,4631,chr5,126245930,126245894,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr5,154384087,154384051,+,34,3
reads_R-HPV39,HPV39,left,4,4631,chr4,42729357,42729326,+,36,6
reads_R-HPV39,HPV39,left,4,4631,chr4,60092401,60092368,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr4,104656908,104656876,+,36,4
reads_R-HPV39,HPV39,left,4,4631,chr4,114575913,114575876,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr4,137078455,137078418,+,36,2
reads_R-HPV39,HPV39,left,4,4631,chr4,145666616,145666580,+,36,3
reads_R-HPV39,HPV39,left,4,4631,chr4,38546872,38546836,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr4,63599723,63599687,+,35,2
reads_R-HPV39,HPV39,left,1,4631,chr4,66021022,66020985,+,35,1
reads_R-HPV39,HPV39,left,4,4631,chr4,80698838,80698803,+,35,2
reads_R-HPV39,HPV39,left,4,4631,chr3,99397942,99397910,+,37,4
