#Supplementary Table 5. Detailed information on HPV integration sites detected from virus capture sequencing data
#Sample ID	Chromosome	Chromosome band	Integrated Position	Integration NO.	# of support reads			NNSS value of HIVID			WGS data
#					left	right	total	left	right	total	Have WGS data	found by WGS
sample_id	chromosome	chromosome_band	integration_position	integration_no	left_reads	right_reads	total	left_NNSS	right_NNSS	total_NNSS	have_WGS_data	found_by_WGS	hg38_Chrom	hg38_Coord
T2861	chrX	Xq21.1	80369884	1	0	30	30	0	3.473	3.472937	N	N	chrX	81114385
T5407	chr1	1p11.2	121484307	1	0	7	7	0	1.23	1.230052	N	N	chr1	121742509
T5407	chr1	1q23.3	164752044	2	0	41	41	0	7.205	7.204592	N	N	chr1	164782807
T9202	chr1	1p36.21	15654478	1	0	300	300	0	178.888	178.888529	N	N	chr1	15327982
T9202	chr1	1p36.21	15654503	2	0	54	54	0	32.201	32.199934	N	N	chr1	15328007
T9202	chr1	1p36.21	15654530	3	1	24	25	0.596	14.311	14.907376	N	N	chr1	15328034
T9202	chr1	1p36.21	15654553	4	4	10	14	2.385	5.963	8.34813	N	N	chr1	15328057
T9202	chr1	1p36.21	15654620	5	0	4	4	0	2.385	2.38518	N	N	chr1	15328124
T9202	chr1	1p36.21	15654655	6	1	3	4	0.596	1.789	2.38518	N	N	chr1	15328159
T9202	chr1	1p36.21	15654680	7	0	2	2	0	1.193	1.19259	N	N	chr1	15328184
T9202	chr1	1p36.21	15654721	8	0	8	8	0	4.77	4.770361	N	N	chr1	15328225
T9202	chr1	1p36.21	15712568	9	4	0	4	2.385	0	2.38518	N	N	chr1	15386072
T9202	chr1	1p36.21	15712615	10	9	0	9	5.366	0	5.366655	N	N	chr1	15386119
T9202	chr1	1p36.21	15712645	11	6	0	6	3.578	0	3.577771	N	N	chr1	15386149
T9202	chr1	1p36.21	15712678	12	12	0	12	7.156	0	7.15554	N	N	chr1	15386182
T9202	chr1	1p36.21	15712716	13	45	0	45	26.833	0	26.833279	N	N	chr1	15386220
T9202	chr1	1p22.2	90371313	14	5	0	5	2.981	0	2.981475	N	N	chr1	89905754
T9202	chr1	1p13.2	113449880	15	3	0	3	1.789	0	1.788885	N	N	chr1	112907258
T9202	chr1	1q23.3	163440756	16	4	0	4	2.385	0	2.38518	N	N	chr1	163470966
T9202	chr11	11p15.4	6610828	17	8	0	8	4.77	0	4.770361	N	N	chr11	6589598
T9202	chr12	12p13.33	1037639	18	0	2	2	0	1.193	1.19259	N	N	chr12	928473
T9202	chr12	12p13.33	1037695	19	2	0	2	1.192	0	1.19259	N	N	chr12	928529
T9202	chr15	15q26.3	99440819	20	3	0	3	1.789	0	1.788885	N	N	chr15	98897590
T9202	chr17	17q22	56754429	21	0	4	4	0	2.385	2.38518	N	N	chr17	58677068
T9202	chr2	2q31.1	169740199	22	0	6	6	0	3.578	3.57777	N	N	chr2	168883689
T9202	chr2	2q31.1	177756207	23	3	0	3	1.789	0	1.788885	N	N	chr2	176891479
T9202	chr22	22q11.21	21981351	24	0	4	4	0	2.385	2.38518	N	N	chr22	21627062
T9202	chr22	22q11.21	21981385	25	0	2	2	0	1.193	1.19259	N	N	chr22	21627096
T9202	chr3	3p23	31872856	26	0	2	2	0	1.193	1.19259	N	N	chr3	31831364
T9202	chr4	4q26	118956967	27	0	3	3	0	1.789	1.788885	N	N	chr4	118035812
T9202	chr4	4q34.1	173974235	28	0	7	7	0	4.174	4.174066	N	N	chr4	173053084
T9202	chr6	6p21.33	31305646	29	5	0	5	2.981	0	2.981475	N	N	chr6	31337869
