multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV33|0,reads-HPV33,HPV33,left,10,894,chr11,47220252,47220219,+,43,9
reads-HPV33|1,reads-HPV33,HPV33,left,10,3594,chrX,62698955,62698921,+,39,7
reads-HPV33|2,reads-HPV33,HPV33,left,10,4715,chr4,56219097,56219063,+,43,7
reads-HPV33|3,reads-HPV33,HPV33,left,10,3201,chr5,103343308,103343272,+,39,6
reads-HPV33|4,reads-HPV33,HPV33,left,10,4358,chr3,151141573,151141608,-,39,6
reads-HPV33|5,reads-HPV33,HPV33,right,10,4936,chr3,98968452,98968418,-,36,6
reads-HPV33|6,reads-HPV33,HPV33,left,10,1565,chr11,100021530,100021494,+,41,5
reads-HPV33|7,reads-HPV33,HPV33,left,10,1593,chr16,73393056,73393089,-,39,5
reads-HPV33|8,reads-HPV33,HPV33,left,10,2153,chr22,31796539,31796574,-,38,5
reads-HPV33|9,reads-HPV33,HPV33,right,10,2428,chr4,78243900,78243935,+,38,5
reads-HPV33|10,reads-HPV33,HPV33,left,10,2732,chr2,162522852,162522818,+,38,5
reads-HPV33|11,reads-HPV33,HPV33,right,10,3594,chr4,19600565,19600532,-,36,5
reads-HPV33|12,reads-HPV33,HPV33,left,10,3615,chr12,2930081,2930044,+,42,5
reads-HPV33|13,reads-HPV33,HPV33,left,10,5635,chr17,33470267,33470303,-,39,5
reads-HPV33|14,reads-HPV33,HPV33,left,10,5865,chr18,61535766,61535730,+,39,5
reads-HPV33|15,reads-HPV33,HPV33,left,10,6095,chr5,60514001,60513967,+,38,5
reads-HPV33|16,reads-HPV33,HPV33,right,10,6589,chr8,72525161,72525197,+,39,5
reads-HPV33|17,reads-HPV33,HPV33,left,10,6640,chr21,13861568,13861535,+,36,5
reads-HPV33|18,reads-HPV33,HPV33,right,10,7197,chr14,28350836,28350872,+,39,5
reads-HPV33|19,reads-HPV33,HPV33,left,10,551,chr21,43168885,43168924,-,42,4
reads-HPV33|20,reads-HPV33,HPV33,left,10,551,chr21,6560568,6560604,-,42,4
reads-HPV33|21,reads-HPV33,HPV33,left,10,734,chr13,22949042,22949076,-,36,4
reads-HPV33|22,reads-HPV33,HPV33,left,10,1258,chr4,83295823,83295856,-,36,4
reads-HPV33|23,reads-HPV33,HPV33,right,10,1455,chrX,123155952,123155986,+,36,4
reads-HPV33|24,reads-HPV33,HPV33,left,10,1593,chr18,65573894,65573860,+,37,4
reads-HPV33|25,reads-HPV33,HPV33,right,10,1740,chr4,122590493,122590527,+,37,4
reads-HPV33|26,reads-HPV33,HPV33,left,10,1716,chr13,28823599,28823634,-,42,4
reads-HPV33|27,reads-HPV33,HPV33,left,10,2075,chr10,110406712,110406676,+,42,4
reads-HPV33|28,reads-HPV33,HPV33,left,10,3030,chr21,17495616,17495650,-,36,4
reads-HPV33|29,reads-HPV33,HPV33,right,10,3564,chr6,47912311,47912344,+,36,4
reads-HPV33|30,reads-HPV33,HPV33,left,10,3523,chr10,109017169,109017135,+,37,4
reads-HPV33|31,reads-HPV33,HPV33,right,10,4059,chr5,112883772,112883812,+,42,4
reads-HPV33|32,reads-HPV33,HPV33,right,10,5214,chrY,4875908,4875874,-,36,4
reads-HPV33|33,reads-HPV33,HPV33,right,10,5214,chrX,91636620,91636586,-,36,4
reads-HPV33|34,reads-HPV33,HPV33,right,10,6497,chr2,66167764,66167802,+,40,4
reads-HPV33|35,reads-HPV33,HPV33,left,10,6499,chr12,31660403,31660370,+,36,4
reads-HPV33|36,reads-HPV33,HPV33,left,10,6505,chr15,69557799,69557834,-,41,4
reads-HPV33|37,reads-HPV33,HPV33,right,10,6660,chr6,76091371,76091403,+,35,4
reads-HPV33|38,reads-HPV33,HPV33,right,10,7604,chr6,7706213,7706179,-,37,4
reads-HPV33|39,reads-HPV33,HPV33,left,10,2667,chr1,8746725,8746691,+,35,3
reads-HPV33|40,reads-HPV33,HPV33,right,10,3647,chr20,18491428,18491392,-,37,3
reads-HPV33|41,reads-HPV33,HPV33,left,10,4537,chr12,77587347,77587308,+,42,2
reads-HPV33|42,reads-HPV33,HPV33,left,4,775,chrY,22512474,22512510,-,39,5
reads-HPV33|43,reads-HPV33,HPV33,left,4,2289,chr16,35052342,35052307,+,38,5
reads-HPV33|44,reads-HPV33,HPV33,left,4,2289,chr16,34359485,34359520,-,38,5
reads-HPV33|45,reads-HPV33,HPV33,left,4,3424,chr7,141870161,141870124,+,42,5
reads-HPV33|46,reads-HPV33,HPV33,left,4,3424,chr5,130611330,130611293,+,42,5
reads-HPV33|47,reads-HPV33,HPV33,left,4,3424,chr5,79915276,79915239,+,42,5
reads-HPV33|48,reads-HPV33,HPV33,left,4,3424,chr5,20726764,20726727,+,42,5
reads-HPV33|49,reads-HPV33,HPV33,left,4,3424,chr5,8631011,8630974,+,41,5
reads-HPV33|50,reads-HPV33,HPV33,left,4,3424,chr4,141115318,141115281,+,42,5
reads-HPV33|51,reads-HPV33,HPV33,left,4,3424,chr3,93945985,93945948,+,42,5
